day,cum_net_r
20230911,-1.1567
20230911,-2.1997
20230911,-3.2728
20230911,-4.4912
20230911,-2.9196
20230911,-4.0417
20230911,-5.1645
20230911,-6.4029
20230911,-5.081
20230911,-3.3
20230911,-4.4688
20230911,-6.0275
20230911,-7.1565
20230911,-5.4659
20230911,-6.5365
20230911,-8.3445
20230911,-6.8158
20230911,-5.6078
20230911,-7.3809
20230911,-8.6471
20230911,-6.9418
20230911,-8.2156
20230911,-9.4085
20230911,-7.5267
20230911,-6.0193
20230911,-7.2946
20230911,-5.9854
20230911,-7.4069
20230911,-8.8822
20230911,-10.1759
20230911,-11.7625
20230911,-13.3259
20230912,-12.7412
20230912,-13.9054
20230912,-12.1646
20230912,-13.6456
20230912,-14.9696
20230912,-16.1257
20230912,-17.1843
20230912,-15.7262
20230912,-16.9145
20230912,-15.6913
20230912,-14.265
20230912,-15.4187
20230912,-15.4895
20230912,-16.785
20230912,-18.5203
20230912,-19.843
20230912,-21.0679
20230912,-22.4106
20230912,-23.6954
20230912,-24.9228
20230912,-26.2142
20230912,-27.5326
20230912,-28.859
20230912,-30.1338
20230912,-28.6811
20230912,-30.1943
20230912,-30.095
20230912,-29.476
20230912,-30.6298
20230912,-28.9367
20230912,-30.2443
20230912,-31.3985
20230913,-32.4587
20230913,-33.6285
20230913,-34.6955
20230913,-32.9891
20230913,-31.1821
20230913,-32.3727
20230913,-31.2149
20230913,-32.3934
20230913,-33.5676
20230913,-32.3822
20230913,-30.6291
20230913,-29.5097
20230913,-30.7693
20230913,-31.8304
20230913,-33.4055
20230913,-35.152
20230913,-34.1364
20230913,-33.2863
20230913,-34.4689
20230913,-36.1679
20230913,-37.3008
20230913,-38.7063
20230913,-39.7953
20230913,-40.9616
20230913,-39.1006
20230913,-40.3966
20230913,-41.5909
20230913,-42.7916
20230913,-42.2139
20230913,-43.58
20230913,-41.3797
20230913,-42.6784
20230914,-43.8044
20230914,-45.316
20230914,-46.3989
20230914,-44.522
20230914,-45.5771
20230914,-46.8243
20230914,-47.964
20230914,-46.5261
20230914,-47.7328
20230914,-49.0711
20230914,-50.486
20230914,-49.1631
20230914,-48.4081
20230914,-49.6646
20230914,-50.9303
20230914,-52.1239
20230914,-53.5683
20230914,-52.072
20230914,-53.225
20230914,-54.5123
20230914,-53.2264
20230914,-54.5687
20230914,-55.7118
20230914,-54.6337
20230914,-55.9702
20230914,-57.3899
20230914,-58.8294
20230914,-58.37
20230914,-59.5368
20230914,-60.6333
20230914,-61.8901
20230914,-60.2727
20230915,-62.0289
20230915,-63.5019
20230915,-64.7691
20230915,-65.8689
20230915,-67.0435
20230915,-65.2783
20230915,-66.5041
20230915,-64.5089
20230915,-65.7192
20230915,-66.9801
20230915,-68.1573
20230915,-69.2773
20230915,-70.7075
20230915,-69.6606
20230915,-70.9051
20230915,-69.0706
20230915,-67.0368
20230915,-68.5359
20230915,-67.2911
20230915,-68.6927
20230915,-67.4778
20230915,-66.6866
20230915,-65.098
20230915,-66.3901
20230915,-67.5015
20230915,-68.7288
20230915,-70.0928
20230915,-68.4927
20230915,-69.9524
20230915,-68.686
20230915,-69.9773
20230915,-71.1978
20230918,-72.2738
20230918,-73.3779
20230918,-74.439
20230918,-75.5811
20230918,-76.7947
20230918,-79.1982
20230918,-78.4694
20230918,-79.6601
20230918,-80.8237
20230918,-78.6689
20230918,-79.7494
20230918,-80.8901
20230918,-80.1246
20230918,-81.5515
20230918,-82.8687
20230918,-84.1602
20230918,-82.9681
20230918,-84.2472
20230918,-82.5662
20230918,-83.9133
20230918,-82.6413
20230918,-81.2075
20230918,-79.5138
20230918,-78.308
20230918,-80.4015
20230918,-79.6537
20230918,-78.2554
20230918,-80.0763
20230918,-78.6217
20230918,-77.2837
20230918,-76.0123
20230918,-77.2916
20230919,-75.9962
20230919,-77.1915
20230919,-75.5745
20230919,-76.6814
20230919,-77.8795
20230919,-76.2794
20230919,-74.7909
20230919,-76.5283
20230919,-75.1074
20230919,-73.6408
20230919,-72.3534
20230919,-73.6755
20230919,-72.3374
20230919,-73.5635
20230919,-74.8963
20230919,-73.6747
20230919,-72.0079
20230919,-73.2901
20230919,-74.6795
20230919,-73.486
20230919,-72.4435
20230919,-71.7475
20230919,-73.2854
20230919,-74.6521
20230919,-75.9268
20230919,-77.2579
20230919,-78.4088
20230919,-77.7815
20230919,-77.1491
20230919,-78.3526
20230919,-80.0936
20230919,-77.5478
20230920,-78.6882
20230920,-79.7775
20230920,-78.14
20230920,-79.2105
20230920,-80.3745
20230920,-81.4371
20230920,-80.5459
20230920,-83.6072
20230920,-84.8736
20230920,-86.3243
20230920,-85.1365
20230920,-86.4279
20230920,-87.6222
20230920,-89.3691
20230920,-90.8098
20230920,-92.4042
20230920,-91.5336
20230920,-89.9174
20230920,-91.3353
20230920,-90.4814
20230920,-91.9089
20230920,-90.3476
20230920,-91.5847
20230920,-92.7554
20230920,-93.8789
20230920,-92.0172
20230920,-90.4941
20230920,-89.3059
20230920,-87.3754
20230920,-88.4956
20230920,-89.7221
20230921,-90.8133
20230921,-91.8944
20230921,-93.0085
20230921,-94.1273
20230921,-92.3235
20230921,-90.4497
20230921,-91.599
20230921,-92.9506
20230921,-94.0835
20230921,-95.4429
20230921,-94.0647
20230921,-95.2315
20230921,-96.3905
20230921,-97.5518
20230921,-98.8024
20230921,-100.0422
20230921,-98.0924
20230921,-96.3964
20230921,-95.5327
20230921,-96.6969
20230921,-94.9173
20230921,-96.2472
20230921,-97.648
20230921,-96.181
20230921,-97.2726
20230921,-98.731
20230921,-99.9987
20230921,-101.4615
20230921,-100.1881
20230921,-98.9368
20230921,-97.4112
20230921,-99.3247
20230922,-97.6947
20230922,-98.8296
20230922,-100.4405
20230922,-101.5816
20230922,-99.9554
20230922,-101.0575
20230922,-102.2329
20230922,-103.5681
20230922,-104.7925
20230922,-106.5639
20230922,-107.6854
20230922,-108.88
20230922,-110.7031
20230922,-108.3371
20230922,-109.6165
20230922,-108.8238
20230922,-107.3359
20230922,-108.7752
20230922,-109.9521
20230922,-111.1821
20230922,-110.3177
20230922,-111.4767
20230922,-112.9588
20230922,-114.2659
20230922,-115.4823
20230922,-114.2019
20230922,-115.9755
20230922,-117.0469
20230922,-118.6026
20230922,-120.051
20230922,-121.1659
20230922,-119.7557
20230925,-117.8333
20230925,-118.969
20230925,-120.1867
20230925,-121.2478
20230925,-122.3571
20230925,-123.5353
20230925,-121.3562
20230925,-122.5195
20230925,-123.667
20230925,-121.8069
20230925,-123.3791
20230925,-121.8408
20230925,-123.3512
20230925,-124.7225
20230925,-126.1397
20230925,-124.3202
20230925,-126.2183
20230925,-124.3871
20230925,-125.5823
20230925,-126.6941
20230925,-127.9367
20230925,-126.4576
20230925,-126.4393
20230925,-127.7802
20230925,-126.13
20230925,-127.5608
20230925,-126.1235
20230925,-127.3642
20230925,-126.5802
20230925,-125.3922
20230925,-126.6557
20230925,-127.8328
20230926,-128.9376
20230926,-127.1594
20230926,-128.4999
20230926,-126.8312
20230926,-127.9533
20230926,-129.1368
20230926,-130.6957
20230926,-132.2182
20230926,-133.3809
20230926,-131.7583
20230926,-132.9167
20230926,-134.0264
20230926,-132.4876
20230926,-133.7362
20230926,-132.4962
20230926,-133.6943
20230926,-134.96
20230926,-136.2152
20230926,-137.4253
20230926,-136.2188
