day,cum_net_r
20230911,-1.0
20230911,-2.0
20230911,-3.0
20230911,-4.0
20230911,-2.0943
20230911,-3.0943
20230911,-4.0943
20230911,-5.0943
20230911,-3.0943
20230911,-0.7888
20230911,-1.7888
20230911,-2.7888
20230911,-3.7888
20230911,-1.1478
20230911,-2.1478
20230911,-3.3239
20230911,0.5731
20230911,2.3935
20230911,1.2585
20230911,0.2585
20230911,2.4008
20230911,1.4008
20230911,0.4008
20230911,2.7555
20230911,4.7555
20230911,3.7555
20230911,5.8392
20230911,4.8392
20230911,3.8392
20230911,2.8392
20230911,1.8392
20230911,0.8392
20230912,2.1424
20230912,1.1424
20230912,3.1424
20230912,2.1424
20230912,1.1424
20230912,0.1424
20230912,-0.8576
20230912,1.0593
20230912,0.0593
20230912,1.6997
20230912,3.5985
20230912,2.5985
20230912,2.7431
20230912,1.7431
20230912,0.7431
20230912,-0.2569
20230912,-1.2569
20230912,-2.2569
20230912,-3.2569
20230912,-4.3157
20230912,-5.3157
20230912,-6.3157
20230912,-7.3157
20230912,-8.3157
20230912,-6.3157
20230912,-7.3157
20230912,-6.9768
20230912,-5.674
20230912,-6.674
20230912,-2.658
20230912,-3.658
20230912,-4.658
20230913,-5.658
20230913,-6.658
20230913,-7.658
20230913,-5.658
20230913,-3.6215
20230913,-4.6215
20230913,-3.2435
20230913,-4.2435
20230913,-5.2435
20230913,-3.6091
20230913,-1.6091
20230913,-0.0884
20230913,-1.0919
20230913,-2.0919
20230913,-3.0919
20230913,-4.0919
20230913,-2.0919
20230913,-0.7124
20230913,-1.7124
20230913,-2.7124
20230913,-3.7124
20230913,-4.7124
20230913,-5.7124
20230913,-6.7124
20230913,-3.8642
20230913,-4.8642
20230913,-5.8642
20230913,-6.8642
20230913,-4.8642
20230913,-5.8642
20230913,-2.9445
20230913,-3.9445
20230914,-4.9445
20230914,-5.9445
20230914,-6.9445
20230914,-4.4029
20230914,-5.4029
20230914,-6.4029
20230914,-7.4029
20230914,-5.6222
20230914,-6.6222
20230914,-7.6222
20230914,-8.6912
20230914,-6.8502
20230914,-5.2587
20230914,-6.2587
20230914,-7.2737
20230914,-8.2737
20230914,-9.2737
20230914,-7.2737
20230914,-8.2737
20230914,-9.2737
20230914,-7.563
20230914,-8.563
20230914,-9.563
20230914,-7.5213
20230914,-8.5213
20230914,-9.5213
20230914,-10.5213
20230914,-9.5526
20230914,-10.5526
20230914,-11.5526
20230914,-12.5526
20230914,-10.5526
20230915,-11.5526
20230915,-12.5526
20230915,-13.5526
20230915,-14.5526
20230915,-15.5526
20230915,-13.4629
20230915,-14.4629
20230915,-11.6276
20230915,-12.6276
20230915,-13.6276
20230915,-14.6276
20230915,-15.6276
20230915,-16.6276
20230915,-14.6276
20230915,-15.6276
20230915,-13.3964
20230915,-10.5681
20230915,-11.5681
20230915,-9.8824
20230915,-10.8824
20230915,-9.2978
20230915,-8.0486
20230915,-6.0486
20230915,-7.0486
20230915,-8.0486
20230915,-9.0486
20230915,-10.0486
20230915,-8.2479
20230915,-9.3776
20230915,-7.5552
20230915,-8.5552
20230915,-9.5552
20230918,-10.5552
20230918,-11.5552
20230918,-12.5552
20230918,-13.5552
20230918,-14.5552
20230918,-15.5552
20230918,-14.5831
20230918,-15.5831
20230918,-16.5831
20230918,-13.9686
20230918,-14.9686
20230918,-15.9686
20230918,-14.8489
20230918,-15.8489
20230918,-16.8489
20230918,-17.8489
20230918,-16.0921
20230918,-17.0921
20230918,-14.7305
20230918,-15.7305
20230918,-13.9396
20230918,-12.0893
20230918,-8.4146
20230918,-6.6296
20230918,-7.6296
20230918,-6.1513
20230918,-4.3726
20230918,-5.3726
20230918,-3.0296
20230918,-1.0296
20230918,0.9704
20230918,-0.0296
20230919,1.6363
20230919,0.6363
20230919,2.6363
20230919,1.6363
20230919,0.6363
20230919,2.4771
20230919,4.4771
20230919,3.4771
20230919,5.33
20230919,7.33
20230919,8.9627
20230919,7.9627
20230919,10.34
20230919,9.34
20230919,8.34
20230919,10.1109
20230919,12.0934
