day,cum_net_r
20120110,-1.3693
20120112,-1.5849
20120113,-1.2772
20120118,-2.4415
20120119,-3.5544
20120120,-4.6491
20120202,-4.2714
20120203,-3.355
20120206,-4.4106
20120209,-5.579
20120210,-6.6284
20120213,-5.7697
20120213,-6.9016
20120222,-8.0696
20120227,-8.0953
20120229,-5.8289
20120302,-6.8992
20120305,-6.4432
20120306,-5.0897
20120309,-6.4315
20120315,-5.4156
20120319,-4.943
20120322,-4.5574
20120323,-3.7742
20120326,-5.0434
20120327,-6.1676
20120329,-4.9561
20120330,-4.2597
20120402,-3.8368
20120409,-4.904
20120410,-4.7904
20120411,-4.7372
20120416,-4.5516
20120417,-6.0267
20120418,-7.08
20120419,-8.1069
20120419,-7.7507
20120420,-8.8441
20120423,-9.8894
20120503,-9.4066
20120504,-8.7971
20120510,-9.9183
20120511,-11.0189
20120515,-12.2217
20120516,-12.0994
20120517,-11.7669
20120518,-12.8858
20120521,-13.921
20120522,-14.9558
20120524,-16.0037
20120529,-15.5474
20120531,-16.6157
20120601,-17.6892
20120604,-17.5871
20120605,-17.5803
20120606,-17.1737
20120611,-15.6811
20120615,-15.3373
20120618,-14.4844
20120619,-14.5762
20120620,-14.1964
20120625,-15.2622
20120626,-14.6232
20120702,-13.4646
20120703,-11.3476
20120705,-12.4272
20120709,-11.6305
20120710,-11.3905
20120716,-11.0699
20120718,-11.196
20120725,-12.4235
20120727,-12.2671
20120731,-11.8963
20120801,-11.6642
20120806,-10.4703
20120807,-10.4636
20120808,-10.1869
20120809,-11.3395
20120813,-11.0444
20120814,-12.1454
20120815,-8.9156
20120816,-7.1371
20120817,-8.2388
20120821,-7.7877
20120822,-8.8383
20120823,-9.9344
20120824,-11.0017
20120828,-10.937
20120829,-10.5968
20120831,-10.5904
20120904,-11.8773
20120906,-10.7505
20120907,-10.5369
20120910,-9.406
20120914,-9.0173
20120918,-10.1023
20120919,-11.3731
20120925,-11.2432
20120926,-9.6879
20120927,-9.679
20120928,-10.7561
20121002,-11.8536
20121003,-11.0466
20121008,-12.2333
20121009,-13.5469
20121010,-14.6414
20121011,-15.9094
20121012,-16.9686
20121015,-16.4949
20121016,-16.1819
20121017,-15.6566
20121022,-17.3015
20121023,-18.3744
20121024,-17.9289
20121026,-19.0304
20121031,-18.9375
20121101,-20.9374
20121112,-20.5465
20121114,-19.79
20121115,-19.346
20121116,-19.1861
20121119,-20.6581
20121120,-21.7143
20121121,-22.8806
20121123,-22.4993
20121204,-24.2836
20121205,-23.4101
20121206,-23.3178
20121210,-22.7314
20121211,-22.3507
20121212,-23.4659
20121217,-21.0662
20121218,-21.0352
20121219,-20.6794
20121221,-20.4728
20121224,-20.2286
20121226,-22.2286
20121227,-21.8792
20130102,-21.4999
20130103,-22.68
20130104,-23.7655
20130107,-24.8701
20130108,-26.142
20130111,-27.2998
20130116,-28.6845
20130118,-27.6648
20130122,-27.3273
20130124,-26.949
20130125,-26.6777
20130128,-27.7901
20130129,-28.8962
20130130,-28.8961
20130201,-27.8533
20130204,-28.9187
20130206,-28.6289
20130212,-28.2416
20130213,-27.9051
20130214,-27.4488
20130219,-28.7078
20130227,-29.9488
20130228,-31.0147
20130304,-32.0883
20130306,-33.2822
20130307,-32.6324
20130311,-31.5762
20130314,-29.882
20130315,-29.7574
20130318,-30.8501
20130320,-32.0456
20130322,-33.5381
20130326,-32.9426
20130402,-32.4379
20130404,-32.0608
20130405,-33.159
20130409,-34.2728
20130410,-32.8871
20130411,-32.7692
20130415,-31.2605
20130416,-32.3137
20130417,-31.3125
20130418,-32.345
20130422,-33.4341
20130423,-33.1902
20130424,-34.339
20130425,-33.7806
20130426,-34.8359
20130429,-34.6497
20130430,-34.2262
20130503,-34.0242
20130506,-35.0993
20130507,-36.1905
20130508,-37.3134
20130510,-38.4446
20130513,-38.2861
20130514,-36.1205
20130515,-36.0042
20130516,-36.0534
20130517,-35.106
20130520,-36.2792
20130521,-37.5006
20130522,-38.6254
20130528,-39.663
20130603,-40.7269
20130604,-40.3881
20130605,-41.4639
20130606,-41.1218
20130610,-41.1389
20130611,-41.0163
20130618,-41.1156
20130621,-42.2137
20130625,-42.0453
20130627,-41.3135
20130628,-42.4298
20130702,-43.6104
20130705,-43.6789
20130708,-45.1791
20130709,-44.7583
20130710,-45.9128
20130712,-47.3159
20130715,-46.924
20130717,-48.0309
20130718,-47.304
20130722,-44.1263
20130723,-42.71
20130724,-42.5197
20130731,-43.8577
20130801,-43.4239
20130802,-42.908
20130805,-42.5226
20130806,-42.2118
20130807,-40.72
20130808,-40.7442
20130814,-41.9137
20130819,-39.3806
20130822,-40.4324
20130826,-41.6167
20130829,-42.8182
20130905,-42.8032
20130909,-42.8032
20130910,-42.2082
20130911,-43.2868
20130912,-43.4659
20130913,-43.3093
20130916,-42.8939
20130917,-42.7706
20130918,-42.0194
20130923,-43.3117
20130924,-42.7662
20130925,-43.8851
20130926,-44.9858
20131002,-44.5878
20131003,-45.667
20131007,-46.7895
20131009,-45.9431
20131011,-47.0854
20131014,-45.189
20131016,-45.0063
20131017,-44.9759
20131018,-44.5944
20131021,-45.6856
20131028,-46.8054
20131028,-46.4673
20131029,-45.6612
20131030,-47.0058
20131031,-48.0362
20131101,-47.7434
20131107,-47.3823
20131111,-47.6211
20131112,-48.7157
20131115,-49.9053
20131119,-51.0279
20131120,-49.609
20131125,-50.907
20131126,-50.3894
20131127,-51.6107
20131129,-52.6957
20131205,-53.8125
20131206,-54.8881
20131209,-56.0053
20131209,-54.1827
20131210,-53.9421
20131216,-53.9456
20131217,-55.2232
20131218,-56.2934
20131220,-54.4289
20131223,-53.2891
20131224,-52.8714
20131227,-52.6061
20131231,-52.4122
20140108,-53.4751
20140109,-53.0305
20140110,-52.9569
20140110,-54.1497
20140116,-55.4515
20140124,-56.5694
20140127,-56.55
20140129,-57.9644
20140129,-57.0562
20140131,-58.403
20140203,-57.999
20140205,-57.5219
20140206,-56.783
20140210,-56.2113
20140211,-57.277
20140212,-56.5731
20140214,-55.461
20140218,-53.8333
20140219,-53.6063
20140224,-54.6806
20140225,-55.7345
20140228,-55.3652
20140306,-56.5615
20140310,-57.616
20140310,-57.3656
20140311,-58.4201
20140318,-58.3772
20140320,-58.0549
20140325,-59.3575
20140326,-59.0382
20140328,-58.6302
20140331,-58.1023
20140401,-57.0311
20140402,-58.1341
20140404,-57.7753
20140407,-57.324
20140408,-58.352
20140409,-59.3895
