day,cum_net_r
20120110,-1.0733
20120112,-0.5218
20120113,-1.6092
20120118,-2.763
20120119,-3.9007
20120120,-5.0886
20120125,-5.0512
20120126,-6.183
20120127,-7.3211
20120201,-8.5325
20120202,-8.1361
20120203,-8.1116
20120206,-7.7518
20120207,-7.8902
20120208,-9.0092
20120209,-10.4581
20120210,-11.5978
20120213,-11.1908
20120213,-10.9286
20120214,-12.0576
20120215,-11.3947
20120216,-11.1867
20120222,-12.3066
20120227,-12.2818
20120228,-11.8663
20120229,-13.0077
20120302,-16.5474
20120305,-16.332
20120306,-17.5442
20120307,-18.6851
20120314,-18.5122
20120315,-18.754
20120319,-19.9713
20120320,-19.1714
20120321,-18.8456
20120322,-19.94
20120323,-19.9838
20120329,-21.0384
20120330,-20.5875
20120402,-19.458
20120403,-20.5668
20120410,-19.6441
20120411,-20.7384
20120412,-20.6022
20120416,-21.8185
20120419,-21.7686
20120420,-20.9528
20120423,-22.0225
20120424,-20.563
20120425,-20.5947
20120426,-20.2233
20120427,-21.7048
20120501,-21.6446
20120503,-23.6446
20120504,-23.047
20120508,-22.6159
20120509,-23.6659
20120515,-24.9566
20120522,-23.7773
20120523,-24.832
20120529,-23.698
20120531,-23.1998
20120601,-24.3029
20120604,-25.7476
20120605,-25.6911
20120606,-25.7135
20120608,-24.9098
20120613,-24.2756
20120619,-23.4772
20120625,-23.1883
20120626,-22.9543
20120627,-22.5707
20120705,-22.3907
20120709,-24.3908
20120712,-25.579
20120718,-25.2779
20120719,-24.8827
20120724,-25.9907
20120727,-25.2464
20120806,-24.9001
20120807,-24.88
20120808,-24.8653
20120813,-24.3662
20120814,-25.5679
20120815,-26.6901
20120817,-26.6901
20120820,-26.5903
20120821,-27.6884
20120822,-28.882
20120823,-27.9038
20120827,-29.3065
20120828,-28.9611
20120829,-28.6208
20120831,-32.0933
20120904,-33.6826
20120912,-34.9791
20120913,-36.1741
20120914,-35.7394
20120920,-35.1018
20120921,-36.732
20120926,-36.5004
20121002,-37.6581
20121003,-38.8025
20121004,-38.5386
20121008,-39.6396
20121009,-39.2938
20121010,-38.9319
20121011,-40.1497
20121012,-41.2815
20121015,-40.1445
20121016,-39.8804
20121017,-39.2093
20121018,-38.4289
20121019,-38.4128
20121022,-38.5185
20121024,-38.5987
20121025,-39.7118
20121026,-39.6124
20121106,-39.133
20121107,-40.1999
20121108,-38.3929
20121112,-37.4467
20121114,-36.4753
20121115,-36.29
20121116,-37.3875
20121119,-36.3943
20121120,-37.4989
20121126,-37.5924
20121127,-38.6809
20121128,-38.3331
20121205,-37.9082
20121210,-37.875
20121211,-37.581
20121214,-38.1609
20121224,-39.5157
20121226,-41.1379
20121227,-40.6832
20130103,-41.8063
20130111,-43.1642
20130115,-44.4581
20130116,-45.814
20130117,-46.9206
20130118,-48.0207
20130123,-50.0206
20130124,-49.0373
20130124,-50.1344
20130128,-53.2998
20130131,-54.7548
20130201,-55.8522
20130204,-56.9331
20130206,-58.0334
20130207,-59.2265
20130212,-60.3371
20130212,-59.7521
20130213,-60.8749
20130213,-59.9767
20130228,-59.8865
20130304,-59.9559
20130307,-61.0809
20130315,-58.7748
20130319,-58.135
20130321,-57.7862
20130327,-57.4407
20130328,-57.1771
20130403,-53.7639
20130404,-54.835
20130408,-56.2914
20130410,-56.0668
20130411,-55.6929
20130412,-55.651
20130415,-55.4834
20130416,-55.3301
20130417,-55.1867
20130418,-55.1711
20130422,-55.1108
20130423,-56.5148
20130424,-57.5966
20130425,-59.3796
20130426,-60.5459
20130430,-60.283
20130502,-58.9479
20130503,-60.1453
20130506,-61.4464
20130510,-62.5344
20130513,-63.7583
20130514,-63.3987
20130515,-63.1612
20130517,-62.7068
20130520,-63.9319
20130521,-65.1725
20130522,-64.5416
20130531,-64.2845
20130603,-65.402
20130604,-65.4774
20130606,-65.3905
20130611,-65.0558
20130612,-64.0806
20130614,-63.6798
20130617,-65.1453
20130618,-64.8528
20130621,-65.9771
20130624,-67.0275
20130625,-66.5149
20130626,-67.7366
20130627,-67.3433
20130628,-68.7068
20130701,-67.6416
20130702,-68.714
20130709,-69.9378
20130710,-69.9568
20130711,-71.0742
20130712,-72.1786
20130715,-73.4383
20130718,-72.6461
20130719,-73.4693
20130722,-74.6578
20130723,-73.2075
20130724,-73.0242
20130726,-70.8514
20130729,-71.9586
20130730,-70.8081
20130731,-70.4364
20130801,-71.6971
20130802,-71.347
20130805,-72.528
20130806,-72.2721
20130815,-75.597
