day,cum_net_r
20120111,-0.0106
20120113,-1.2274
20120118,-2.416
20120119,-1.6338
20120120,-2.7685
20120123,-2.3838
20120131,-1.8281
20120201,-2.0925
20120202,-3.2015
20120206,-4.3448
20120209,-5.6446
20120213,-5.223
20120213,-5.3539
20120214,-6.5069
20120215,-7.6353
20120216,-6.9857
20120221,-8.0611
20120222,-9.3133
20120227,-7.5277
20120228,-8.9002
20120229,-8.9424
20120301,-8.5967
20120305,-9.8635
20120306,-9.4548
20120309,-9.2689
20120314,-10.4625
20120315,-10.1905
20120316,-11.3999
20120320,-10.4771
20120321,-11.6332
20120322,-11.2717
20120323,-10.9187
20120326,-10.2183
20120327,-11.3655
20120329,-12.4738
20120330,-12.1054
20120402,-14.1054
20120403,-15.1756
20120410,-13.0347
20120411,-14.1184
20120416,-15.2833
20120418,-16.3773
20120419,-17.6615
20120420,-18.7729
20120423,-19.8417
20120425,-20.9791
20120426,-19.9912
20120427,-19.4242
20120501,-19.3853
20120504,-20.7071
20120508,-20.259
20120509,-21.3133
20120510,-20.4665
20120515,-21.5506
20120516,-22.623
20120517,-21.7816
20120518,-21.3236
20120521,-21.3495
20120523,-22.4374
20120524,-23.495
20120529,-25.1948
20120530,-26.3091
20120531,-27.3969
20120601,-28.4602
20120604,-27.9928
20120615,-26.7929
20120618,-26.2423
20120619,-25.7975
20120620,-26.8366
20120620,-28.0881
20120621,-27.1162
20120622,-28.2788
20120627,-27.462
20120628,-28.5887
20120703,-26.5028
20120705,-27.6021
20120709,-26.6541
20120710,-25.4752
20120711,-25.1117
20120712,-26.197
20120716,-27.2636
20120718,-28.9672
20120719,-28.6137
20120720,-29.6826
20120720,-30.0027
20120723,-31.0989
20120724,-29.7871
20120725,-30.8873
20120726,-31.4714
20120727,-31.4808
20120730,-31.2775
20120731,-30.5812
20120801,-30.3732
20120802,-29.6309
20120806,-30.7867
20120807,-30.4137
20120808,-31.5314
20120815,-31.6324
20120820,-31.6228
20120821,-31.1876
20120823,-30.9201
20120827,-32.0478
20120828,-32.0096
20120829,-33.1663
20120904,-32.3901
20120906,-31.0726
20120910,-32.1951
20120912,-33.4845
20120914,-33.0527
20120919,-34.3833
20120921,-33.3589
20120925,-32.6404
20120926,-31.8396
20120927,-32.9719
20121001,-34.1859
20121004,-35.5161
20121005,-36.6497
20121009,-36.654
20121010,-36.6806
20121011,-36.3206
20121012,-35.8653
20121015,-36.9843
20121015,-35.6681
20121016,-35.5326
20121017,-34.6109
20121018,-34.2046
20121019,-36.2046
20121022,-36.0523
20121023,-35.6194
20121024,-34.63
20121025,-35.7485
20121026,-36.8333
20121031,-35.2754
20121101,-33.7304
20121107,-31.9712
20121108,-30.9745
20121112,-30.8649
20121116,-30.3294
20121119,-31.4272
20121120,-30.8691
20121121,-32.0246
20121123,-29.5251
20121126,-29.2481
20121127,-30.3035
20121130,-31.4115
20121203,-30.498
20121210,-29.9868
20121211,-29.5452
20121213,-29.0283
20121214,-30.1469
20121218,-31.2468
20121221,-32.3421
20121224,-33.5227
20121226,-32.1544
20121227,-31.2041
20121228,-32.2762
20130102,-31.7462
20130103,-31.1938
20130104,-30.8327
20130107,-31.9711
20130109,-33.0717
20130110,-32.1341
20130110,-31.5974
20130115,-31.231
20130116,-32.4463
20130117,-33.5735
20130118,-34.7804
20130122,-34.42
20130123,-35.5625
20130124,-35.2146
20130201,-34.8445
20130206,-36.3001
20130211,-35.7789
20130212,-36.9226
20130213,-38.2024
20130219,-39.4676
20130222,-39.1566
20130225,-39.1772
20130311,-40.389
20130312,-40.3154
20130313,-39.2091
20130314,-40.4772
20130319,-39.8577
20130320,-40.9365
20130321,-42.0605
20130322,-43.1468
20130327,-44.4144
20130328,-42.9553
20130403,-44.996
20130404,-46.1203
20130408,-45.2328
20130410,-44.9022
20130411,-44.622
20130412,-45.9629
20130417,-47.0437
20130418,-46.1978
20130419,-47.2463
20130422,-48.3248
20130422,-47.8918
20130423,-49.0009
20130424,-50.1909
20130425,-49.7992
20130426,-50.8761
20130430,-49.566
20130506,-49.256
20130507,-50.4638
20130508,-50.0611
20130509,-51.2025
20130510,-52.2654
20130513,-53.4075
20130514,-50.5223
20130515,-51.6644
20130516,-52.7458
20130522,-52.3219
20130529,-53.382
20130604,-52.788
20130611,-53.8712
20130612,-53.7099
20130614,-53.2692
20130617,-52.6512
20130620,-53.7994
20130621,-53.6332
20130624,-54.6696
20130625,-53.9972
20130626,-53.5805
20130627,-54.6888
20130701,-54.6733
20130702,-54.6218
20130705,-54.1717
20130708,-55.2937
20130709,-56.5211
20130710,-57.5603
20130711,-56.9208
20130712,-56.7627
20130715,-56.3612
20130717,-57.4657
20130718,-57.0335
20130731,-58.1013
20130801,-57.6637
20130802,-58.8008
20130805,-56.7334
20130806,-57.9459
20130808,-58.0207
20130809,-59.1181
20130809,-58.9661
20130815,-60.5373
20130816,-61.6141
20130819,-62.7458
20130821,-62.3387
20130823,-61.4287
20130826,-60.4069
20130827,-61.5143
20130829,-62.7155
20130830,-61.6111
20130903,-60.2739
20130904,-61.6204
20130905,-62.7071
20130909,-62.6894
20130910,-63.8205
20130911,-62.9905
