day,cum_net_r
20230911,0.4549
20230911,0.6465
20230911,-0.3829
20230911,-0.0007
20230911,-1.2078
20230911,-0.1354
20230911,0.5381
20230911,-0.6334
20230911,-1.6719
20230911,-2.6892
20230911,-3.7156
20230911,-4.7296
20230911,-4.391
20230911,-4.1543
20230911,-2.3422
20230911,-1.6519
20230911,-2.7241
20230911,-3.9266
20230912,-3.4426
20230912,-4.456
20230912,-5.5128
20230912,-5.0677
20230912,-6.1259
20230912,-7.2311
20230912,-6.8698
20230912,-6.6915
20230912,-6.7157
20230912,-7.8337
20230912,-7.3736
20230912,-7.3083
20230912,-6.8819
20230912,-8.0241
20230912,-9.2003
20230912,-9.1114
20230912,-7.9704
20230912,-7.3492
20230912,-7.0072
20230913,-6.2826
20230913,-5.826
20230913,-5.4554
20230913,-5.2524
20230913,-4.5414
20230913,-4.2801
20230913,-5.3255
20230913,-4.8711
20230913,-5.8964
20230913,-5.6568
20230913,-5.3314
20230913,-6.5192
20230914,-6.2153
20230914,-6.0456
20230914,-6.0275
20230914,-4.1279
20230914,-5.2006
20230914,-6.2841
20230914,-7.3332
20230914,-7.0783
20230914,-8.1447
20230914,-7.5461
20230914,-6.49
20230914,-6.1601
20230914,-4.8651
20230914,-4.4301
20230914,-4.0316
20230914,-3.5739
20230914,-3.0982
20230914,-4.1965
20230915,-5.2525
20230915,-6.3317
20230915,-7.3682
20230915,-6.1493
20230915,-5.7742
20230915,-6.8792
20230915,-8.3527
20230915,-7.8916
20230915,-7.8916
20230915,-7.9195
20230915,-10.432
20230915,-10.4753
20230918,-11.5173
20230918,-12.5566
20230918,-12.4937
20230918,-11.4402
20230918,-12.5215
20230918,-14.2663
20230918,-15.297
20230918,-15.1017
20230919,-14.5295
20230919,-14.0617
20230919,-13.1702
20230919,-12.727
20230919,-12.1719
20230919,-13.1907
20230919,-12.7322
20230919,-12.2595
20230919,-13.285
20230919,-13.2084
20230919,-12.7344
20230919,-12.4346
20230919,-13.4852
20230919,-14.6129
20230919,-14.2856
20230919,-13.8295
20230919,-14.8666
20230919,-15.9481
20230919,-15.5522
20230919,-16.6273
20230919,-14.8478
20230919,-16.0333
20230919,-17.0909
20230919,-18.787
20230920,-18.4599
20230920,-18.508
20230920,-19.5685
20230920,-19.1023
20230920,-18.7315
20230920,-18.0035
20230920,-17.7374
20230920,-18.7823
20230920,-18.0511
20230920,-17.545
20230920,-17.3473
20230920,-17.1826
20230920,-16.58
20230920,-15.6774
20230920,-15.5148
20230921,-15.3522
20230921,-14.6491
20230921,-14.2849
20230921,-15.3177
20230921,-15.2872
20230921,-16.3128
20230921,-17.4684
20230921,-18.516
20230921,-19.6089
20230921,-20.6597
20230921,-21.8841
20230921,-22.962
20230921,-22.5372
20230921,-21.1711
20230921,-22.2807
20230921,-21.6783
20230921,-20.9093
20230922,-21.9784
20230922,-23.0264
20230922,-24.0982
20230922,-25.1247
20230922,-26.1483
20230922,-27.229
20230922,-27.034
20230922,-26.6702
20230922,-26.4429
20230922,-27.4855
20230922,-26.6633
20230922,-27.7362
20230922,-29.0349
20230922,-26.9775
20230922,-26.5332
20230922,-26.0491
20230925,-25.9121
20230925,-26.9329
20230925,-27.9734
20230925,-27.8484
20230925,-27.8613
20230925,-28.8942
20230925,-29.983
20230925,-30.0521
20230925,-31.0938
20230925,-32.1327
20230925,-33.286
20230925,-34.4273
20230926,-33.8583
20230926,-32.7718
20230926,-33.8523
20230926,-32.8584
20230926,-33.9234
20230926,-33.8011
20230926,-33.6125
20230926,-34.7435
20230926,-35.8749
20230926,-35.5592
20230926,-36.6668
20230926,-37.8493
20230926,-37.6232
20230926,-38.9183
20230926,-39.9837
20230926,-41.163
20230926,-40.7317
20230926,-40.2768
20230927,-40.267
20230927,-40.0546
20230927,-41.1026
20230927,-41.0587
20230927,-40.6151
20230927,-41.6336
20230927,-41.2427
20230927,-42.3697
20230927,-43.5647
20230927,-44.598
20230927,-44.3262
20230927,-44.2067
20230927,-43.8908
20230927,-45.0869
20230927,-46.2405
