day,cum_net_r
20120110,-1.3693
20120112,-1.5849
20120113,-2.6507
20120118,-3.8151
20120119,-4.9279
20120120,-6.0227
20120202,-4.5902
20120203,-3.1275
20120206,-4.1831
20120209,-5.3515
20120210,-6.4009
20120213,-5.9438
20120213,-7.0757
20120222,-8.2437
20120227,-6.7751
20120229,-5.4825
20120302,-6.5528
20120305,-6.0968
20120306,-4.6288
20120309,-5.9706
20120315,-4.563
20120319,-4.0903
20120322,-2.6715
20120323,-3.7172
20120326,-4.9864
20120327,-6.1106
20120329,-4.6479
20120330,-3.1793
20120402,-1.7012
20120409,-2.7684
20120410,-1.3055
20120411,-2.3841
20120416,-1.9201
20120417,-3.3952
20120418,-4.4486
20120419,-5.4755
20120419,-4.044
20120420,-5.1375
20120423,-6.1828
20120503,-4.7067
20120504,-3.7121
20120510,-4.8333
20120511,-5.9339
20120515,-7.1367
20120516,-8.2165
20120517,-7.7663
20120518,-8.8852
20120521,-9.9204
20120522,-10.9551
20120524,-12.0031
20120529,-11.5468
20120531,-12.6151
20120601,-13.6886
20120604,-13.2214
20120605,-12.6779
20120606,-12.2713
20120611,-10.8194
20120615,-9.353
20120618,-8.8935
20120619,-7.4265
20120620,-8.4778
20120625,-9.5436
20120626,-10.5822
20120702,-9.4236
20120703,-7.9665
20120705,-9.0461
20120709,-8.6555
20120710,-7.1943
20120716,-6.8736
20120718,-6.9997
20120725,-8.2273
20120727,-6.7524
20120731,-6.3816
20120801,-4.9189
20120806,-3.5326
20120807,-3.0796
20120808,-2.6541
20120809,-3.8067
20120813,-2.3426
20120814,-3.4437
20120815,-2.1521
20120816,-0.7002
20120817,-1.8019
20120821,-1.3508
20120822,-2.4014
20120823,-3.4975
20120824,-4.5648
20120828,-5.6183
20120829,-5.2781
20120831,-3.8116
20120904,-5.0985
20120906,-3.6256
20120907,-3.5453
20120910,-2.1584
20120914,-0.7361
20120918,-1.821
20120919,-3.0918
20120925,-1.8515
20120926,-0.4046
20120927,-1.502
20120928,-2.5791
20121002,-3.6766
20121003,-3.2791
20121008,-4.4657
20121009,-5.7794
20121010,-6.8738
20121011,-8.1419
20121012,-9.2011
20121015,-8.7518
20121016,-10.0952
20121017,-9.6444
20121022,-11.2893
20121023,-12.3622
20121024,-11.9167
20121026,-13.0182
20121031,-14.1596
20121101,-16.1595
20121112,-15.7686
20121114,-15.3428
20121115,-14.8987
20121116,-15.9526
20121119,-17.4246
20121120,-18.4809
20121121,-19.6472
20121123,-18.2319
20121204,-20.0162
20121205,-18.5508
20121206,-19.6928
20121210,-19.3528
20121211,-18.9011
20121212,-20.0163
20121217,-18.5837
20121218,-17.1306
20121219,-16.7748
20121221,-16.5682
20121224,-15.2485
20121226,-17.2485
20121227,-15.7772
20130102,-15.398
20130103,-16.5781
20130104,-17.6635
20130107,-18.7681
20130108,-20.04
20130111,-21.1979
20130116,-22.5826
20130118,-21.2525
20130122,-19.8651
20130124,-19.4868
20130125,-20.6016
20130128,-21.7139
20130129,-22.82
20130130,-21.6654
20130201,-21.2668
20130204,-22.3321
20130206,-22.0424
20130212,-21.6551
20130213,-21.3185
20130214,-19.8687
20130219,-21.1277
20130227,-22.3687
20130228,-23.4346
20130304,-24.5082
20130306,-25.7021
20130307,-25.0523
20130311,-24.6298
20130314,-23.2042
20130315,-21.8226
20130318,-22.9152
20130320,-24.1107
20130322,-25.6032
20130326,-25.1578
20130402,-24.7397
20130404,-24.3626
20130405,-25.4608
20130409,-26.5746
20130410,-25.1224
20130411,-24.679
20130415,-23.2509
20130416,-24.3041
20130417,-22.8477
20130418,-23.8803
20130422,-24.9694
20130423,-26.0463
20130424,-27.1952
20130425,-26.736
20130426,-27.7912
20130429,-28.0515
20130430,-27.628
20130503,-27.426
20130506,-28.5011
20130507,-29.5923
20130508,-30.7152
20130510,-31.8464
20130513,-31.4394
20130514,-30.004
20130515,-28.5425
20130516,-29.6416
20130517,-28.8278
20130520,-30.001
20130521,-31.2224
20130522,-32.3472
20130528,-33.3848
20130603,-34.4487
20130604,-33.6637
20130605,-34.7395
20130606,-33.2815
20130610,-34.3511
20130611,-33.8875
20130618,-33.4871
20130621,-34.5853
20130625,-34.4168
20130627,-33.0079
20130628,-34.1243
20130702,-35.3049
20130705,-34.8564
20130708,-36.3566
20130709,-35.9357
20130710,-37.0903
20130712,-38.4934
20130715,-38.1015
20130717,-39.2084
20130718,-37.7851
20130722,-36.774
20130723,-35.4159
20130724,-34.9743
20130731,-36.3123
20130801,-35.8785
20130802,-35.4348
20130805,-35.2369
20130806,-33.8612
20130807,-32.5033
20130808,-32.0386
20130814,-33.2081
20130819,-31.7795
20130822,-32.8313
20130826,-34.0156
20130829,-35.2171
20130905,-36.3881
20130909,-35.2178
20130910,-36.3538
20130911,-37.4324
20130912,-36.2607
20130913,-37.3145
20130916,-36.8991
20130917,-36.7758
20130918,-36.0246
20130923,-37.3169
20130924,-38.4196
20130925,-39.5385
20130926,-40.6392
20131002,-40.2412
20131003,-41.3204
20131007,-42.4429
20131009,-41.5965
20131011,-42.7387
20131014,-41.329
20131016,-40.5107
20131017,-39.3145
20131018,-38.933
20131021,-40.0242
20131028,-41.144
20131028,-40.8059
20131029,-39.3371
20131030,-40.6817
20131031,-41.7121
20131101,-41.236
20131107,-40.8749
20131111,-39.8524
20131112,-40.947
20131115,-42.1366
20131119,-43.2592
20131120,-42.869
20131125,-44.1669
20131126,-42.7221
20131127,-43.9433
20131129,-45.0284
20131205,-46.1451
20131206,-47.2207
20131209,-48.338
20131209,-47.0158
20131210,-48.1475
20131216,-49.2131
20131217,-50.4908
20131218,-51.561
20131220,-50.1024
20131223,-48.9627
20131224,-48.545
20131227,-48.2797
20131231,-48.0858
20140108,-49.1487
20140109,-48.6879
20140110,-48.2505
20140110,-49.4433
20140116,-50.7451
20140124,-51.863
20140127,-50.3857
20140129,-51.8001
20140129,-51.1833
20140131,-52.5302
20140203,-52.1261
20140205,-51.6491
20140206,-50.2318
20140210,-49.6601
20140211,-50.7258
20140212,-51.8264
20140214,-50.4088
20140218,-48.9561
20140219,-50.0274
20140224,-51.1017
20140225,-52.1557
20140228,-51.7863
20140306,-52.9827
20140310,-54.0372
20140310,-55.1075
20140311,-56.162
20140318,-54.6857
20140320,-54.8586
20140325,-56.1612
20140326,-54.6787
20140328,-53.2369
20140331,-51.8461
20140401,-51.3899
20140402,-52.4929
20140404,-52.1342
20140407,-51.6829
