day,cum_net_r
20120110,-1.0733
20120112,-0.5218
20120113,-1.6092
20120118,-2.763
20120119,-3.9007
20120120,-5.0886
20120125,-4.7114
20120126,-5.8431
20120127,-6.9812
20120201,-8.1927
20120202,-7.7962
20120203,-6.6636
20120206,-6.3614
20120207,-6.4999
20120208,-7.6189
20120209,-9.0677
20120210,-10.2074
20120213,-9.8005
20120213,-8.4813
20120214,-9.6103
20120215,-9.1945
20120216,-7.7272
20120222,-8.8471
20120227,-7.4154
20120228,-5.9793
20120229,-7.1208
20120302,-10.6605
20120305,-10.4451
20120306,-11.6573
20120307,-12.7981
20120314,-12.6253
20120315,-12.8671
20120319,-14.0844
20120320,-15.3343
20120321,-15.0085
20120322,-16.103
20120323,-17.1656
20120329,-18.2202
20120330,-17.7849
20120402,-16.3239
20120403,-17.4326
20120410,-16.0479
20120411,-17.1422
20120412,-17.006
20120416,-18.2223
20120419,-19.2848
20120420,-18.871
20120423,-19.9408
20120424,-18.5266
20120425,-18.2846
20120426,-16.8703
20120427,-18.3517
20120501,-17.8863
20120503,-19.8863
20120504,-18.4348
20120508,-16.987
20120509,-18.037
20120515,-19.3277
20120522,-18.3709
20120523,-19.4255
20120529,-18.2915
20120531,-19.3431
20120601,-20.4462
20120604,-21.8909
20120605,-20.9584
20120606,-19.4946
20120608,-18.0409
20120613,-17.6538
20120619,-16.23
20120625,-17.3171
20120626,-18.3687
20120627,-19.4236
20120705,-18.1651
20120709,-20.1652
20120712,-21.3533
20120718,-20.0039
20120719,-19.6087
20120724,-20.7167
20120727,-19.2652
20120806,-18.9188
20120807,-17.4788
20120808,-18.2876
20120813,-18.0735
20120814,-19.2752
20120815,-20.3974
20120817,-19.2702
20120820,-18.9342
20120821,-20.0323
20120822,-21.2259
20120823,-19.841
20120827,-21.2437
20120828,-20.8982
20120829,-19.4771
20120831,-22.9496
20120904,-24.5389
20120912,-25.8354
20120913,-27.0304
20120914,-26.5957
20120920,-25.9581
20120921,-27.5883
20120926,-26.2642
20121002,-27.4219
20121003,-28.5664
20121004,-29.6274
20121008,-30.7284
20121009,-29.3436
20121010,-27.947
20121011,-29.1648
20121012,-30.2966
20121015,-29.8611
20121016,-29.597
20121017,-29.149
20121018,-28.7741
20121019,-27.3225
20121022,-28.4284
20121024,-26.9768
20121025,-28.0899
20121026,-29.1597
20121106,-28.7159
20121107,-29.7828
20121108,-28.4334
20121112,-26.9973
20121114,-25.5483
20121115,-26.617
20121116,-27.7145
20121119,-26.2654
20121120,-27.3701
20121126,-26.3262
20121127,-27.4147
20121128,-25.9453
20121205,-24.502
20121210,-24.7063
20121211,-24.4122
20121214,-24.9921
20121224,-26.347
20121226,-27.9691
20121227,-27.5144
20130103,-28.6376
20130111,-29.9955
20130115,-31.2894
20130116,-32.6452
20130117,-33.7518
20130118,-34.852
20130123,-36.8519
20130124,-35.4201
20130124,-36.5172
20130128,-39.6825
20130131,-41.1375
20130201,-42.235
20130204,-43.3159
20130206,-44.4162
20130207,-45.6093
20130212,-46.7199
20130212,-45.396
20130213,-46.5188
20130213,-46.2193
20130228,-47.3334
20130304,-48.5063
20130307,-49.6313
20130315,-48.4026
20130319,-47.9785
20130321,-47.6297
20130327,-47.2842
20130328,-47.0206
20130403,-45.7339
20130404,-46.805
20130408,-48.2614
20130410,-48.0368
20130411,-46.6303
20130412,-47.8663
20130415,-46.4052
20130416,-47.4835
20130417,-46.021
20130418,-45.5855
20130422,-46.669
20130423,-48.073
20130424,-49.1548
20130425,-50.9378
20130426,-52.1041
20130430,-50.7794
20130502,-49.3277
20130503,-50.525
20130506,-51.8261
20130510,-52.9142
20130513,-54.138
20130514,-52.7408
20130515,-53.8671
20130517,-53.4128
20130520,-54.6379
20130521,-55.8785
20130522,-57.1371
20130531,-56.88
20130603,-57.9975
20130604,-57.6379
20130606,-56.2058
20130611,-54.7519
20130612,-53.3026
20130614,-52.9018
20130617,-54.3673
20130618,-55.5917
20130621,-56.716
20130624,-57.7664
20130625,-58.2259
20130626,-59.4476
20130627,-59.0543
20130628,-60.4178
20130701,-58.9964
20130702,-60.0688
20130709,-61.2926
20130710,-62.4341
20130711,-63.5515
20130712,-64.656
20130715,-65.9156
20130718,-67.0139
20130719,-67.837
20130722,-69.0255
20130723,-67.6109
20130724,-67.1883
20130726,-65.9551
20130729,-67.0623
20130730,-65.6377
20130731,-65.266
20130801,-66.5267
20130802,-66.2342
20130805,-67.4153
20130806,-66.0918
20130815,-69.4166
