day,cum_net_r
20120111,-1.0838
20120113,-2.3006
20120118,-3.4891
20120119,-3.0668
20120120,-4.2015
20120123,-3.8168
20120131,-2.3385
20120201,-2.6028
20120202,-3.7119
20120206,-4.8552
20120209,-6.1549
20120213,-5.7334
20120213,-6.9607
20120214,-8.1137
20120215,-9.2421
20120216,-7.7608
20120221,-8.8362
20120222,-10.0884
20120227,-8.646
20120228,-10.0184
20120229,-11.1028
20120301,-12.1449
20120305,-13.4118
20120306,-13.0031
20120309,-11.689
20120314,-12.8826
20120315,-12.0188
20120316,-13.2283
20120320,-12.3054
20120321,-13.4616
20120322,-12.0432
20120323,-13.1011
20120326,-12.4007
20120327,-13.5479
20120329,-14.6562
20120330,-13.2009
20120402,-15.2008
20120403,-16.271
20120410,-14.7917
20120411,-15.8753
20120416,-17.0402
20120418,-18.1342
20120419,-19.4184
20120420,-20.5299
20120423,-21.5987
20120425,-22.736
20120426,-21.2669
20120427,-22.3968
20120501,-21.9153
20120504,-23.2371
20120508,-22.789
20120509,-23.8433
20120510,-24.9066
20120515,-25.9907
20120516,-27.0631
20120517,-26.6198
20120518,-26.1618
20120521,-27.2077
20120523,-28.2956
20120524,-29.3532
20120529,-31.053
20120530,-32.1673
20120531,-33.2551
20120601,-34.3184
20120604,-33.851
20120615,-32.4101
20120618,-31.9525
20120619,-30.4855
20120620,-31.5246
20120620,-32.776
20120621,-31.2926
20120622,-32.4551
20120627,-32.0009
20120628,-33.1277
20120703,-31.6821
20120705,-32.7813
20120709,-32.3838
20120710,-30.9329
20120711,-31.9786
20120712,-33.0638
20120716,-34.1304
20120718,-35.8341
20120719,-36.9316
20120720,-38.0005
20120720,-38.3207
20120723,-39.4169
20120724,-38.9739
20120725,-40.0741
20120726,-40.6582
20120727,-40.201
20120730,-41.2608
20120731,-39.882
20120801,-41.0192
20120802,-40.5532
20120806,-41.709
20120807,-41.336
20120808,-42.4537
20120815,-42.5547
20120820,-42.5451
20120821,-42.1099
20120823,-43.2898
20120827,-44.4176
20120828,-45.4758
20120829,-46.6325
20120904,-47.9188
20120906,-46.6014
20120910,-47.7238
20120912,-49.0133
20120914,-47.5525
20120919,-48.8831
20120921,-47.6462
20120925,-46.2035
20120926,-44.7431
20120927,-45.8754
20121001,-47.0894
20121004,-48.4196
20121005,-49.5533
20121009,-49.2113
20121010,-47.7722
20121011,-48.9303
20121012,-48.475
20121015,-49.594
20121015,-48.2965
20121016,-46.8357
20121017,-45.3766
20121018,-44.9703
20121019,-46.9703
20121022,-48.0742
20121023,-47.6413
20121024,-47.1846
20121025,-48.3032
20121026,-49.3879
20121031,-47.9188
20121101,-46.4517
20121107,-44.9953
20121108,-43.5177
20121112,-43.0885
20121116,-42.6498
20121119,-43.7475
20121120,-43.317
20121121,-44.4726
20121123,-43.0375
20121126,-44.1252
20121127,-45.1807
20121130,-46.2887
20121203,-44.8354
20121210,-44.9695
20121211,-43.5035
20121213,-44.6226
20121214,-45.7413
20121218,-46.8411
20121221,-47.9364
20121224,-49.117
20121226,-47.6975
20121227,-46.2518
20121228,-47.3239
20130102,-46.1753
20130103,-44.7399
20130104,-44.3788
20130107,-45.5172
20130109,-46.6178
20130110,-46.2298
20130110,-45.6932
20130115,-44.2703
20130116,-45.4856
20130117,-46.6127
20130118,-47.8197
20130122,-47.4593
20130123,-48.6017
20130124,-47.1887
20130201,-45.7627
20130206,-47.2183
20130211,-47.7922
20130212,-48.9359
20130213,-50.2156
20130219,-51.4809
20130222,-52.5633
20130225,-53.6622
20130311,-54.8739
20130312,-56.0047
20130313,-55.636
20130314,-56.9041
20130319,-58.0003
20130320,-59.0791
20130321,-60.2031
20130322,-61.2894
20130327,-62.557
20130328,-61.1256
20130403,-63.1663
20130404,-64.2906
20130408,-65.3833
20130410,-65.0526
20130411,-63.5824
20130412,-64.9233
20130417,-66.0042
20130418,-65.549
20130419,-66.5975
20130422,-67.676
20130422,-67.243
20130423,-68.3521
20130424,-69.5421
20130425,-68.0797
20130426,-69.1566
20130430,-68.7993
20130506,-68.4894
20130507,-69.6971
20130508,-68.2508
20130509,-69.3921
20130510,-70.4551
20130513,-71.5972
20130514,-70.1481
20130515,-71.2903
20130516,-72.3717
20130522,-71.9478
20130529,-73.0079
20130604,-72.5563
20130611,-73.6394
20130612,-72.1726
20130614,-71.732
20130617,-72.8085
20130620,-73.9567
20130621,-73.4922
20130624,-74.5286
20130625,-75.5686
20130626,-75.1519
20130627,-76.2602
20130701,-77.3665
20130702,-78.4238
20130705,-77.9706
20130708,-79.0926
20130709,-80.3201
20130710,-81.3592
20130711,-80.7197
20130712,-81.7991
20130715,-81.3976
20130717,-82.5021
20130718,-82.0699
20130731,-83.1377
20130801,-82.7
20130802,-83.8372
20130805,-82.452
20130806,-83.6646
20130808,-82.2086
20130809,-83.306
20130809,-83.154
20130815,-84.7252
20130816,-85.802
20130819,-86.9338
20130821,-86.5266
20130823,-85.6166
20130826,-85.2376
20130827,-86.3449
20130829,-87.5462
20130830,-86.0903
20130903,-84.6201
20130904,-85.9666
20130905,-87.0533
20130909,-85.6069
20130910,-86.738
20130911,-85.9079
20130912,-87.035
20130916,-88.169
20130917,-87.7909
20130918,-86.9439
20130924,-88.0332
20131001,-87.9612
20131002,-87.0364
20131003,-85.5725
20131007,-87.5725
20131010,-86.1707
20131011,-85.752
20131015,-87.752
20131017,-89.9765
20131018,-91.0828
20131021,-92.1984
20131022,-93.5127
20131023,-94.699
20131025,-95.8317
20131025,-95.5272
20131028,-95.1638
20131029,-94.9382
20131031,-95.9823
20131104,-97.5626
20131105,-99.0878
20131106,-100.2623
20131111,-101.619
20131119,-102.88
20131120,-103.9927
20131126,-105.1277
20131127,-104.2157
20131129,-105.3477
20131202,-105.064
20131202,-104.9558
20131203,-104.5429
20131204,-104.0863
20131205,-105.1801
20131209,-106.8325
20131210,-107.9155
20131212,-109.2326
20131213,-108.7951
20131223,-109.9735
20131224,-108.8715
20131226,-110.0764
20140103,-111.6623
20140106,-112.8208
20140108,-113.8839
20140113,-114.9938
20140117,-113.5325
20140121,-113.1402
20140124,-114.4414
20140127,-112.9611
20140130,-114.102
