day,cum_net_r
20230911,0.4549
20230911,1.431
20230911,0.4015
20230911,0.2425
20230911,-0.9645
20230911,0.5241
20230911,1.1975
20230911,0.026
20230911,-1.0124
20230911,-2.0298
20230911,-3.0562
20230911,-4.0701
20230911,-3.7315
20230911,-3.4948
20230911,-2.0489
20230911,-0.572
20230911,-1.6442
20230911,-2.8467
20230912,-3.8886
20230912,-4.902
20230912,-5.9589
20230912,-7.0758
20230912,-8.134
20230912,-9.2392
20230912,-7.8754
20230912,-6.4602
20230912,-4.9856
20230912,-6.1035
20230912,-5.6435
20230912,-6.7049
20230912,-7.8334
20230912,-8.9756
20230912,-10.1518
20230912,-8.9902
20230912,-7.5939
20230912,-6.1163
20230912,-5.7743
20230913,-5.3027
20230913,-4.8461
20230913,-4.0389
20230913,-5.0766
20230913,-3.5891
20230913,-2.1202
20230913,-3.1656
20230913,-2.7112
20230913,-3.7365
20230913,-2.3722
20230913,-3.0216
20230913,-4.2094
20230914,-5.2444
20230914,-6.2628
20230914,-6.262
20230914,-4.7679
20230914,-5.8406
20230914,-6.9241
20230914,-7.9732
20230914,-7.5698
20230914,-8.6362
20230914,-7.154
20230914,-6.8835
20230914,-6.5535
20230914,-5.0594
20230914,-4.6244
20230914,-4.2259
20230914,-3.7681
20230914,-3.2925
20230914,-4.3908
20230915,-5.4468
20230915,-6.5259
20230915,-7.5625
20230915,-6.1012
20230915,-4.7054
20230915,-5.8104
20230915,-7.2839
20230915,-6.8228
20230915,-6.8228
20230915,-7.8855
20230915,-10.398
20230915,-10.1309
20230918,-11.173
20230918,-12.2123
20230918,-13.2726
20230918,-11.8355
20230918,-12.9168
20230918,-14.6616
20230918,-15.6923
20230918,-15.497
20230919,-14.0103
20230919,-15.0412
20230919,-13.5601
20230919,-12.0929
20230919,-11.671
20230919,-12.6898
20230919,-11.2027
20230919,-10.7301
20230919,-11.7556
20230919,-11.3117
20230919,-10.8377
20230919,-9.4508
20230919,-10.5013
20230919,-11.629
20230919,-10.2497
20230919,-8.7714
20230919,-9.8085
20230919,-10.89
20230919,-10.4941
20230919,-11.5693
20230919,-10.1088
20230919,-11.2943
20230919,-12.3519
20230919,-14.048
20230920,-15.2034
20230920,-16.2516
20230920,-17.3121
20230920,-16.8459
20230920,-15.359
20230920,-14.8908
20230920,-14.4133
20230920,-15.4582
20230920,-13.9657
20230920,-12.4799
20230920,-12.0042
20230920,-13.1214
20230920,-11.6286
20230920,-10.7259
20230920,-10.2921
20230921,-9.8456
20230921,-9.1425
20230921,-10.203
20230921,-11.2359
20230921,-12.2719
20230921,-13.2975
20230921,-14.4531
20230921,-15.5007
20230921,-16.5936
20230921,-17.6445
20230921,-18.8688
20230921,-19.9467
20230921,-19.5219
20230921,-18.2041
20230921,-19.3136
20230921,-18.7875
20230921,-17.9267
20230922,-18.9958
20230922,-20.0439
20230922,-21.1156
20230922,-22.1422
20230922,-23.1657
20230922,-24.2465
20230922,-24.2058
20230922,-23.4851
20230922,-21.9969
20230922,-23.0395
20230922,-24.0891
20230922,-25.1621
20230922,-26.4607
20230922,-24.9671
20230922,-23.4944
20230922,-23.0459
20230925,-22.0293
20230925,-23.0501
20230925,-24.0906
20230925,-23.6191
20230925,-24.67
20230925,-25.703
20230925,-26.7918
20230925,-27.8664
20230925,-28.9081
20230925,-29.9469
20230925,-31.1003
20230925,-32.2415
20230926,-31.6725
20230926,-30.1799
20230926,-31.2604
20230926,-29.7715
20230926,-30.8365
20230926,-31.8658
20230926,-31.4074
20230926,-32.5384
20230926,-33.6698
20230926,-33.3541
20230926,-34.4617
20230926,-35.6442
20230926,-35.4181
20230926,-36.7132
20230926,-37.7786
20230926,-38.9579
20230926,-38.5266
20230926,-38.0717
20230927,-39.0906
20230927,-37.6013
20230927,-38.6493
20230927,-38.1723
20230927,-37.7288
20230927,-38.7472
20230927,-37.2773
20230927,-38.4043
20230927,-39.5992
20230927,-40.6325
20230927,-39.1903
20230927,-37.718
20230927,-36.3759
20230927,-37.5721
20230927,-38.7257
20230927,-39.9292
20230927,-39.452
20230927,-38.0155
20230927,-37.2575
20230928,-38.2683
20230928,-36.7837
20230928,-35.7823
20230928,-34.2917
20230928,-35.3503
20230928,-33.8594
20230928,-34.905
20230928,-35.971
20230928,-37.0814
20230928,-36.7797
20230928,-38.7796
20230928,-37.3181
20230928,-35.9196
20230928,-37.9195
20230928,-39.0271
20230928,-39.1006
20230929,-40.1434
20230929,-38.971
20230929,-39.9999
20230929,-41.0487
20230929,-42.0834
20230929,-43.1616
20230929,-42.1738
20230929,-43.1988
20230929,-44.226
20230929,-45.2802
20230929,-46.31
20230929,-45.8433
20230929,-44.5045
20230929,-45.5784
20231002,-45.3658
20231002,-44.8022
20231002,-44.3283
20231002,-45.3554
20231002,-46.3889
20231002,-47.414
20231002,-46.9508
20231002,-46.9041
20231002,-47.9582
20231002,-47.4666
20231002,-48.5713
20231002,-48.0889
20231002,-46.602
20231002,-46.127
20231002,-44.733
20231002,-45.8078
20231002,-44.9514
20231002,-46.4716
20231002,-47.9196
20231003,-48.9624
20231003,-49.9802
20231003,-51.0237
20231003,-52.0456
20231003,-53.055
20231003,-54.0914
20231003,-53.6052
20231003,-52.1122
20231003,-50.6514
20231003,-49.1597
20231003,-47.6641
20231003,-48.6851
20231003,-48.3109
20231003,-49.3854
20231003,-50.5961
20231003,-49.1261
20231003,-47.6441
20231003,-48.7266
20231003,-49.821
20231004,-49.3414
20231004,-50.3783
20231004,-51.4159
20231004,-52.426
20231004,-53.4618
20231004,-54.5094
20231004,-55.5301
20231004,-56.5857
20231004,-56.1475
20231004,-54.6757
20231004,-53.1927
20231004,-54.3276
20231004,-54.3894
20231004,-55.5202
20231004,-56.5999
20231004,-57.9845
20231004,-59.2042
20231005,-60.2175
20231005,-58.733
20231005,-59.766
20231005,-60.8735
20231005,-60.4111
20231005,-61.4819
20231005,-62.5078
20231005,-63.575
20231005,-64.767
20231005,-66.1165
20231005,-65.3881
20231005,-66.8786
20231005,-67.9538
20231005,-68.5937
20231005,-70.0182
20231006,-71.0454
20231006,-69.7725
20231006,-68.2834
20231006,-69.3293
20231006,-67.8355
20231006,-66.3451
20231006,-67.3875
20231006,-66.9814
20231006,-66.029
20231006,-64.5511
20231006,-63.1614
20231006,-61.7358
20231006,-62.8061
20231006,-63.8449
20231006,-66.3772
20231006,-67.6055
20231009,-66.1164
20231009,-65.1062
20231009,-64.2322
20231009,-65.2581
20231009,-66.2819
20231009,-67.3735
20231009,-66.893
20231009,-66.4811
20231009,-67.6375
20231009,-66.1599
20231009,-67.2587
20231009,-65.8096
20231009,-64.3503
20231009,-62.8759
20231009,-61.3849
20231009,-59.8987
20231009,-58.5895
20231009,-57.7891
20231009,-57.3637
20231009,-56.9074
20231009,-56.5259
20231009,-57.661
20231009,-58.8911
20231009,-60.0048
20231010,-58.5206
20231010,-57.0545
20231010,-56.564
20231010,-55.0738
20231010,-53.5872
20231010,-52.1174
20231010,-51.6484
20231010,-50.1672
20231010,-49.7076
20231010,-48.2408
20231010,-46.9122
20231010,-46.4391
20231010,-47.4747
20231010,-45.9867
20231010,-45.5699
20231010,-45.1131
20231010,-43.6196
20231010,-42.135
20231010,-40.819
20231010,-39.6476
