day,cum_net_r
20120110,-1.4672
20120112,-2.6688
20120113,-2.1109
20120118,-3.2921
20120119,-4.4315
20120120,-5.5376
20120202,-5.1246
20120203,-4.1557
20120206,-5.221
20120209,-6.6978
20120210,-7.8291
20120213,-6.7336
20120213,-7.8654
20120222,-9.0715
20120227,-9.1129
20120229,-7.5241
20120302,-8.6073
20120305,-8.1625
20120306,-9.4264
20120309,-9.2955
20120315,-6.4215
20120319,-5.9531
20120322,-5.6044
20120323,-4.2572
20120326,-6.1549
20120327,-5.8627
20120329,-5.458
20120330,-6.6444
20120402,-5.922
20120409,-7.0525
20120410,-6.8909
20120411,-6.8141
20120416,-6.3273
20120417,-6.1961
20120418,-7.2789
20120419,-8.3338
20120419,-7.9275
20120420,-9.0453
20120423,-8.6248
20120503,-7.9476
20120504,-7.0564
20120510,-8.2865
20120511,-9.4163
20120515,-10.7888
20120516,-10.5472
20120517,-10.123
20120518,-11.2506
20120521,-12.2957
20120522,-13.353
20120524,-14.4103
20120529,-13.9805
20120531,-15.0795
20120601,-16.2418
20120604,-16.0258
20120605,-16.0172
20120606,-15.6174
20120611,-14.2501
20120615,-13.7048
20120618,-12.6965
20120619,-12.8621
20120620,-12.1944
20120625,-13.2936
20120626,-12.2756
20120702,-10.9086
20120703,-6.9215
20120705,-8.0441
20120709,-7.1182
20120710,-6.5705
20120716,-6.3117
20120718,-7.6225
20120725,-8.85
20120727,-8.6087
20120731,-8.2511
20120801,-7.206
20120806,-6.2636
20120807,-6.2491
20120808,-5.8431
20120809,-7.0477
20120813,-6.6532
20120814,-7.7749
20120815,-4.545
20120816,-5.8101
20120817,-6.9515
20120821,-6.5176
20120822,-7.64
20120823,-8.7313
20120824,-9.8223
20120828,-9.7536
20120829,-9.4338
20120831,-9.42
20120904,-11.8023
20120906,-10.4419
20120907,-9.9218
20120910,-8.4669
20120914,-8.0876
20120918,-9.1916
20120919,-10.38
20120925,-10.1236
20120926,-9.734
20120927,-9.7227
20120928,-10.8032
20121002,-11.9253
20121003,-11.5625
20121008,-13.0412
20121009,-14.4198
20121010,-15.5868
20121011,-16.9658
20121012,-18.0494
20121015,-17.2164
20121016,-16.8311
20121017,-15.8846
20121022,-17.3605
20121023,-18.4681
20121024,-18.1114
20121026,-19.2189
20121031,-19.1181
20121101,-21.1181
20121112,-20.7768
20121114,-19.7163
20121115,-19.334
20121116,-18.9535
20121119,-20.5948
20121120,-21.6954
20121121,-22.8476
20121123,-22.4663
20121204,-22.1588
20121205,-21.2201
20121206,-21.1537
20121210,-20.5673
20121211,-20.1007
20121212,-21.3062
20121217,-22.6198
