day,cum_net_r
20120110,-1.1165
20120112,-2.5583
20120113,-3.6892
20120118,-4.8822
20120119,-6.0925
20120120,-7.2792
20120125,-7.24
20120126,-8.3784
20120127,-9.5452
20120201,-10.7567
20120202,-12.0545
20120203,-11.9969
20120206,-11.637
20120207,-11.809
20120208,-11.507
20120209,-13.1265
20120210,-14.3149
20120213,-14.0712
20120213,-15.7153
20120214,-17.0048
20120215,-18.2189
20120216,-17.9156
20120222,-19.1049
20120227,-19.0707
20120228,-18.7026
20120229,-20.0228
20120302,-22.0227
20120305,-23.9495
20120306,-25.7153
20120307,-26.845
20120314,-26.6404
20120315,-27.704
20120319,-28.9213
20120320,-28.1214
20120321,-27.9853
20120322,-29.099
20120323,-29.169
20120329,-30.243
20120330,-29.8651
20120402,-28.7357
20120403,-29.9954
20120410,-31.3532
20120411,-32.4595
20120412,-32.7588
20120416,-34.2118
20120419,-34.1531
20120420,-35.3769
20120423,-36.4894
20120424,-34.697
20120425,-34.7236
20120426,-34.3174
20120427,-35.6751
20120501,-35.608
20120503,-39.1088
20120504,-38.3202
20120508,-37.9136
20120509,-38.9844
20120515,-40.3378
20120522,-39.0043
20120523,-40.0828
20120529,-38.7283
20120531,-38.0043
20120601,-39.1271
20120604,-40.7404
20120605,-41.8267
20120606,-41.8911
20120608,-43.136
20120613,-42.4421
20120619,-42.1694
20120625,-41.7744
20120626,-42.8777
20120627,-42.194
20120705,-43.7194
20120709,-43.7194
20120712,-45.0703
20120718,-44.8549
20120719,-46.1031
20120724,-47.282
20120727,-46.2555
20120806,-45.8804
20120807,-45.849
20120808,-45.8227
20120813,-45.3236
20120814,-46.553
20120815,-47.8477
20120817,-48.2526
20120820,-48.0949
20120821,-49.3144
20120822,-50.4288
20120823,-50.2919
20120827,-52.0632
20120828,-51.764
20120829,-51.0046
20120831,-53.0047
20120904,-52.7809
20120912,-54.781
20120913,-55.0757
20120914,-54.7309
20120920,-55.8899
20120921,-59.3107
20120926,-59.0791
20121002,-60.2731
20121003,-61.351
20121004,-60.9133
20121008,-62.028
20121009,-61.8142
20121010,-61.4524
20121011,-62.6702
20121012,-63.8628
20121015,-65.0192
20121016,-64.8834
20121017,-63.7398
20121018,-63.7398
20121019,-63.7086
20121022,-63.8395
20121024,-63.9815
20121025,-65.1237
20121026,-64.903
20121106,-64.2952
20121107,-65.3791
20121108,-66.7335
20121112,-65.6814
20121114,-66.8705
20121115,-66.5237
20121116,-67.6345
20121119,-66.5523
20121120,-67.8428
20121126,-68.0137
20121127,-69.1441
20121128,-68.7737
20121205,-70.1285
20121210,-70.0797
20121211,-71.5814
20121214,-72.6653
20121224,-74.1173
20121226,-77.1852
20121227,-76.7396
20130103,-77.884
20130111,-79.3394
20130115,-80.9641
20130116,-83.392
20130117,-84.6099
20130118,-85.8603
20130123,-88.7731
20130124,-87.6085
20130124,-88.7445
20130128,-90.3702
20130131,-93.8645
20130201,-95.029
20130204,-96.1858
20130206,-97.2862
20130207,-98.5568
20130212,-99.6712
20130212,-101.6713
20130213,-102.8542
20130213,-101.6313
20130228,-101.4787
20130304,-101.6223
20130307,-102.9981
20130315,-104.9981
20130319,-104.2276
20130321,-103.8047
20130327,-105.164
20130328,-104.9046
20130403,-105.2008
20130404,-106.3017
20130408,-107.6606
20130410,-107.5264
20130411,-107.137
20130412,-107.084
20130415,-106.876
20130416,-107.991
20130417,-107.8061
20130418,-107.7825
20130422,-107.7095
20130423,-109.1681
20130424,-110.537
20130425,-112.1665
20130426,-113.3869
20130430,-113.1744
20130502,-111.0595
20130503,-112.3892
20130506,-113.6904
20130510,-115.0275
20130513,-116.2582
20130514,-115.935
20130515,-115.5132
20130517,-114.9781
20130520,-114.7673
20130521,-116.0707
20130522,-117.7644
20130531,-119.2423
20130603,-120.5447
20130604,-120.6727
20130606,-120.5069
20130611,-119.9355
20130612,-118.7766
20130614,-118.3758
