day,cum_net_r
20120111,-0.0281
20120113,-1.4407
20120118,-2.6663
20120119,-1.8032
20120120,-2.9379
20120123,-2.6147
20120131,-3.7486
20120201,-4.8252
20120202,-5.9342
20120206,-7.0619
20120209,-8.4054
20120213,-8.0078
20120213,-8.1527
20120214,-9.404
20120215,-10.5946
20120216,-9.4309
20120221,-10.5738
20120222,-11.8259
20120227,-8.9418
20120228,-10.4845
20120229,-10.5466
20120301,-10.1745
20120305,-9.9195
20120306,-9.5552
20120309,-9.7655
20120314,-11.09
20120315,-10.7304
20120316,-11.9399
20120320,-11.001
20120321,-12.1949
20120322,-11.8604
20120323,-11.1438
20120326,-13.8515
20120327,-15.0952
20120329,-14.9098
20120330,-14.5972
20120402,-14.4841
20120403,-15.5918
20120410,-15.2016
20120411,-16.3934
20120416,-17.5298
20120418,-18.6671
20120419,-20.2107
20120420,-21.3336
20120423,-22.4233
20120425,-23.6161
20120426,-22.5196
20120427,-21.6805
20120501,-21.6384
20120504,-23.4644
20120508,-23.1003
20120509,-22.6594
20120510,-21.7387
20120515,-22.8259
20120516,-23.9031
20120517,-22.8206
20120518,-22.3735
20120521,-22.4074
20120523,-23.4863
20120524,-23.2986
20120529,-24.7359
20120530,-25.8355
20120531,-26.9971
20120601,-28.1298
20120604,-27.6947
20120615,-28.8041
20120618,-28.0659
20120619,-27.6684
20120620,-28.746
20120620,-29.8676
20120621,-28.7588
20120622,-29.8631
20120627,-28.857
20120628,-30.0086
20120703,-29.7098
20120705,-30.9014
20120709,-32.1086
20120710,-31.0169
20120711,-30.7076
20120712,-31.8596
20120716,-32.9398
20120718,-34.6434
20120719,-34.1172
20120720,-35.207
20120720,-36.3728
20120723,-37.4295
20120724,-35.8134
20120725,-36.9257
20120726,-36.5879
20120727,-36.6061
20120730,-36.3436
20120731,-35.8329
20120801,-37.0954
20120802,-36.1053
20120806,-37.4803
20120807,-37.0909
20120808,-38.466
20120815,-39.5869
20120820,-40.7988
20120821,-40.3848
20120823,-40.1172
20120827,-41.2739
20120828,-41.2305
20120829,-40.516
20120904,-39.99
20120906,-38.4931
20120910,-39.6512
20120912,-40.8205
20120914,-41.9357
20120919,-43.6474
20120921,-44.8179
20120925,-44.0557
20120926,-45.1823
20120927,-46.4712
20121001,-46.2028
20121004,-47.9138
20121005,-49.0734
20121009,-50.363
20121010,-50.3934
20121011,-51.652
20121012,-51.2049
20121015,-52.3444
20121015,-51.1032
20121016,-50.9059
20121017,-49.7889
20121018,-49.3778
20121019,-51.0875
20121022,-52.4656
20121023,-52.0418
20121024,-53.2535
20121025,-54.4654
20121026,-55.5532
20121031,-56.6522
20121101,-54.0908
20121107,-51.98
20121108,-53.0609
20121112,-52.8919
20121116,-52.1723
20121119,-53.1835
20121120,-52.6678
20121121,-53.8465
20121123,-53.4957
20121126,-54.7067
20121127,-55.8015
20121130,-55.4124
20121203,-54.165
20121210,-55.2603
20121211,-54.8443
20121213,-53.8862
20121214,-55.1186
20121218,-56.2273
20121221,-57.4223
20121224,-58.71
20121226,-57.1751
20121227,-56.057
20121228,-57.2037
20130102,-56.4838
20130103,-55.6674
20130104,-56.8265
20130107,-58.0661
20130109,-59.1994
20130110,-58.3671
20130110,-57.8213
20130115,-57.441
20130116,-58.8227
20130117,-60.1149
20130118,-61.5297
20130122,-61.1814
20130123,-62.3534
20130124,-62.0591
20130201,-61.6891
20130206,-63.1447
20130211,-62.6235
20130212,-63.7672
20130213,-65.0469
20130219,-66.7634
20130222,-66.2507
20130225,-66.2847
20130311,-67.6227
20130312,-67.4981
20130313,-67.1666
20130314,-68.5057
20130319,-67.9295
20130320,-69.0609
20130321,-70.3024
20130322,-71.4477
20130327,-72.6513
20130328,-70.9935
20130403,-65.314
20130404,-64.9824
20130408,-64.69
20130410,-64.4263
20130411,-64.1759
20130412,-65.7398
20130417,-66.8481
20130418,-66.4388
20130419,-67.5416
20130422,-68.6156
20130422,-68.211
20130423,-69.3762
20130424,-70.677
20130425,-69.963
20130426,-71.0566
20130430,-69.5935
20130506,-69.4939
20130507,-70.7017
20130508,-70.2941
20130509,-71.4524
20130510,-72.5125
20130513,-73.6718
20130514,-71.8194
20130515,-72.9695
20130516,-74.0592
20130522,-73.7842
20130529,-74.8495
20130604,-74.1646
20130611,-73.7676
20130612,-74.8817
20130614,-74.441
20130617,-75.6683
20130620,-78.1952
20130621,-79.2724
20130624,-78.848
20130625,-77.7519
20130626,-77.4216
20130627,-78.8167
20130701,-78.8012
20130702,-78.6973
20130705,-78.1803
20130708,-79.407
20130709,-80.8056
20130710,-81.8411
20130711,-80.7478
20130712,-80.4702
20130715,-81.6815
20130717,-81.2705
20130718,-80.8467
20130731,-81.9201
20130801,-81.0034
20130802,-82.2006
20130805,-79.3092
20130806,-80.5399
20130808,-80.6358
20130809,-81.8881
20130809,-83.0322
20130815,-84.2139
20130816,-83.8069
20130819,-84.9532
20130821,-84.5303
20130823,-84.2022
20130826,-83.3242
20130827,-84.4661
20130829,-85.6839
