day,cum_net_r
20230911,-1.1496
20230911,-0.6755
20230911,-1.7229
20230911,-1.0881
20230911,-0.6505
20230911,0.4493
20230911,0.8564
20230911,-0.4934
20230911,-1.5339
20230911,-2.5592
20230911,-2.1124
20230911,-3.126
20230911,-4.4414
20230911,-4.2295
20230911,-1.7858
20230911,-1.3915
20230911,-2.4929
20230911,-3.7139
20230912,-3.1084
20230912,-2.6183
20230912,-3.773
20230912,-3.3091
20230912,-4.4829
20230912,-4.0627
20230912,-3.5662
20230912,-3.2962
20230912,-3.348
20230912,-4.4619
20230912,-4.0651
20230912,-3.9713
20230912,-3.3475
20230912,-4.5524
20230912,-5.9095
20230912,-5.8247
20230912,-4.3264
20230912,-3.627
20230912,-7.1128
20230913,-6.2109
20230913,-5.7682
20230913,-5.3743
20230913,-4.7364
20230913,-3.6159
20230913,-3.3278
20230913,-4.3815
20230913,-3.9157
20230913,-4.948
20230913,-4.6172
20230913,-4.1609
20230913,-5.439
20230914,-4.9151
20230914,-4.6752
20230914,-4.6393
20230914,-5.6721
20230914,-6.7309
20230914,-7.7979
20230914,-8.8604
20230914,-8.5496
20230914,-9.616
20230914,-8.5752
20230914,-7.5301
20230914,-7.1905
20230914,-5.2146
20230914,-4.7927
20230914,-5.9583
20230914,-5.5061
20230914,-5.0387
20230914,-6.1588
20230915,-5.7484
20230915,-6.8512
20230915,-7.9171
20230915,-9.9172
20230915,-9.5434
20230915,-9.1457
20230915,-10.72
20230915,-11.8686
20230915,-12.2942
20230915,-12.3348
20230915,-12.1114
20230915,-12.1725
20230918,-13.2454
20230918,-14.3182
20230918,-14.2434
20230918,-13.2067
20230918,-14.3215
20230918,-16.3216
20230918,-17.3618
20230918,-16.7275
20230919,-16.0678
20230919,-15.3923
20230919,-14.3857
20230919,-13.9794
20230919,-15.1977
20230919,-14.737
20230919,-14.2934
20230919,-13.8406
20230919,-14.8774
20230919,-14.7346
20230919,-14.2712
20230919,-13.8533
20230919,-14.9731
20230919,-16.0447
20230919,-15.412
20230919,-14.9681
20230919,-16.0202
20230919,-17.1007
20230919,-16.7233
20230919,-17.8566
20230919,-15.0919
20230919,-15.0919
20230919,-16.2094
20230919,-17.9054
20230920,-17.5335
20230920,-17.6013
20230920,-18.6932
20230920,-18.2302
20230920,-17.6544
20230920,-16.9422
20230920,-17.9957
20230920,-19.0436
20230920,-18.6164
20230920,-19.7392
20230920,-18.9607
20230920,-18.6115
20230920,-17.9029
20230920,-17.0749
20230920,-16.714
20230921,-16.4245
20230921,-17.4483
20230921,-18.6245
20230921,-19.6733
20230921,-19.6344
20230921,-20.6633
20230921,-21.8091
20230921,-22.9365
20230921,-24.0364
20230921,-25.1124
20230921,-26.3368
20230921,-27.455
20230921,-27.076
20230921,-28.9095
20230921,-30.1918
20230921,-29.3063
20230921,-28.3563
20230922,-29.4316
20230922,-30.4863
20230922,-31.5688
20230922,-32.6163
20230922,-33.6517
20230922,-34.7884
20230922,-35.861
20230922,-36.9037
20230922,-36.6275
20230922,-37.7772
20230922,-36.1637
20230922,-37.2944
20230922,-39.0132
20230922,-36.5712
20230922,-36.1319
20230922,-35.6775
20230925,-35.3976
20230925,-36.4878
20230925,-37.5829
20230925,-37.3173
20230925,-37.3537
20230925,-38.4066
20230925,-39.5727
20230925,-39.6509
20230925,-40.7094
20230925,-41.7679
20230925,-43.1419
20230925,-44.4533
20230926,-43.8737
20230926,-42.5507
20230926,-43.6906
20230926,-42.5979
20230926,-43.6678
20230926,-43.5131
20230926,-44.6662
20230926,-45.7973
20230926,-46.9384
20230926,-47.7437
20230926,-48.8679
20230926,-50.0635
20230926,-49.7751
20230926,-50.86
20230926,-52.0286
20230926,-53.2226
20230926,-52.8584
20230926,-52.4589
20230927,-52.4297
20230927,-51.5624
20230927,-52.6254
20230927,-52.5654
20230927,-52.1181
20230927,-53.145
20230927,-52.1546
20230927,-53.3645
20230927,-54.4724
20230927,-55.5098
20230927,-55.1563
20230927,-56.3134
20230927,-56.0005
20230927,-57.6367
20230927,-59.0675
20230927,-60.5883
20230927,-59.596
20230927,-59.2882
20230927,-60.5098
20230927,-59.7342
20230928,-60.748
20230928,-59.8119
20230928,-58.6552
20230928,-58.2144
20230928,-58.1188
20230928,-57.3069
20230928,-58.3918
20230928,-59.4902
20230928,-59.133
20230928,-62.0909
20230928,-68.9641
20230928,-67.4255
20230928,-67.0241
20230928,-68.4596
20230928,-70.0407
20230928,-69.7186
20230929,-69.2595
20230929,-68.1446
20230929,-69.1859
20230929,-70.3249
20230929,-70.0783
20230929,-71.1978
20230929,-71.1052
20230929,-72.1547
20230929,-71.6821
20230929,-72.7629
20230929,-73.8126
20230929,-73.1811
20230929,-74.719
20230929,-74.3649
20231002,-75.4358
20231002,-74.9813
20231002,-74.5258
20231002,-74.2665
20231002,-75.2972
20231002,-75.1894
20231002,-74.2008
20231002,-74.15
20231002,-74.0422
20231002,-75.0699
20231002,-76.1745
20231002,-75.5807
20231002,-72.3219
20231002,-71.8539
20231002,-71.3718
20231002,-72.6024
20231002,-72.3882
20231002,-71.6194
20231002,-71.4354
20231003,-71.3236
20231003,-71.0449
20231003,-72.131
20231003,-73.169
20231003,-73.0606
20231003,-73.0335
20231003,-72.5487
20231003,-72.4226
20231003,-72.3556
