day,cum_net_r
20120110,-1.3693
20120112,-1.5849
20120113,-1.2772
20120118,-2.4415
20120119,-3.5544
20120120,-4.6491
20120202,-5.7713
20120203,-4.9012
20120206,-5.9567
20120209,-7.1252
20120210,-8.1745
20120213,-7.3159
20120213,-8.4478
20120222,-9.6157
20120227,-9.6415
20120229,-5.9012
20120302,-6.9716
20120305,-8.0282
20120306,-6.2891
20120309,-7.6309
20120315,-6.5068
20120319,-7.5421
20120322,-8.6899
20120323,-7.9067
20120326,-9.1759
20120327,-10.3001
20120329,-8.8398
20120330,-8.1434
20120402,-7.7205
20120409,-8.7877
20120410,-8.6741
20120411,-8.6209
20120416,-8.4352
20120417,-9.9103
20120418,-10.9637
20120419,-11.9906
20120419,-11.6344
20120420,-12.7278
20120423,-13.7731
20120503,-13.2902
20120504,-12.6808
20120510,-13.802
20120511,-14.9026
20120515,-16.1054
20120516,-15.9831
20120517,-15.6506
20120518,-16.7695
20120521,-17.8047
20120522,-18.8395
20120524,-19.8874
20120529,-20.9432
20120531,-22.0115
20120601,-23.085
20120604,-22.9829
20120605,-22.9761
20120606,-21.4008
20120611,-19.3676
20120615,-19.0238
20120618,-18.1709
20120619,-18.2627
20120620,-17.8828
20120625,-18.9487
20120626,-18.3097
20120702,-16.9445
20120703,-13.6676
20120705,-14.7472
20120709,-13.9505
20120710,-13.7105
20120716,-14.9409
20120718,-15.0669
20120725,-16.2945
20120727,-16.1381
20120731,-17.3038
20120801,-17.0718
20120806,-15.5701
20120807,-15.5634
20120808,-15.2867
20120809,-16.4393
20120813,-16.1442
20120814,-17.2453
20120815,-11.5772
20120816,-8.9721
20120817,-10.0738
20120821,-11.1369
20120822,-12.1874
20120823,-13.2835
20120824,-14.3509
20120828,-14.2862
20120829,-14.4658
20120831,-14.4594
20120904,-15.7463
20120906,-14.4656
20120907,-14.252
20120910,-12.8772
20120914,-12.4673
20120918,-13.5522
20120919,-14.823
20120925,-10.5922
20120926,-8.4285
20120927,-8.4196
20120928,-9.4967
20121002,-10.5942
20121003,-9.7873
20121008,-10.9739
20121009,-12.2876
20121010,-13.382
20121011,-14.65
20121012,-15.7093
20121015,-15.2355
20121016,-14.9226
20121017,-14.3972
20121022,-16.0422
20121023,-17.1151
20121024,-16.2874
20121026,-17.3889
20121031,-17.2959
20121101,-19.2959
20121112,-17.9787
20121114,-17.2222
20121115,-18.2937
20121116,-18.1339
20121119,-19.6059
20121120,-20.6621
20121121,-21.8284
20121123,-22.981
20121204,-24.7652
20121205,-23.8917
20121206,-23.7995
20121210,-23.213
20121211,-22.8323
20121212,-23.9475
20121217,-20.0807
20121218,-20.0497
20121219,-18.308
20121221,-19.688
20121224,-20.3505
20121226,-22.3506
20121227,-22.0011
20130102,-23.1582
20130103,-24.3383
20130104,-25.4238
20130107,-26.5283
20130108,-27.8003
20130111,-28.9581
20130116,-30.3428
20130118,-29.1335
20130122,-30.3458
20130124,-31.5051
20130125,-31.2338
20130128,-32.3461
20130129,-33.4522
20130130,-35.107
20130201,-33.9495
20130204,-35.0148
20130206,-36.2903
20130212,-37.4382
20130213,-38.6527
20130214,-38.1965
20130219,-39.4555
20130227,-40.6965
20130228,-41.7624
20130304,-42.836
20130306,-44.0299
20130307,-43.3801
20130311,-42.2148
20130314,-39.752
20130315,-39.6274
20130318,-40.7201
20130320,-41.9156
20130322,-43.4081
20130326,-42.8127
20130402,-42.3079
20130404,-41.9308
20130405,-43.029
20130409,-44.1428
20130410,-42.3237
20130411,-42.2058
20130415,-40.1164
20130416,-41.1696
20130417,-40.1237
20130418,-41.1562
20130422,-42.2453
20130423,-42.0014
20130424,-43.1502
20130425,-42.5918
20130426,-43.647
20130429,-43.4608
20130430,-44.5618
20130503,-45.9556
20130506,-47.0307
20130507,-48.122
20130508,-49.2448
20130510,-50.376
20130513,-50.2175
20130514,-46.8217
20130515,-46.7054
20130516,-46.7546
20130517,-45.7704
20130520,-46.9436
20130521,-48.165
20130522,-49.2898
20130528,-50.3274
20130603,-51.3913
20130604,-51.0525
20130605,-52.1283
20130606,-51.7862
20130610,-51.8033
20130611,-51.6807
20130618,-51.78
20130621,-52.8781
20130625,-54.3167
20130627,-53.5849
20130628,-54.7012
20130702,-55.8818
20130705,-55.9504
20130708,-57.4506
20130709,-57.5567
20130710,-58.7112
20130712,-60.1143
20130715,-59.3355
20130717,-60.4424
20130718,-59.9119
20130722,-54.0676
20130723,-52.0931
20130724,-51.9027
20130731,-53.2407
20130801,-54.3296
20130802,-53.8138
20130805,-53.4283
20130806,-54.6826
20130807,-52.5569
20130808,-52.5811
20130814,-53.7506
20130819,-49.6131
20130822,-50.6649
20130826,-51.8491
20130829,-53.0507
20130905,-53.0357
20130909,-29.6457
20130910,-29.0506
20130911,-30.1292
20130912,-30.3084
20130913,-30.1518
20130916,-31.2657
20130917,-20.6888
20130918,-20.1765
20130923,-21.4687
20130924,-20.9233
20130925,-22.0422
20130926,-23.1429
20131002,-24.2804
20131003,-25.3596
20131007,-26.4822
20131009,-25.7537
20131011,-26.8959
20131014,-24.0129
20131016,-23.8302
20131017,-25.4656
20131018,-22.8869
20131021,-23.9781
20131028,-25.0979
20131028,-24.7598
20131029,-23.9537
20131030,-25.2983
20131031,-26.3287
20131101,-26.0359
20131107,-21.6269
20131111,-23.6268
20131112,-24.7215
20131115,-25.9111
20131119,-27.0337
20131120,-25.125
20131125,-26.423
20131126,-25.9054
20131127,-27.1267
20131129,-28.2117
20131205,-29.3285
20131206,-30.4041
20131209,-31.5213
20131209,-28.6982
20131210,-28.4576
20131216,-28.4611
20131217,-29.7387
20131218,-30.8089
20131220,-28.0384
20131223,-26.7263
20131224,-26.6899
20131227,-28.0104
20131231,-29.4285
20140108,-30.4914
20140109,-30.0468
20140110,-29.9731
20140110,-31.166
20140116,-32.4678
20140124,-33.5857
20140127,-33.5662
20140129,-34.9807
20140129,-34.0724
20140131,-35.4193
20140203,-35.7408
20140205,-36.0564
20140206,-35.3174
20140210,-34.7457
20140211,-35.8115
20140212,-35.1076
20140214,-33.8009
20140218,-31.4982
20140219,-31.2712
20140224,-32.3455
20140225,-33.3994
20140228,-34.5786
20140306,-35.775
20140310,-36.8295
20140310,-36.579
20140311,-37.6336
20140318,-37.5906
20140320,-37.2684
20140325,-38.5709
20140326,-38.2517
20140328,-39.3772
20140331,-38.8493
20140401,-37.6792
20140402,-38.7822
20140404,-36.8355
20140407,-37.9019
