day,cum_net_r
20120110,-1.0733
20120112,-0.8466
20120113,-1.934
20120118,-3.0878
20120119,-4.2255
20120120,-5.4134
20120125,-5.376
20120126,-6.5078
20120127,-7.6459
20120201,-8.8573
20120202,-9.9851
20120203,-9.9607
20120206,-9.6008
20120207,-9.7392
20120208,-10.8582
20120209,-12.3071
20120210,-13.4468
20120213,-14.5621
20120213,-15.8568
20120214,-16.9858
20120215,-16.3229
20120216,-16.1149
20120222,-17.2348
20120227,-17.21
20120228,-15.3107
20120229,-16.4522
20120302,-19.9919
20120305,-21.3457
20120306,-22.558
20120307,-23.6988
20120314,-23.526
20120315,-23.7678
20120319,-24.9851
20120320,-24.1851
20120321,-25.4031
20120322,-26.4975
20120323,-26.5413
20120329,-27.5959
20120330,-27.145
20120402,-25.8472
20120403,-26.9559
20120410,-25.9954
20120411,-27.0896
20120412,-28.5447
20120416,-29.761
20120419,-29.7111
20120420,-28.8953
20120423,-29.965
20120424,-27.9601
20120425,-27.9918
20120426,-27.6204
20120427,-29.1019
20120501,-29.0417
20120503,-31.0417
20120504,-30.444
20120508,-31.5299
20120509,-32.5799
20120515,-33.8705
20120522,-32.4658
20120523,-33.5204
20120529,-32.1663
20120531,-31.6682
20120601,-32.7713
20120604,-34.216
20120605,-34.1595
20120606,-34.1819
20120608,-33.3782
20120613,-32.744
20120619,-32.0711
20120625,-31.7822
20120626,-31.5481
20120627,-31.1645
20120705,-32.563
20120709,-34.5631
20120712,-35.7512
20120718,-36.9984
20120719,-38.1288
20120724,-39.2369
20120727,-38.4926
20120806,-39.6844
20120807,-39.6643
20120808,-39.6496
20120813,-39.1505
20120814,-40.3522
20120815,-41.4744
20120817,-43.1015
20120820,-43.0016
20120821,-44.0998
20120822,-45.2933
20120823,-44.2218
20120827,-45.6245
20120828,-46.8184
20120829,-46.4782
20120831,-49.9507
20120904,-51.54
20120912,-52.8365
20120913,-54.0315
20120914,-54.0992
20120920,-53.7642
20120921,-55.3944
20120926,-55.1627
20121002,-56.3204
20121003,-57.4649
20121004,-57.201
20121008,-58.302
20121009,-59.4953
20121010,-60.6682
20121011,-61.886
20121012,-63.0177
20121015,-61.6953
20121016,-58.5019
20121017,-57.8309
20121018,-57.0505
20121019,-57.0343
20121022,-57.1401
20121024,-57.2203
20121025,-58.3333
20121026,-58.234
20121106,-57.7546
20121107,-58.8214
20121108,-56.0569
20121112,-55.1006
20121114,-54.1069
20121115,-53.9215
20121116,-55.019
20121119,-53.9817
20121120,-55.0863
20121126,-55.1798
20121127,-56.2683
20121128,-55.9205
20121205,-57.0141
20121210,-56.9809
20121211,-58.238
20121214,-58.8179
20121224,-60.1727
20121226,-61.7949
20121227,-62.8513
20130103,-63.9745
20130111,-65.3323
20130115,-66.6263
20130116,-67.9821
20130117,-69.0887
20130118,-70.1888
20130123,-72.1888
20130124,-71.1539
20130124,-72.251
20130128,-75.4164
20130131,-76.8714
20130201,-77.9688
20130204,-79.0497
20130206,-80.15
20130207,-81.3431
20130212,-82.4537
20130212,-81.8687
20130213,-82.9915
20130213,-82.0453
20130228,-81.9552
20130304,-82.0245
20130307,-83.1496
20130315,-79.2661
20130319,-78.6263
20130321,-79.816
20130327,-81.0097
20130328,-82.3065
20130403,-76.2668
20130404,-77.3379
20130408,-78.7942
20130410,-76.2218
20130411,-75.6039
20130412,-75.5619
20130415,-75.3944
20130416,-75.241
20130417,-75.0976
20130418,-75.0821
20130422,-75.0217
20130423,-76.4257
20130424,-77.5075
20130425,-79.2905
20130426,-80.4568
20130430,-81.7556
20130502,-80.0372
20130503,-81.2345
20130506,-82.5357
20130510,-83.6237
