day,cum_net_r
20120111,-0.0106
20120113,-1.2274
20120118,-2.416
20120119,-1.6338
20120120,-2.7685
20120123,-3.9296
20120131,-3.3739
20120201,-3.6382
20120202,-4.7473
20120206,-5.8906
20120209,-7.1903
20120213,-8.3005
20120213,-8.4314
20120214,-9.5844
20120215,-10.7127
20120216,-10.0632
20120221,-11.1386
20120222,-12.3908
20120227,-9.7621
20120228,-11.1345
20120229,-11.1768
20120301,-10.831
20120305,-12.0978
20120306,-9.1744
20120309,-10.6165
20120314,-11.8101
20120315,-11.538
20120316,-12.7475
20120320,-11.8653
20120321,-13.0214
20120322,-14.2168
20120323,-13.8638
20120326,-13.3671
20120327,-14.5143
20120329,-15.6226
20120330,-15.2542
20120402,-17.2542
20120403,-18.3243
20120410,-15.022
20120411,-16.1056
20120416,-17.2705
20120418,-18.3645
20120419,-19.6487
20120420,-20.7602
20120423,-21.829
20120425,-22.9663
20120426,-21.9597
20120427,-21.3927
20120501,-21.3538
20120504,-22.6756
20120508,-23.7486
20120509,-24.8029
20120510,-23.9561
20120515,-25.0403
20120516,-26.1126
20120517,-25.2712
20120518,-22.6662
20120521,-22.6921
20120523,-23.78
20120524,-24.8376
20120529,-26.5374
20120530,-27.6517
20120531,-28.7395
20120601,-29.8028
20120604,-30.2316
20120615,-28.7965
20120618,-28.246
20120619,-29.3234
20120620,-30.3625
20120620,-31.6139
20120621,-30.6421
20120622,-31.8046
20120627,-30.9878
20120628,-32.1145
20120703,-28.8884
20120705,-29.9876
20120709,-29.0305
20120710,-27.6236
20120711,-27.2601
20120712,-28.3454
20120716,-29.412
20120718,-31.1156
20120719,-30.7621
20120720,-31.831
20120720,-32.1511
20120723,-33.2474
20120724,-31.5895
20120725,-32.6898
20120726,-33.2739
20120727,-33.2833
20120730,-33.08
20120731,-32.3837
20120801,-32.1757
20120802,-31.4334
20120806,-32.5892
20120807,-33.7685
20120808,-34.8862
20120815,-34.9872
20120820,-34.9776
20120821,-36.0693
20120823,-35.8017
20120827,-36.9295
20120828,-36.8913
20120829,-38.048
20120904,-37.2717
20120906,-35.6144
20120910,-36.7368
20120912,-38.0263
20120914,-39.1233
20120919,-40.4539
20120921,-39.3606
20120925,-38.6421
20120926,-37.8413
20120927,-38.9735
20121001,-40.1876
20121004,-41.5178
20121005,-42.6514
20121009,-42.6557
20121010,-42.6823
20121011,-42.3223
20121012,-43.3857
20121015,-44.5047
20121015,-42.6697
20121016,-42.5342
20121017,-41.6125
20121018,-42.7457
20121019,-44.7457
20121022,-44.5934
20121023,-45.6885
20121024,-44.6842
20121025,-45.8027
20121026,-46.8875
20121031,-44.7408
20121101,-42.618
20121107,-40.0559
20121108,-39.0401
20121112,-38.9305
20121116,-38.395
20121119,-39.4928
20121120,-38.9347
20121121,-40.0902
20121123,-36.0262
20121126,-35.7492
20121127,-36.8047
20121130,-37.9127
20121203,-36.9991
20121210,-36.488
20121211,-37.5706
20121213,-37.0537
20121214,-38.1723
20121218,-39.2722
20121221,-40.3675
20121224,-41.5481
20121226,-39.731
20121227,-38.7761
20121228,-39.8482
20130102,-39.3183
20130103,-38.7659
20130104,-39.9632
20130107,-41.1016
20130109,-42.2022
20130110,-41.2623
20130110,-41.1199
20130115,-42.31
20130116,-43.5252
20130117,-44.6524
20130118,-45.8594
20130122,-47.0584
20130123,-48.2008
20130124,-49.4179
20130201,-48.3833
20130206,-49.839
20130211,-49.3178
20130212,-50.4615
20130213,-51.7412
20130219,-53.0065
20130222,-52.6954
20130225,-52.7161
20130311,-53.9279
20130312,-53.8542
20130313,-52.5679
20130314,-53.8361
20130319,-53.2165
20130320,-54.2953
20130321,-55.4193
20130322,-56.5057
20130327,-57.7732
20130328,-55.7864
20130403,-57.8271
20130404,-58.9514
20130408,-58.0639
20130410,-55.718
20130411,-55.4378
20130412,-56.7787
20130417,-57.8595
20130418,-57.0136
20130419,-58.0621
20130422,-59.1406
20130422,-59.277
20130423,-60.3861
20130424,-61.5761
20130425,-61.1844
20130426,-62.2613
20130430,-60.5616
20130506,-59.25
20130507,-60.4577
20130508,-57.4653
20130509,-58.6066
20130510,-59.6696
20130513,-60.8117
20130514,-55.9902
20130515,-57.1323
20130516,-58.2137
20130522,-59.3246
20130529,-60.3846
20130604,-59.7907
20130611,-60.8738
20130612,-60.7125
20130614,-58.8936
20130617,-58.2755
20130620,-59.4237
20130621,-59.2575
20130624,-60.2939
20130625,-59.6216
20130626,-60.7419
20130627,-61.8502
20130701,-61.8347
20130702,-61.7832
20130705,-61.3331
20130708,-62.4551
20130709,-63.6826
20130710,-64.7217
20130711,-64.3828
20130712,-64.2247
20130715,-64.2976
20130717,-65.4021
20130718,-65.4343
20130731,-66.5021
20130801,-65.6069
20130802,-66.7441
20130805,-63.4944
20130806,-64.7069
20130808,-64.7817
20130809,-65.8791
20130809,-65.7271
20130815,-67.2983
20130816,-68.3751
20130819,-69.5068
20130821,-70.6418
20130823,-69.7618
20130826,-68.6522
20130827,-69.7596
20130829,-70.9608
20130830,-69.7079
20130903,-68.0037
20130904,-69.3502
20130905,-70.4369
20130909,-70.4192
20130910,-71.5503
20130911,-70.8527
