day,cum_net_r
20230911,-1.0745
20230911,-0.8829
20230911,-1.9123
20230911,-1.5302
20230911,-2.7373
20230911,-1.581
20230911,-1.189
20230911,-2.3605
20230911,-3.399
20230911,-4.4163
20230911,-5.4427
20230911,-6.4567
20230911,-3.7996
20230911,-5.111
20230911,-2.4329
20230911,-2.0291
20230911,-3.1013
20230911,-4.3038
20230912,-3.8198
20230912,-4.8332
20230912,-5.8901
20230912,-5.4449
20230912,-6.5031
20230912,-7.6083
20230912,-7.2471
20230912,-7.0687
20230912,-7.0929
20230912,-8.2109
20230912,-9.2651
20230912,-9.1998
20230912,-8.7733
20230912,-9.9155
20230912,-11.0918
20230912,-11.0029
20230912,-9.6171
20230912,-8.9959
20230912,-10.3118
20230913,-9.5872
20230913,-10.6384
20230913,-10.2679
20230913,-10.0648
20230913,-9.3538
20230913,-9.0925
20230913,-10.1379
20230913,-11.2121
20230913,-12.2373
20230913,-13.6225
20230913,-13.2971
20230913,-14.4849
20230914,-14.181
20230914,-14.0113
20230914,-13.9932
20230914,-11.1881
20230914,-12.2608
20230914,-13.3443
20230914,-14.3933
20230914,-14.1385
20230914,-15.2049
20230914,-14.6063
20230914,-13.3819
20230914,-14.6021
20230914,-13.0063
20230914,-14.0948
20230914,-15.234
20230914,-16.3073
20230914,-15.6527
20230914,-16.7511
20230915,-17.8071
20230915,-18.8862
20230915,-19.9228
20230915,-18.4462
20230915,-16.8101
20230915,-17.9151
20230915,-19.3886
20230915,-20.4478
20230915,-15.8788
20230915,-15.9067
20230915,-18.4192
20230915,-18.4624
20230918,-19.5045
20230918,-20.5438
20230918,-20.4809
20230918,-19.3109
20230918,-20.3922
20230918,-22.137
20230918,-23.1677
20230918,-22.9724
20230919,-22.4002
20230919,-21.9325
20230919,-21.1305
20230919,-22.2114
20230919,-21.6562
20230919,-22.675
20230919,-23.7452
20230919,-24.7904
20230919,-25.8159
20230919,-25.7392
20230919,-26.4179
20230919,-26.1181
20230919,-27.1687
20230919,-28.2964
20230919,-27.9691
20230919,-29.0353
20230919,-30.0724
20230919,-31.1539
20230919,-32.2803
20230919,-33.3554
20230919,-30.7567
20230919,-31.9423
20230919,-32.9999
20230919,-34.6959
20230920,-34.3689
20230920,-34.417
20230920,-35.4774
20230920,-32.8438
20230920,-32.4731
20230920,-31.745
20230920,-31.479
20230920,-32.5239
20230920,-31.7927
20230920,-31.2866
20230920,-31.0889
20230920,-30.9242
20230920,-30.3216
20230920,-29.4197
20230920,-29.2571
20230921,-29.0944
20230921,-28.3913
20230921,-28.0271
20230921,-29.06
20230921,-29.0294
20230921,-30.055
20230921,-31.2106
20230921,-32.2582
20230921,-33.3511
20230921,-34.402
20230921,-35.6263
20230921,-36.7042
20230921,-37.8015
20230921,-35.8871
20230921,-36.9967
20230921,-36.3943
20230921,-35.6253
20230922,-36.6944
20230922,-37.7425
20230922,-38.8142
20230922,-39.8407
20230922,-40.8643
20230922,-41.945
20230922,-41.75
20230922,-41.3862
20230922,-41.1589
20230922,-42.2015
20230922,-41.3793
20230922,-42.4522
20230922,-43.7509
20230922,-40.6297
20230922,-41.7139
20230922,-41.2298
20230925,-41.0928
20230925,-42.1136
20230925,-43.1541
20230925,-43.0291
20230925,-43.042
20230925,-44.0749
20230925,-45.1637
20230925,-45.2328
20230925,-46.2746
20230925,-47.3134
20230925,-48.4667
20230925,-49.608
20230926,-49.4597
20230926,-48.2794
20230926,-49.3598
20230926,-48.3609
20230926,-49.4259
20230926,-49.3037
20230926,-49.115
20230926,-50.2461
20230926,-51.3775
20230926,-50.3777
20230926,-51.4854
20230926,-52.6678
20230926,-53.9894
20230926,-55.2845
20230926,-56.3499
20230926,-57.5292
20230926,-54.9286
20230926,-51.4005
20230927,-51.3907
20230927,-51.1783
20230927,-52.2263
20230927,-52.1823
20230927,-50.6985
20230927,-51.717
20230927,-51.3261
20230927,-52.4531
20230927,-53.648
20230927,-54.6813
20230927,-54.4096
20230927,-54.2901
20230927,-55.5004
20230927,-56.6966
20230927,-57.8502
20230927,-59.0538
20230927,-58.5336
20230927,-59.7082
20230927,-59.1816
20230928,-60.1923
20230928,-59.5154
20230928,-58.3754
20230928,-58.0528
20230928,-57.9207
20230928,-57.5352
20230928,-58.5808
20230928,-59.6468
20230928,-60.7572
20230928,-61.9906
20230928,-63.9905
20230928,-62.5265
20230928,-62.4097
20230928,-64.4096
20230928,-65.5173
20230928,-65.5907
20230929,-66.6335
20230929,-65.7353
20230929,-66.7643
20230929,-67.8131
20230929,-67.6251
20230929,-68.7032
20230929,-68.6242
20230929,-69.6492
20230929,-70.6764
20230929,-71.7306
20230929,-72.7604
20230929,-72.3341
20230929,-71.0776
20230929,-72.1515
20231002,-71.9389
20231002,-71.7314
20231002,-71.0893
20231002,-72.1164
20231002,-73.1499
20231002,-74.175
20231002,-73.2471
20231002,-73.2004
20231002,-73.0994
20231002,-71.9443
20231002,-73.0489
20231002,-72.5882
20231002,-71.1786
20231002,-72.2208
20231002,-71.7898
20231002,-72.8646
20231002,-72.2886
20231002,-73.8088
20231002,-75.2568
20231003,-75.1431
20231003,-74.9497
20231003,-75.9932
20231003,-77.0152
20231003,-76.9139
20231003,-76.8901
20231003,-77.9134
20231003,-77.7954
20231003,-77.7441
20231003,-77.1694
20231003,-75.2965
20231003,-75.2059
20231003,-76.3545
20231003,-77.4289
20231003,-77.1659
20231003,-75.086
20231003,-73.5919
20231003,-74.6744
20231003,-75.7688
20231004,-75.6884
20231004,-75.619
20231004,-75.5005
20231004,-75.4174
20231004,-76.4532
20231004,-76.0689
20231004,-77.0896
20231004,-78.1453
20231004,-77.5537
20231004,-76.7231
20231004,-75.0433
20231004,-76.1782
20231004,-78.0003
20231004,-79.131
20231004,-80.2107
20231004,-81.5953
20231004,-82.815
20231005,-82.7623
20231005,-80.7704
20231005,-81.8034
20231005,-82.9109
20231005,-82.1589
20231005,-82.0766
20231005,-83.1025
20231005,-84.1698
20231005,-85.3618
20231005,-86.7113
20231005,-86.4378
20231005,-87.9283
20231005,-89.0035
20231005,-89.0039
20231005,-88.538
20231006,-89.5653
20231006,-87.9921
20231006,-88.0001
20231006,-89.046
20231006,-88.5744
20231006,-87.7433
20231006,-88.7857
20231006,-87.3347
20231006,-87.2661
20231006,-82.564
20231006,-72.3366
20231006,-71.9985
20231006,-73.0688
20231006,-74.1076
20231006,-76.6399
20231006,-76.6968
20231009,-76.5962
20231009,-75.8271
20231009,-75.4997
20231009,-76.5256
20231009,-77.5494
20231009,-78.641
20231009,-79.6715
20231009,-80.8043
20231009,-81.9607
20231009,-81.5981
20231009,-82.6969
20231009,-81.5136
20231009,-81.3486
20231009,-81.1468
20231009,-80.6216
20231009,-79.6174
20231009,-77.2218
20231009,-76.9569
20231009,-76.6655
20231009,-77.7243
20231009,-76.9949
20231009,-78.1299
20231009,-79.36
20231009,-79.3918
20231010,-79.2391
20231010,-78.9156
20231010,-78.7788
20231010,-77.6741
20231010,-76.788
20231010,-76.7354
20231010,-77.0589
20231010,-76.2314
20231010,-76.1755
20231010,-74.8511
20231010,-73.4509
20231010,-72.2811
20231010,-73.3166
20231010,-73.3331
20231010,-72.9443
20231010,-74.0079
20231010,-73.4232
20231010,-72.5906
20231010,-72.487
20231010,-72.2156
20231010,-72.1326
20231010,-73.182
20231010,-74.3388
20231010,-75.5036
20231010,-124.0461
20231010,-125.1632
20231010,-125.1219
20231010,-126.1976
20231010,-124.9295
20231011,-125.9668
20231011,-126.997
20231011,-128.0479
20231011,-129.0952
20231011,-130.168
20231011,-133.7677
20231011,-134.8507
20231011,-134.8684
20231012,-134.6961
20231012,-135.742
20231012,-136.7793
20231012,-137.8344
20231012,-137.4253
20231012,-135.9832
20231012,-135.3284
20231012,-134.8782
20231012,-135.8969
20231012,-136.9146
20231012,-137.9913
20231012,-139.1202
20231012,-140.171
20231012,-141.249
20231012,-139.0109
20231012,-138.7244
20231012,-137.2019
20231012,-136.38
20231012,-134.2981
20231012,-134.2845
20231012,-135.3546
20231012,-135.3534
20231012,-135.4208
20231013,-135.0275
20231013,-134.6133
20231013,-134.5187
20231013,-135.5649
20231013,-136.6712
20231013,-137.7325
20231013,-139.0084
20231013,-137.3313
20231013,-136.8279
20231013,-135.9931
20231013,-135.5335
20231013,-136.7212
20231013,-135.7147
20231013,-132.8455
20231013,-134.1679
20231013,-134.3315
20231013,-134.1805
20231016,-134.0786
20231016,-134.0193
20231016,-135.0986
20231016,-136.2162
20231016,-137.288
20231016,-137.3438
20231016,-138.4472
20231016,-139.609
20231016,-141.3904
20231016,-142.6449
20231017,-142.1822
20231017,-143.2796
20231017,-143.1832
20231017,-141.0479
20231017,-141.0549
20231017,-140.7851
20231017,-140.541
20231017,-141.5954
20231017,-139.9837
20231017,-141.1439
20231017,-142.6353
20231017,-144.3794
20231017,-139.4686
20231018,-140.5045
20231018,-141.5348
20231018,-142.5686
20231018,-143.6546
20231018,-144.7027
20231018,-144.2989
20231018,-145.3613
20231018,-146.6413
20231018,-147.7138
20231018,-146.525
20231018,-147.1741
20231018,-145.0183
20231018,-142.9969
20231018,-142.6855
20231019,-143.7437
20231019,-142.4471
20231019,-143.5205
20231019,-144.6599
20231019,-144.3258
20231019,-144.1484
20231019,-145.1786
20231019,-146.2228
20231019,-147.2521
20231019,-148.2774
20231019,-148.0676
20231019,-147.0014
20231019,-146.9581
20231019,-146.732
20231019,-147.8305
20231019,-146.8891
20231019,-147.9488
20231019,-147.9104
20231019,-148.2214
20231019,-147.2765
20231020,-147.1274
20231020,-146.7781
20231020,-146.6115
20231020,-145.8084
20231020,-145.4586
20231020,-145.1243
20231020,-144.9086
20231020,-144.6287
20231020,-145.6756
20231020,-143.9303
20231020,-143.0535
20231020,-142.8862
20231020,-142.4284
20231020,-142.3445
20231020,-142.0754
20231020,-142.1167
20231020,-141.4671
20231020,-142.4915
20231020,-143.5814
20231020,-144.8878
20231020,-146.0809
20231020,-145.9245
20231020,-145.3156
20231020,-146.6059
20231020,-147.7011
20231020,-146.3426
20231020,-147.6235
20231020,-141.5258
20231020,-141.056
20231023,-140.9295
20231023,-140.3459
20231023,-140.327
20231023,-140.1687
20231023,-137.176
20231023,-136.9184
20231023,-136.9018
20231023,-138.1585
20231024,-139.1859
20231024,-140.2059
20231024,-139.915
20231024,-140.952
20231024,-140.6617
20231024,-141.7015
20231024,-142.7298
20231024,-143.7824
20231024,-144.8992
20231024,-142.899
20231024,-144.0579
20231024,-145.1645
20231024,-146.428
20231024,-145.2743
20231024,-144.2652
20231024,-144.143
20231024,-144.1303
20231024,-142.7964
20231024,-142.4688
20231025,-142.442
20231025,-143.527
20231025,-143.5483
20231025,-143.2649
20231025,-143.8652
20231025,-143.7489
20231025,-139.6588
20231025,-139.2354
20231025,-137.5859
20231025,-138.7279
20231025,-139.8345
20231025,-140.8609
20231025,-141.9102
20231025,-143.1123
20231026,-143.4379
20231026,-142.1387
20231026,-143.1476
20231026,-144.1592
20231026,-145.2221
20231026,-146.2606
20231026,-146.1359
20231026,-147.1852
20231026,-148.2802
20231026,-148.1947
20231026,-147.7727
20231026,-148.8787
20231026,-149.9395
20231026,-152.9311
20231026,-154.0064
20231026,-155.1611
20231026,-153.2628
20231026,-153.1655
20231026,-152.6837
20231026,-151.8876
20231027,-152.9517
20231027,-153.9893
20231027,-155.0212
20231027,-154.7129
20231027,-155.7516
20231027,-156.8003
20231027,-157.8889
20231027,-157.4485
20231027,-157.3319
20231027,-158.4421
20231027,-159.4865
20231027,-160.5135
20231027,-161.5484
20231027,-162.6056
20231027,-156.8211
20231027,-158.237
20231027,-159.7593
20231030,-159.5304
20231030,-158.3544
20231030,-157.0711
20231030,-156.3356
20231030,-157.3571
20231030,-158.3813
20231030,-157.3501
20231030,-158.5686
20231030,-159.6168
20231030,-160.7133
20231030,-160.1128
20231030,-159.8057
20231030,-159.5355
20231030,-160.014
20231030,-159.3126
20231030,-160.4205
20231030,-159.9954
20231031,-159.1524
20231031,-160.1944
20231031,-161.2704
20231031,-162.335
20231031,-163.4518
20231031,-164.4981
20231031,-165.5634
20231031,-166.6058
20231031,-166.058
20231031,-167.1298
20231031,-168.2832
20231031,-168.2145
20231031,-169.3261
20231031,-170.3644
20231031,-171.4331
20231031,-169.9276
20231031,-171.2734
20231101,-170.3378
20231101,-169.1215
20231101,-170.1589
20231101,-171.2707
20231101,-171.0627
20231101,-171.0435
20231101,-172.1066
20231101,-171.8104
20231101,-171.638
20231101,-172.716
20231101,-174.1632
20231101,-170.2079
20231101,-167.2118
20231101,-168.2868
20231101,-165.7777
20231101,-166.9029
20231101,-167.9551
20231101,-167.4078
20231101,-168.6824
20231101,-168.0261
20231102,-167.9827
20231102,-167.0396
20231102,-166.7082
20231102,-165.1097
20231102,-165.0099
20231102,-166.0913
20231102,-161.2192
20231102,-157.8754
20231102,-155.0994
20231102,-154.9448
20231102,-154.6488
20231102,-154.6095
20231102,-154.3309
20231102,-155.4239
20231102,-156.4979
20231102,-154.69
20231102,-155.7422
20231102,-155.9628
20231102,-157.1996
20231102,-157.0826
20231102,-156.6796
20231102,-157.82
20231102,-157.7922
20231103,-158.8393
20231103,-157.8356
20231103,-158.8631
20231103,-159.8726
20231103,-160.904
20231103,-160.4958
20231103,-160.7365
20231103,-161.7687
20231103,-160.7452
20231103,-161.7901
20231103,-162.7985
20231103,-162.0314
20231103,-163.1008
20231103,-164.1312
20231103,-163.2401
20231103,-162.1083
20231103,-161.1686
20231103,-159.0847
20231103,-153.112
20231103,-155.112
20231103,-156.2707
20231103,-157.3499
20231103,-158.5796
20231103,-157.3389
20231103,-158.5038
20231106,-156.0403
20231106,-157.0487
20231106,-158.0885
20231106,-159.1326
20231106,-159.1443
20231106,-156.9927
20231106,-155.8596
20231106,-155.8891
20231106,-156.9689
20231106,-156.5813
20231107,-157.5975
20231107,-156.0284
20231107,-155.272
20231107,-154.0727
20231107,-153.5895
20231107,-154.8293
20231107,-155.8646
20231107,-154.9581
20231107,-154.4508
20231107,-155.5168
20231107,-155.4308
20231107,-154.6061
20231107,-155.0778
20231107,-154.6758
20231107,-155.7587
20231107,-156.7837
20231107,-157.911
20231107,-159.013
20231107,-160.0464
20231107,-160.1099
20231107,-160.0212
20231107,-161.7777
20231107,-162.9894
20231107,-164.1779
20231107,-165.4168
20231108,-166.4965
20231108,-167.5293
20231108,-168.6532
20231108,-169.7085
20231108,-170.7523
20231108,-170.434
20231108,-169.4718
20231108,-169.2803
20231108,-167.4381
20231108,-168.5027
20231108,-167.6178
20231108,-168.8148
20231108,-170.8149
20231108,-170.7041
20231108,-170.9889
20231108,-172.0656
20231108,-173.1499
20231108,-172.9309
20231109,-174.0935
20231109,-173.5137
20231109,-172.5112
20231109,-172.3134
20231109,-172.2889
20231109,-173.2961
20231109,-174.3281
20231109,-173.0357
20231109,-174.1037
20231109,-173.4288
20231109,-170.5973
20231109,-171.6556
20231109,-172.8121
20231109,-174.2403
20231109,-175.545
20231109,-174.4451
20231109,-175.4774
20231109,-175.3697
20231110,-175.313
20231110,-174.5692
20231110,-175.6516
20231110,-175.3353
20231110,-176.4043
20231110,-176.0152
20231110,-175.6135
20231110,-176.784
20231110,-177.8704
20231110,-177.3536
20231110,-175.8093
20231110,-176.8918
20231110,-178.0264
20231110,-180.0263
20231110,-176.3113
20231110,-178.3113
20231110,-179.6965
20231110,-174.3027
20231110,-173.7445
20231110,-174.4341
20231113,-174.4361
20231113,-174.1931
20231113,-171.867
20231113,-173.0795
20231113,-173.0206
20231113,-174.1614
20231113,-175.4028
20231113,-176.577
20231113,-177.6937
20231113,-179.0095
20231113,-180.0764
20231113,-181.2729
20231113,-183.001
20231113,-184.1589
20231113,-185.1998
20231113,-185.3887
20231114,-183.6865
20231114,-182.7279
20231114,-182.2885
20231114,-179.4231
20231114,-179.4365
20231114,-179.1735
20231114,-175.722
20231114,-176.7567
20231114,-176.3188
20231114,-177.3511
20231114,-176.198
20231114,-176.0815
20231114,-177.0996
20231114,-176.5759
20231114,-175.6003
20231114,-176.6458
20231114,-177.6625
20231114,-178.8432
20231114,-179.9422
20231114,-181.1026
20231114,-180.6533
20231114,-181.7639
20231114,-183.6145
20231114,-185.1211
20231115,-183.9731
20231115,-182.1104
20231115,-183.1449
20231115,-184.223
20231115,-185.4351
20231115,-184.9858
20231115,-186.0427
20231115,-186.0501
20231115,-187.3072
20231115,-188.3532
20231115,-189.5006
20231115,-186.0273
20231115,-187.2469
20231115,-188.3082
20231115,-189.4025
20231116,-188.5767
20231116,-187.8278
20231116,-186.851
20231116,-186.4331
20231116,-185.9133
20231116,-186.9292
20231116,-186.5474
20231116,-187.6195
20231116,-188.6571
20231116,-189.7592
20231116,-191.1067
20231116,-192.33
20231116,-193.4196
20231116,-186.0416
20231116,-187.6202
20231116,-188.9282
20231117,-188.8631
20231117,-189.9036
20231117,-189.6932
20231117,-192.8058
20231117,-194.5354
20231117,-195.9878
20231117,-195.8942
20231117,-197.0404
20231117,-198.2703
20231117,-193.694
20231117,-194.8258
20231117,-194.3766
20231120,-193.1131
20231120,-190.2628
20231120,-191.2858
20231120,-192.3263
20231120,-193.3628
20231120,-194.4247
20231120,-193.8559
20231120,-192.1631
20231120,-193.1793
20231120,-193.1391
20231120,-193.2262
20231120,-194.2736
20231120,-193.8129
20231120,-192.4597
20231120,-191.6721
20231120,-192.9909
20231120,-194.1958
20231120,-195.2822
20231120,-196.3872
20231120,-197.6877
20231120,-198.3217
20231121,-199.3658
20231121,-200.3853
20231121,-200.2113
20231121,-200.2036
20231121,-201.3034
20231121,-201.1098
20231121,-202.3901
20231121,-203.4692
20231121,-204.5016
20231121,-204.295
20231121,-204.0053
20231121,-205.1187
20231121,-208.2603
20231121,-209.4253
20231121,-210.4682
20231121,-211.6751
20231122,-212.7432
20231122,-213.7994
20231122,-212.8474
20231122,-213.9177
20231122,-215.1365
20231122,-216.1763
20231122,-217.3511
20231122,-217.4461
20231122,-218.6482
20231122,-217.5102
20231122,-218.6101
20231122,-218.0955
20231122,-219.1391
20231122,-219.4931
20231124,-218.8713
20231124,-218.7484
20231124,-219.8336
20231124,-219.7966
20231124,-220.8935
20231124,-222.2447
20231124,-222.081
20231124,-223.156
20231124,-224.2663
20231127,-223.8065
20231127,-223.6982
20231127,-223.1654
20231127,-223.1507
20231127,-224.6202
20231127,-225.9761
20231127,-227.011
20231127,-228.3478
20231127,-227.9012
20231127,-229.2363
20231127,-230.9789
20231127,-230.2113
20231127,-231.6148
20231128,-230.9497
20231128,-232.0137
20231128,-233.0487
20231128,-234.0789
20231128,-235.122
20231128,-235.2257
20231128,-236.2892
20231128,-234.5826
20231128,-234.5314
20231128,-231.6378
20231128,-230.9386
20231128,-231.9727
20231128,-233.0122
20231128,-234.0881
20231128,-235.1417
20231128,-235.4789
20231128,-233.2254
20231129,-232.9701
20231129,-234.0637
20231129,-235.0953
20231129,-235.041
20231129,-234.9269
20231129,-234.7929
20231129,-234.477
20231129,-235.5983
20231129,-234.5183
20231129,-234.1455
20231129,-235.8161
20231129,-237.0493
20231129,-238.7256
20231129,-239.8593
20231129,-241.1525
20231129,-240.3663
20231129,-240.7458
20231130,-241.781
20231130,-241.0643
20231130,-240.5464
20231130,-238.4368
20231130,-238.0499
20231130,-232.1587
20231130,-233.1936
20231130,-232.6561
20231130,-233.7841
20231130,-233.7071
20231130,-234.9753
20231130,-236.0652
20231130,-233.1416
20231130,-234.476
20231130,-236.476
20231130,-237.5636
20231130,-238.8645
20231201,-238.8405
20231201,-239.8765
20231201,-240.8975
20231201,-240.4844
20231201,-241.5032
20231201,-241.6348
20231201,-239.9391
20231201,-238.9831
20231201,-240.0223
20231201,-240.0063
20231201,-239.8681
20231201,-239.6841
20231201,-238.5175
20231201,-239.9058
20231201,-241.5262
20231201,-242.8409
20231201,-243.9637
20231201,-245.2358
20231201,-246.3469
20231204,-247.4002
20231204,-248.52
20231204,-248.3139
20231204,-249.3423
20231204,-249.3543
20231204,-250.4058
20231204,-250.0106
20231204,-251.0403
20231204,-252.0728
20231204,-251.8269
20231204,-251.5465
20231204,-252.8457
20231204,-254.0533
20231204,-255.1137
20231204,-256.158
