day,cum_net_r
20230926,-1.1078
20230927,-2.2163
20231002,-3.35
20231003,-4.4021
20231003,-5.5014
20231003,-2.3677
20231003,-3.403
20231003,-4.4835
20231004,-3.309
20231005,-4.4246
20231005,-5.7459
20231005,-6.868
20231005,-7.9898
20231006,-9.0808
20231009,-10.3633
20231010,-11.4364
20231010,-12.5221
20231012,-13.5866
20231012,-14.6991
20231013,-15.772
20231016,-16.8555
20231017,-18.154
20231017,-14.0744
20231023,-15.1212
20231026,-13.6773
20231026,-14.7221
20231030,-13.2787
20231101,-11.6586
20231102,-12.7235
20231103,-13.8054
20231109,-15.0633
20231109,-13.2658
20231114,-11.9615
20231114,-11.1077
20231114,-9.8314
20231114,-11.036
20231115,-4.3309
20231115,-5.5523
20231116,-6.624
20231116,-4.9367
20231120,-4.5147
20231121,-5.6085
20231124,-2.21
20231124,-3.4152
20231127,-4.5133
20231127,-5.6685
20231127,-6.7895
20231128,-8.0359
20231128,-6.6524
20231129,-7.798
20231201,-6.2278
20231204,-7.3265
20231204,-8.123
20231205,-9.241
20231205,-10.3178
20231205,-11.3388
20231205,-12.4743
20231205,-13.6409
20231205,-11.832
20231206,-12.8622
20231206,-13.9358
20231207,-15.033
20231207,-16.1996
20231207,-17.3524
20231208,-15.7122
20231208,-14.2894
20231211,-15.3307
20231211,-16.2987
20231211,-17.4844
20231212,-15.9204
20231213,-17.1323
20231213,-18.2931
20231213,-19.484
20231214,-15.3251
20231215,-13.8698
20231215,-15.0883
20231218,-16.179
20231219,-17.2922
20231219,-18.3423
20231220,-15.552
20231220,-16.7763
20231226,-17.9058
20231226,-16.2545
20231226,-17.3137
20231227,-17.7833
20231228,-18.8921
20231228,-19.9696
20231228,-21.1137
20240102,-22.1762
20240102,-23.2299
20240103,-21.9229
20240103,-23.0069
20240103,-24.1227
20240104,-25.1884
20240105,-23.5888
20240105,-24.8211
20240105,-25.9442
20240105,-26.9876
20240105,-28.1003
20240105,-29.2567
20240108,-27.4272
20240108,-27.8201
20240109,-28.8625
20240110,-30.4486
20240110,-31.5079
20240110,-32.6237
20240111,-33.6672
20240116,-34.7131
20240118,-35.7853
20240118,-33.5108
20240123,-34.5849
20240124,-35.7003
20240125,-36.774
20240125,-37.8677
20240131,-39.0913
20240201,-40.1085
20240201,-41.2103
20240202,-39.6171
20240202,-40.7147
20240202,-41.7299
20240202,-42.7535
20240206,-38.9508
20240207,-37.4423
20240207,-38.5456
20240208,-39.6146
20240212,-38.9557
20240212,-40.0959
20240212,-37.9641
20240212,-39.0784
20240213,-40.263
20240213,-41.3746
20240213,-42.4809
20240214,-43.6153
20240214,-42.2738
20240214,-43.3486
20240214,-44.4595
20240214,-42.9117
20240216,-44.0356
20240216,-42.7792
20240216,-43.8629
20240222,-41.3857
20240228,-42.4465
20240228,-39.4113
20240228,-40.5448
20240228,-41.6418
20240229,-39.1714
20240229,-40.2914
20240301,-41.3544
20240301,-42.3912
20240301,-40.6477
20240304,-41.7639
20240304,-37.2638
20240304,-38.3771
20240304,-39.399
20240306,-40.5322
20240306,-39.4746
20240307,-40.556
20240307,-41.663
20240308,-42.7561
20240311,-39.328
20240311,-40.4097
20240311,-41.4964
20240312,-38.3707
20240312,-39.523
20240312,-37.2148
20240312,-38.3475
20240313,-39.3742
20240315,-40.4594
20240318,-41.481
20240318,-42.5824
20240318,-43.9098
20240320,-41.7902
20240320,-42.9215
20240325,-44.0249
20240326,-45.1915
20240327,-46.227
20240327,-47.3689
20240328,-48.3967
20240328,-49.456
20240401,-50.573
20240402,-51.6017
20240403,-48.9557
20240403,-50.0028
20240403,-51.2225
20240404,-48.4441
20240404,-49.5989
20240405,-50.6911
20240409,-51.8138
20240411,-52.9709
20240411,-51.2346
20240412,-49.5361
20240412,-50.5857
20240415,-48.8852
20240416,-49.9252
20240417,-51.0871
20240417,-52.1784
20240419,-50.0973
20240419,-37.2867
20240419,-38.3883
20240422,-37.004
20240422,-38.545
20240422,-39.6738
20240423,-40.9202
20240423,-41.9728
20240424,-43.1578
20240424,-40.1305
20240424,-38.2315
20240424,-36.9795
20240425,-38.0345
20240425,-39.1205
20240425,-40.21
20240425,-41.2747
20240426,-42.5664
20240501,-41.0931
20240502,-39.4043
20240506,-37.7493
20240508,-38.8286
20240509,-39.8594
20240510,-40.9048
20240510,-42.0167
20240510,-43.0835
20240510,-44.1456
20240510,-34.3225
20240510,-31.1958
