day,cum_net_r
20230926,-1.1407
20230927,-2.4632
20230927,-3.5779
20230928,-4.7038
20230929,-1.4428
20231005,-2.5447
20231005,-3.6664
20231006,-4.7575
20231010,-1.8072
20231012,-2.8575
20231012,-4.1098
20231012,-2.2541
20231016,-3.5869
20231017,1.0926
20231017,2.6473
20231017,1.4253
20231019,0.2389
20231026,-0.8886
20231027,-2.0031
20231027,-3.0369
20231030,0.3859
20231030,-0.6983
20231030,1.3375
20231107,6.7967
20231107,5.727
20231110,4.6261
20231114,5.9304
20231114,9.771
20231116,8.7003
20231116,8.9966
20231120,13.6613
20231120,14.0833
20231121,13.0463
20231124,12.3901
20231127,11.292
20231128,10.0456
20231205,8.9276
20231206,7.854
20231207,6.766
20231208,7.9865
20231212,11.3166
20231213,10.0695
20231213,8.8786
20231220,10.364
20231227,11.1908
20240102,10.0713
20240102,9.0524
20240103,7.9366
20240104,6.8709
20240105,8.5812
20240105,7.5247
20240105,6.394
20240110,5.9959
20240130,4.9079
20240213,3.7234
20240214,2.7075
20240216,1.6356
20240222,0.5878
20240229,3.0582
20240301,1.9429
20240301,4.3604
20240301,3.3235
20240311,5.8093
20240312,8.9135
20240318,7.8919
20240318,6.8588
20240319,5.8002
20240320,4.7621
20240320,6.8817
20240322,5.8261
20240327,7.4265
20240402,9.8119
20240404,8.6571
20240404,7.5489
20240409,9.7751
20240411,8.6937
20240412,7.6466
20240412,6.5971
20240415,10.3227
20240416,9.2827
20240419,17.7148
20240422,19.1291
20240422,17.9947
20240422,16.942
20240422,15.8655
20240423,14.767
20240424,18.8404
20240426,17.8146
20240507,19.579
20240508,17.7661
20240508,16.6925
20240508,15.6082
20240509,14.5774
20240510,13.224
20240514,12.1374
20240514,11.0186
20240520,9.899
20240520,8.8214
20240521,10.2776
20240529,9.4811
20240611,8.4605
20240612,7.4095
20240614,6.2066
20240614,5.1424
20240620,3.9515
20240628,5.7168
20240628,6.9191
20240703,5.7801
20240710,4.7022
20240712,3.4847
20240715,4.8428
20240716,3.7603
20240717,2.732
20240718,1.6478
20240718,0.5677
20240726,-0.528
20240726,-1.6945
20240726,-2.9552
20240726,-4.0331
20240731,-5.0486
20240731,-6.2072
20240801,-7.2272
20240801,-4.5807
20240812,-5.6832
20240815,-6.8495
20240819,-6.5939
20240821,-7.6561
20240821,-8.7217
20240826,-9.9024
20240827,-10.9631
20240906,-12.0067
20240906,-10.2395
20240909,-11.2788
20240909,-9.6669
20240909,-8.3153
20240910,-7.751
20240910,-8.9341
20240911,-9.9487
20240919,-7.8664
20240923,-7.427
20240923,-8.5281
20240925,-5.9521
20240925,-7.0124
20240930,-8.0296
20240930,-9.1125
20241001,-10.1916
20241007,-11.2677
20241008,-12.3254
20241009,-9.7566
20241014,0.4103
20241021,-0.73
20241021,-1.8322
20241031,-2.93
20241113,0.7008
20241113,-0.4068
20241119,-1.7266
20241120,-2.7765
20241121,-0.3602
20241122,-1.5023
20241126,-2.5533
20241126,-3.6229
20241202,1.092
20241203,0.0403
20241204,1.8291
20241204,4.2349
20241205,3.1449
20241210,2.0169
20241211,0.9034
20241212,-0.2981
20241213,-1.3495
20241216,-2.3989
20241218,-3.4968
20241219,-4.6512
20241219,-5.7758
20241219,-6.8457
20241223,-7.9028
20241223,-9.0695
20241226,-2.3508
20241230,-3.3884
20241230,-4.6665
20241230,-5.816
20241231,-6.9416
20241231,-5.616
20250102,-6.691
20250102,-7.8187
20250106,-5.2677
20250106,-6.3244
20250106,-5.0242
20250107,-2.7833
20250117,-3.913
20250117,-5.0031
20250117,-4.9201
20250122,-5.9508
20250122,-6.3512
20250123,-3.9647
20250124,-5.0279
20250124,-6.0854
20250124,-7.2522
20250124,-8.2737
20250127,-9.3278
20250127,-10.387
20250127,-11.6039
20250127,-12.6926
20250128,-13.797
20250131,-14.8587
20250203,-15.9137
20250206,-13.996
20250211,-7.8463
20250212,-6.502
20250212,-7.6038
20250212,-9.1759
20250213,-10.2819
20250214,-8.8577
20250219,-9.8877
20250219,-10.9162
20250220,-10.404
20250225,-8.7242
20250227,-6.8689
20250303,-7.9235
20250305,-9.1006
20250306,-10.1886
20250310,-11.28
20250310,-12.3652
20250310,-11.2124
20250311,-12.2468
20250312,-13.3342
20250312,-11.3593
20250312,-12.3885
20250317,-13.449
20250321,-14.5611
20250321,-12.1608
20250321,-9.9132
20250325,-9.0638
20250327,-10.1582
20250401,-11.1913
20250411,-12.2078
20250415,-13.2775
20250415,-14.3354
20250415,-15.39
20250417,-16.4827
20250421,-14.2527
20250425,-15.319
20250429,-16.3942
20250502,-17.4175
20250502,-18.484
20250505,-19.5558
20250505,-17.0642
20250505,-17.9004
20250506,-15.8048
20250506,-12.5239
20250506,-13.5962
20250513,-14.6088
20250513,-13.1174
20250513,-11.9191
20250513,-12.9389
20250515,-11.5342
20250521,-12.5663
20250528,-10.9792
20250530,-12.0123
20250602,-13.1505
20250603,-14.2243
20250606,-15.2775
20250609,-16.3354
20250609,-17.4374
20250611,-18.4933
20250612,-16.3292
20250612,-14.5697
20250617,-15.7363
20250618,-16.7791
20250620,-17.9084
20250701,-18.9465
20250708,-20.0051
20250714,-21.0727
20250716,-19.6231
20250717,-20.6891
20250718,-17.8259
20250721,-18.8859
20250721,-20.0028
20250725,-21.0261
20250725,-16.3164
20250728,-17.3722
20250728,-18.5388
20250801,-19.6139
20250804,-18.7838
20250806,-19.802
