day,cum_net_r
20230926,-1.1407
20230927,-2.4632
20230927,-3.5779
20230928,-4.7038
20230929,-1.4428
20231005,-2.5447
20231005,-3.6664
20231006,-4.7575
20231010,-1.8072
20231012,-2.8575
20231012,-4.1098
20231012,-2.2541
20231016,-3.5869
20231017,1.0926
20231017,2.6473
20231017,1.4253
20231019,0.2389
20231026,-0.8886
20231027,-2.0031
20231027,-3.0369
20231030,0.3859
20231030,-0.6983
20231030,1.3375
20231107,6.7967
20231107,5.727
20231110,4.6261
20231114,9.1716
20231114,13.0122
20231116,11.9415
20231116,14.2531
20231120,18.9178
20231120,17.8959
20231121,16.8589
20231124,19.8153
20231127,18.7172
20231128,17.4708
20231205,16.3528
20231206,15.2792
20231207,14.1912
20231208,15.4117
20231212,18.7418
20231213,17.4947
20231213,16.3038
20231220,17.7892
20231227,16.7111
20240102,15.5916
20240102,14.5728
20240103,13.457
20240104,12.3912
20240105,14.1015
20240105,13.045
20240105,11.9143
20240110,10.8866
20240130,9.7986
20240213,8.6141
20240214,7.5982
20240216,6.5263
20240222,5.4785
20240229,7.9489
20240301,6.8336
20240301,12.8131
20240301,11.7762
20240311,14.2621
20240312,17.3663
20240318,16.3447
20240318,15.3116
20240319,14.2529
20240320,13.2149
20240320,15.3345
20240322,14.2789
20240327,15.8793
20240402,14.7933
20240404,13.6385
20240404,12.5302
20240409,14.7564
20240411,13.675
20240412,12.628
20240412,11.5784
20240415,15.304
20240416,14.264
20240419,22.6961
20240422,24.1104
20240422,22.9761
20240422,21.9234
20240422,20.8468
20240423,19.7483
20240424,23.8218
20240426,22.796
20240507,27.6487
20240508,25.8358
20240508,24.7622
20240508,23.6779
20240509,22.6471
20240510,21.2937
20240514,20.2071
20240514,19.0883
20240520,17.9687
20240520,16.8911
20240521,18.3473
20240529,17.3172
20240611,16.2965
20240612,15.2455
20240614,14.0427
20240614,12.9785
20240620,11.7876
20240628,13.5529
20240628,16.1551
20240703,15.0161
20240710,13.9382
20240712,12.7207
20240715,14.0789
20240716,12.9963
20240717,11.968
20240718,10.8838
20240718,9.8037
20240726,8.7081
20240726,7.5415
20240726,6.2808
20240726,5.2029
20240731,4.1874
20240731,3.0288
20240801,2.0088
20240801,4.6553
20240812,3.5528
20240815,2.3865
20240819,1.325
20240821,0.2628
20240821,-0.8028
20240826,-1.9835
20240827,-3.0442
20240906,-4.0878
20240906,-2.3205
20240909,-3.3599
20240909,-1.748
20240909,0.1709
20240910,-0.8529
20240910,-2.036
20240911,-3.0506
20240919,-0.9683
20240923,2.0349
20240923,0.9338
20240925,3.5099
20240925,2.4496
20240930,1.4323
20240930,0.3495
20241001,-0.7296
20241007,-1.8057
20241008,-2.8634
20241009,-0.2946
20241014,9.8723
20241021,8.7319
20241021,7.6297
20241031,6.532
20241113,10.1627
20241113,9.0551
20241119,7.7353
20241120,6.6855
20241121,9.1018
20241122,7.9596
20241126,6.9086
20241126,5.8391
20241202,10.5539
20241203,9.5023
20241204,11.2911
20241204,13.6969
20241205,12.6069
20241210,11.4789
20241211,10.3654
20241212,9.1639
20241213,8.1125
20241216,7.0631
20241218,5.9651
20241219,4.8108
20241219,3.6861
20241219,2.6163
20241223,1.5592
20241223,0.3924
20241226,7.1112
20241230,6.0736
20241230,4.7955
20241230,3.646
20241231,2.5203
20241231,3.846
20250102,2.771
20250102,1.6433
20250106,4.1943
20250106,3.1376
20250106,4.4378
20250107,6.6787
20250117,5.5489
20250117,4.4589
20250117,3.3916
20250122,2.361
20250122,1.3516
20250123,3.7381
20250124,2.6749
20250124,1.6174
20250124,0.4506
20250124,-0.5709
20250127,-1.625
20250127,-2.6842
20250127,-3.9011
20250127,-4.9898
20250128,-6.0942
20250131,-7.1558
20250203,-8.2109
20250206,-6.2931
20250211,-0.1435
20250212,1.2008
20250212,0.0991
20250212,-1.473
20250213,-2.5791
20250214,-0.4162
20250219,-1.4463
20250219,-2.4748
20250220,1.5715
20250225,3.2513
20250227,5.1066
20250303,4.052
20250305,2.8749
20250306,1.7869
20250310,0.6955
20250310,-0.3897
20250310,0.7631
20250311,-0.2712
20250312,-1.3587
20250312,0.6162
20250312,-0.413
20250317,-1.4735
20250321,-2.5856
20250321,-0.1853
20250321,2.0623
20250325,1.0352
20250327,-0.0593
20250401,-1.0923
20250411,-2.1088
20250415,-3.1785
20250415,-4.2364
20250415,-5.2911
20250417,-6.3838
20250421,-4.1537
20250425,-5.2201
20250429,-6.2952
20250502,-7.3186
20250502,-8.3851
20250505,-9.4569
20250505,-6.9652
20250505,-8.0142
20250506,-5.9186
20250506,-2.6378
20250506,-3.71
20250513,-4.7227
20250513,-3.1752
20250513,0.3834
20250513,-0.6365
20250515,0.7683
20250521,-0.2638
20250528,1.3233
20250530,0.2902
20250602,-0.848
20250603,-1.9219
20250606,-2.975
20250609,-4.033
20250609,-5.1349
20250611,-6.1908
20250612,-4.0267
20250612,-2.2672
20250617,-3.4338
20250618,-4.4766
20250620,-5.6059
20250701,-6.6441
20250708,-7.7026
20250714,-8.7703
20250716,-7.3206
20250717,-8.3866
20250718,-5.5235
20250721,-6.5835
20250721,-7.7004
20250725,-8.7236
20250725,-4.0139
20250728,-5.0697
20250728,-6.2363
20250801,-7.3114
20250804,-8.3962
20250806,-9.4144
20250807,-7.3465
20250808,-8.4145
20250812,-9.5206
20250812,-8.1759
20250814,-9.2315
20250814,-10.247
20250814,-11.2738
