day,cum_net_r
20230911,-1.0643
20230911,-2.0962
20230911,-3.1572
20230911,-4.5069
20230911,-5.5286
20230911,-6.6236
20230911,-7.7485
20230911,-8.8425
20230912,-9.8701
20230912,-10.9575
20230912,-11.9975
20230912,-13.0583
20230912,-14.1392
20230912,-15.178
20230912,-16.3348
20230912,-14.5488
20230912,-15.6439
20230912,-17.0462
20230913,-18.1189
20230913,-19.1595
20230913,-20.2354
20230913,-21.4873
20230913,-18.2144
20230913,-19.3113
20230913,-20.4029
20230913,-21.4423
20230913,-22.4629
20230913,-23.5353
20230913,-24.6662
20230913,-22.0567
20230913,-21.8668
20230913,-20.284
20230913,-19.089
20230913,-20.3443
20230913,-21.3822
20230913,-22.4987
20230913,-20.764
20230914,-17.5396
20230914,-18.6126
20230914,-19.6464
20230914,-20.7267
20230914,-21.8254
20230914,-17.9029
20230914,-18.9755
20230914,-15.5242
20230914,-16.6505
20230914,-17.6806
20230914,-15.7347
20230914,-14.5277
20230914,-15.5631
20230914,-16.5938
20230914,-17.6984
20230915,-18.8754
20230915,-16.8946
20230915,-18.0084
20230915,-19.1135
20230915,-20.2
20230915,-21.3908
20230915,-22.4743
20230915,-23.5163
20230915,-20.2727
20230915,-18.2271
20230915,-19.2692
20230915,-20.4314
20230918,-21.5072
20230918,-22.5645
20230918,-23.6245
20230918,-24.7073
20230918,-25.8109
20230918,-26.9421
20230918,-27.9658
20230918,-25.2805
20230918,-26.3417
20230918,-26.3927
20230918,-20.945
20230918,-20.7004
20230918,-20.4401
20230919,-18.1681
20230919,-19.4843
20230919,-15.3408
20230919,-16.4648
20230919,-13.3728
20230919,-14.5993
20230919,-15.6613
20230919,-17.0541
20230919,-18.7177
20230919,-13.1505
20230920,-9.3498
20230920,-4.0708
20230920,-5.2439
20230920,-6.3298
20230920,-3.7175
20230920,3.8396
20230920,2.6925
20230920,3.9532
20230920,5.4812
20230920,4.4034
20230920,3.3504
20230920,2.1555
20230921,1.0042
20230921,-0.1255
20230921,-1.2395
20230921,1.0619
20230921,-0.1812
20230921,-1.2507
20230921,-2.3081
20230921,-1.7028
20230921,0.6961
20230921,-1.0323
20230921,-2.0505
20230922,-3.1305
20230922,-4.2496
20230922,-1.3126
20230922,-2.4035
20230922,-0.8877
20230922,-2.0121
20230922,-3.0806
20230922,-1.3887
20230922,-0.2633
20230922,-1.3011
20230922,1.8909
20230922,0.8335
20230922,-0.2877
20230922,-1.3078
20230922,1.9707
20230922,3.9833
20230922,2.7816
20230922,4.2387
20230925,3.1661
20230925,2.0782
20230925,0.6594
20230925,1.8829
20230925,0.8589
20230925,1.8422
20230925,3.0432
20230925,1.9602
20230925,0.9249
20230925,1.9343
20230925,0.7851
20230925,-0.2717
20230926,5.6283
20230926,9.0486
20230926,7.9508
20230926,6.8702
20230926,9.9103
20230926,12.7022
20230926,11.5603
20230926,10.4638
20230926,12.6116
20230926,11.5404
20230926,10.4405
20230926,9.404
20230926,8.1061
20230926,7.1304
20230926,5.892
20230926,4.7313
20230927,3.6829
20230927,2.4966
20230927,1.4441
20230927,0.3708
20230927,-0.6907
20230927,-1.7989
20230927,-2.8878
20230927,-3.9826
20230927,-5.0033
20230927,-6.1374
20230928,-7.1973
20230928,-8.2792
20230928,-9.3126
20230928,-10.3843
20230928,-11.4125
20230928,-7.0231
20230928,-4.95
