day,cum_net_r
20230911,-1.0
20230911,-2.0
20230911,-3.0
20230911,-4.0
20230911,-5.0
20230911,-6.0
20230911,-7.0
20230911,-8.0
20230912,-9.0
20230912,-10.0
20230912,-11.0
20230912,-12.0
20230912,-13.0
20230912,-14.0
20230912,-15.0
20230912,-13.1282
20230912,-14.1282
20230912,-15.1282
20230913,-16.1282
20230913,-17.1282
20230913,-18.1282
20230913,-19.1282
20230913,-15.5092
20230913,-16.5092
20230913,-17.5092
20230913,-18.5092
20230913,-19.5092
20230913,-20.5092
20230913,-21.5092
20230913,-18.7471
20230913,-18.4614
20230913,-16.7667
20230913,-15.508
20230913,-16.508
20230913,-17.508
20230913,-18.508
20230913,-16.6254
20230914,-13.0925
20230914,-14.0925
20230914,-15.0925
20230914,-16.0925
20230914,-17.0925
20230914,-13.0412
20230914,-14.0412
20230914,-10.2912
20230914,-11.2912
20230914,-12.2912
20230914,-10.0769
20230914,-8.5252
20230914,-9.5252
20230914,-10.5252
20230914,-11.5252
20230915,-12.5252
20230915,-10.3748
20230915,-11.3748
20230915,-12.3748
20230915,-13.3748
20230915,-14.3748
20230915,-15.3748
20230915,-16.3748
20230915,-12.907
20230915,-10.689
20230915,-11.689
20230915,-12.689
20230918,-13.689
20230918,-14.689
20230918,-15.689
20230918,-16.689
20230918,-17.689
20230918,-18.689
20230918,-19.689
20230918,-16.6175
20230918,-17.6175
20230918,-17.6284
20230918,-11.664
20230918,-11.3015
20230918,-10.9765
20230919,-8.6025
20230919,-9.7995
20230919,-5.281
20230919,-6.281
20230919,-2.9477
20230919,-3.9477
20230919,-4.9477
20230919,-5.9477
20230919,-7.3227
20230919,-1.2801
20230920,2.6462
20230920,8.2826
20230920,7.2826
20230920,6.2826
20230920,8.9934
20230920,17.2434
20230920,16.2434
20230920,17.6879
20230920,19.2399
20230920,18.2399
20230920,17.2399
20230920,16.2399
20230921,15.2399
20230921,14.2399
20230921,13.2399
20230921,15.6218
20230921,14.6218
20230921,13.6218
20230921,12.6218
20230921,13.2793
20230921,15.917
20230921,14.917
20230921,13.917
20230922,12.917
20230922,11.917
20230922,15.042
20230922,14.042
20230922,15.6557
20230922,14.6557
20230922,13.6557
20230922,15.4501
20230922,16.7544
20230922,15.7544
20230922,19.7544
20230922,18.7544
20230922,17.7544
20230922,16.7544
20230922,20.2779
20230922,22.4015
20230922,21.4015
20230922,22.9131
20230925,21.9131
20230925,20.9131
20230925,19.9131
20230925,21.2006
20230925,20.2006
20230925,21.3634
20230925,22.8312
20230925,21.8312
20230925,20.8312
20230925,21.9777
20230925,20.9777
20230925,19.9777
20230926,26.4777
20230926,30.2842
20230926,29.2842
20230926,28.2842
20230926,31.4523
20230926,34.5176
20230926,33.5176
20230926,32.5176
20230926,34.7857
20230926,33.7857
20230926,32.7857
20230926,31.7857
20230926,30.7857
20230926,29.9472
20230926,28.9472
20230926,27.9472
20230927,26.9472
20230927,25.9472
20230927,24.9472
20230927,23.9472
20230927,22.9472
20230927,21.9472
20230927,20.9472
20230927,19.9472
20230927,18.9472
20230927,17.9472
20230928,16.9472
20230928,15.9472
20230928,14.9472
20230928,13.9472
20230928,12.9472
20230928,18.1646
20230928,20.5226
20230928,19.5226
20230928,18.5226
20230928,17.5226
20230928,19.0152
20230928,18.0152
20230929,17.0152
20230929,16.0152
20230929,17.5152
20230929,16.5152
20230929,15.5152
20230929,17.7745
20230929,16.7745
20230929,15.7745
20230929,14.7745
20230929,13.7745
20230929,12.7745
20231002,11.7745
20231002,10.7745
20231002,9.7745
20231002,8.7745
20231002,7.7745
20231002,11.4215
20231002,10.4215
20231002,9.4215
20231002,8.4215
20231002,7.4215
20231002,6.2602
20231003,5.2602
20231003,8.4376
20231003,7.4376
20231003,6.4376
20231003,7.8376
20231003,10.2922
20231003,9.2922
20231003,8.2922
20231003,7.2922
20231004,6.2922
20231004,5.2922
20231004,4.2922
20231004,3.2922
20231004,6.8024
20231004,5.8024
20231004,4.8024
20231004,3.8024
20231004,2.8024
20231004,1.8024
20231004,0.8024
