day,cum_net_r
20120110,-1.4672
20120112,-2.6688
20120113,-3.7882
20120118,-4.9694
20120119,-6.1087
20120120,-7.2148
20120202,-8.3018
20120203,-6.3437
20120206,-7.409
20120209,-8.8858
20120210,-10.0171
20120213,-11.097
20120213,-12.2288
20120222,-13.4349
20120227,-11.4853
20120229,-9.6132
20120302,-10.6964
20120305,-11.7674
20120306,-13.0314
20120309,-14.5076
20120315,-12.7689
20120319,-10.7912
20120322,-8.8985
20120323,-10.0005
20120326,-11.8981
20120327,-13.1676
20120329,-11.2351
20120330,-12.4215
20120402,-13.4896
20120409,-14.62
20120410,-12.6728
20120411,-13.7862
20120416,-11.8538
20120417,-13.3289
20120418,-14.4116
20120419,-15.4666
20120419,-13.5448
20120420,-14.6626
20120423,-15.7646
20120503,-16.8254
20120504,-14.8675
20120510,-16.0976
20120511,-17.2273
20120515,-18.5999
20120516,-19.7574
20120517,-20.8387
20120518,-21.9663
20120521,-23.0114
20120522,-24.0687
20120524,-25.126
20120529,-26.2157
20120531,-27.3147
20120601,-28.477
20120604,-26.5277
20120605,-27.5862
20120606,-25.6589
20120611,-23.701
20120615,-21.7542
20120618,-19.7903
20120619,-17.8498
20120620,-18.9401
20120625,-20.0393
20120626,-21.1039
20120702,-19.3067
20120703,-17.3993
20120705,-18.5219
20120709,-19.6887
20120710,-17.7772
20120716,-15.9497
20120718,-17.2604
20120725,-18.488
20120727,-16.5268
20120731,-17.7094
20120801,-19.0825
20120806,-19.995
20120807,-21.1253
20120808,-22.2657
20120809,-23.4703
20120813,-21.5184
20120814,-22.6401
20120815,-20.8484
20120816,-22.1134
20120817,-23.2549
20120821,-21.3018
20120822,-22.4241
20120823,-23.5154
20120824,-24.6065
20120828,-25.6634
20120829,-23.7913
20120831,-21.8637
20120904,-24.2459
20120906,-22.2832
20120907,-20.3677
20120910,-18.5388
20120914,-16.6231
20120918,-17.7271
20120919,-18.9155
20120925,-17.0864
20120926,-15.1643
20120927,-16.2879
20120928,-17.3684
20121002,-18.4905
20121003,-19.6682
20121008,-21.1469
20121009,-22.5255
20121010,-23.6925
20121011,-25.0715
20121012,-26.1552
20121015,-27.2703
20121016,-28.6931
20121017,-26.7562
20121022,-28.2321
20121023,-29.3397
20121024,-30.5246
20121026,-31.6321
20121031,-32.7854
20121101,-34.7853
20121112,-32.8989
20121114,-30.9838
20121115,-29.0687
20121116,-30.197
20121119,-31.8382
20121120,-32.9388
20121121,-34.091
20121123,-32.1757
20121204,-30.3124
20121205,-28.3497
20121206,-29.4518
20121210,-30.6585
20121211,-30.2058
20121212,-31.4113
