day,cum_net_r
20120110,-1.1165
20120112,-2.5583
20120113,-3.6892
20120118,-4.8822
20120119,-6.0925
20120120,-7.2792
20120125,-8.4378
20120126,-9.5762
20120127,-10.7431
20120201,-11.9545
20120202,-13.2524
20120203,-11.4035
20120206,-12.6479
20120207,-12.8199
20120208,-14.0648
20120209,-15.6844
20120210,-16.8727
20120213,-15.0677
20120213,-16.7119
20120214,-18.0014
20120215,-19.2155
20120216,-17.2631
20120222,-18.4525
20120227,-16.5465
20120228,-17.7103
20120229,-19.0305
20120302,-21.0305
20120305,-22.9572
20120306,-24.723
20120307,-25.8527
20120314,-25.6481
20120315,-26.7118
20120319,-27.9291
20120320,-29.179
20120321,-27.4512
20120322,-28.565
20120323,-29.6651
20120329,-30.739
20120330,-30.5507
20120402,-28.5896
20120403,-29.8493
20120410,-31.2072
20120411,-32.3135
20120412,-34.3134
20120416,-35.7664
20120419,-36.8399
20120420,-38.0637
20120423,-39.1762
20120424,-37.2919
20120425,-36.7774
20120426,-34.8711
20120427,-36.2289
20120501,-36.8732
20120503,-40.374
20120504,-38.4379
20120508,-36.5086
20120509,-37.5795
20120515,-38.9328
20120522,-36.9896
20120523,-38.0681
20120529,-36.184
20120531,-37.2589
20120601,-38.3817
20120604,-39.995
20120605,-41.0814
20120606,-39.1853
20120608,-40.4302
20120613,-41.5831
20120619,-39.7552
20120625,-40.8743
20120626,-41.9776
20120627,-43.0755
20120705,-44.6009
20120709,-42.98
20120712,-44.3309
20120718,-42.5463
20120719,-43.7944
20120724,-44.9734
20120727,-43.0467
20120806,-44.2025
20120807,-42.2963
20120808,-43.4278
20120813,-44.7852
20120814,-46.0146
20120815,-47.3093
20120817,-45.984
20120820,-44.177
20120821,-45.3965
20120822,-46.5109
20120823,-47.9661
20120827,-49.7374
20120828,-50.9893
20120829,-49.1652
20120831,-51.1653
20120904,-52.5116
20120912,-54.5116
20120913,-53.1011
20120914,-51.2161
20120920,-52.375
20120921,-55.7958
20120926,-53.9718
20121002,-55.1658
20121003,-56.2437
20121004,-57.345
20121008,-58.4597
20121009,-56.6735
20121010,-54.777
20121011,-55.9949
20121012,-57.1874
20121015,-58.3439
20121016,-56.6157
20121017,-54.6945
20121018,-53.0688
20121019,-51.1626
20121022,-52.2935
20121024,-53.4357
20121025,-54.5778
20121026,-55.7329
20121106,-56.8217
20121107,-57.9056
20121108,-59.26
20121112,-57.3392
20121114,-58.5283
20121115,-59.6569
20121116,-60.7677
20121119,-58.8278
20121120,-60.1183
20121126,-58.2219
20121127,-59.3523
20121128,-57.3849
20121205,-58.7398
20121210,-59.04
20121211,-60.5417
20121214,-61.6256
20121224,-63.0776
20121226,-66.1455
20121227,-64.1866
20130103,-65.3311
20130111,-66.7864
20130115,-68.4112
20130116,-70.839
20130117,-72.057
20130118,-73.3074
20130123,-76.2202
20130124,-74.3139
20130124,-75.4498
20130128,-77.0756
20130131,-80.5699
20130201,-81.7343
20130204,-82.8912
20130206,-83.9916
20130207,-85.2622
20130212,-86.3765
20130212,-88.3766
20130213,-89.5595
20130213,-87.8313
20130228,-89.0244
20130304,-90.3822
20130307,-91.758
20130315,-93.758
20130319,-91.8261
20130321,-91.7709
20130327,-93.1302
20130328,-94.4322
20130403,-93.0247
20130404,-94.1257
20130408,-95.4845
20130410,-93.7556
20130411,-91.8376
20130412,-93.1356
20130415,-94.2177
20130416,-95.3327
20130417,-93.3811
20130418,-91.4542
20130422,-92.5552
20130423,-94.0138
20130424,-95.3827
20130425,-97.0122
20130426,-98.2326
20130430,-96.4451
20130502,-94.5385
20130503,-95.8682
20130506,-97.1693
20130510,-98.5065
20130513,-99.7372
20130514,-97.8665
20130515,-99.0909
20130517,-98.5558
20130520,-99.9232
20130521,-101.2267
20130522,-102.9204
20130531,-104.3983
20130603,-105.7006
20130604,-103.875
20130606,-105.0979
20130611,-106.2335
20130612,-104.3038
