day,cum_net_r
20120111,-1.2224
20120113,-2.635
20120118,-3.8606
20120119,-3.997
20120120,-5.1316
20120123,-3.2381
20120131,-4.372
20120201,-5.4487
20120202,-6.5577
20120206,-7.6854
20120209,-9.0289
20120213,-10.1727
20120213,-11.4244
20120214,-12.6757
20120215,-13.8664
20120216,-11.9058
20120221,-13.0487
20120222,-14.3008
20120227,-12.4077
20120228,-13.9504
20120229,-15.0744
20120301,-16.1197
20120305,-17.4643
20120306,-15.5452
20120309,-13.9658
20120314,-15.2903
20120315,-14.2994
20120316,-15.5089
20120320,-14.5933
20120321,-15.7871
20120322,-13.8848
20120323,-15.002
20120326,-17.7097
20120327,-18.9534
20120329,-20.3972
20120330,-18.4351
20120402,-16.6613
20120403,-17.7691
20120410,-15.8341
20120411,-17.0258
20120416,-18.1623
20120418,-19.2996
20120419,-20.8432
20120420,-21.9661
20120423,-23.0558
20120425,-24.2486
20120426,-22.2863
20120427,-23.4786
20120501,-23.3125
20120504,-25.1385
20120508,-23.2194
20120509,-24.3023
20120510,-25.3712
20120515,-26.4584
20120516,-27.5356
20120517,-25.5848
20120518,-26.6586
20120521,-27.7188
20120523,-28.7976
20120524,-26.9854
20120529,-28.4227
20120530,-29.5223
20120531,-30.6839
20120601,-31.8166
20120604,-29.8562
20120615,-30.9655
20120618,-28.9996
20120619,-27.0608
20120620,-28.1384
20120620,-29.26
20120621,-27.2811
20120622,-28.3854
20120627,-26.4207
20120628,-27.5723
20120703,-25.6918
20120705,-26.8834
20120709,-28.0905
20120710,-26.1333
20120711,-27.1722
20120712,-28.3241
20120716,-29.4043
20120718,-31.108
20120719,-32.2532
20120720,-33.343
20120720,-34.5089
20120723,-35.5655
20120724,-33.6124
20120725,-34.7246
20120726,-35.9526
20120727,-34.0017
20120730,-35.0789
20120731,-33.6247
20120801,-34.8872
20120802,-35.9522
20120806,-37.3272
20120807,-38.4833
20120808,-39.8584
20120815,-40.9793
20120820,-42.1912
20120821,-43.3129
20120823,-44.4928
20120827,-45.6495
20120828,-46.7158
20120829,-47.8342
20120904,-49.0281
20120906,-47.0556
20120910,-48.2138
20120912,-49.383
20120914,-50.4982
20120919,-52.2099
20120921,-53.3804
20120925,-51.4411
20120926,-52.5677
20120927,-53.8566
20121001,-55.1855
20121004,-56.8965
20121005,-58.0561
20121009,-59.3458
20121010,-57.415
20121011,-58.6737
20121012,-59.7487
20121015,-60.8882
20121015,-59.0721
20121016,-57.1291
20121017,-55.1864
20121018,-56.3127
20121019,-58.0224
20121022,-59.4005
20121023,-57.4452
20121024,-58.6569
20121025,-59.8688
20121026,-60.9566
20121031,-62.0556
20121101,-60.1205
20121107,-58.1763
20121108,-59.2572
20121112,-60.4112
20121116,-58.4604
20121119,-59.4715
20121120,-60.562
20121121,-61.7407
20121123,-59.8284
20121126,-61.0394
20121127,-62.1342
20121130,-63.2912
20121203,-61.3717
20121210,-62.4669
20121211,-60.5159
20121213,-61.7493
20121214,-62.9817
20121218,-64.0904
