day,equity,daily_return,exposure_ratio
20160104,99039.95,-0.009601,4.0000
20160105,97400.51,-0.016553,4.0000
20160106,96611.89,-0.008097,4.0000
20160107,95004.71,-0.016635,4.0000
20160108,96945.44,0.020428,4.0000
20160111,97653.21,0.007301,4.0000
20160112,96562.10,-0.011173,4.0000
20160113,97974.95,0.014632,4.0000
20160114,97286.40,-0.007028,4.0000
20160115,98673.27,0.014256,4.0000
20160119,100082.84,0.014285,4.0000
20160120,100337.51,0.002545,4.0000
20160121,98619.05,-0.017127,4.0000
20160122,96149.07,-0.025046,4.0000
20160125,96007.99,-0.001467,4.0000
20160126,93286.18,-0.028350,4.0000
20160127,90845.89,-0.026159,4.0000
20160128,88979.85,-0.020541,4.0000
20160129,87884.45,-0.012311,4.0000
20160201,88982.88,0.012499,4.0000
20160202,90654.56,0.018787,4.0000
20160203,88619.90,-0.022444,4.0000
20160204,86413.38,-0.024899,4.0000
20160205,87590.10,0.013617,4.0000
20160208,86984.66,-0.006912,4.0000
20160209,89623.91,0.030341,4.0000
20160210,87676.72,-0.021726,4.0000
20160211,85491.62,-0.024922,4.0000
20160212,84591.23,-0.010532,4.0000
20160216,83155.27,-0.016975,4.0000
20160217,82687.20,-0.005629,4.0000
20160218,80676.16,-0.024321,4.0000
20160219,78835.68,-0.022813,4.0000
20160222,78430.50,-0.005140,4.0000
20160223,78928.60,0.006351,4.0000
20160224,77820.26,-0.014042,4.0000
20160225,75696.89,-0.027286,4.0000
20160226,73978.12,-0.022706,4.0000
20160229,71480.37,-0.033763,4.0000
20160301,71685.58,0.002871,4.0000
20160302,71015.29,-0.009350,4.0000
20160303,69832.33,-0.016658,4.0000
20160304,67901.58,-0.027648,4.0000
20160307,67149.73,-0.011073,4.0000
20160308,67758.00,0.009059,4.0000
20160309,67509.51,-0.003667,4.0000
20160310,66266.77,-0.018408,4.0000
20160311,65626.92,-0.009656,4.0000
20160314,65094.16,-0.008118,4.0000
20160315,66288.23,0.018344,4.0000
20160316,65208.93,-0.016282,4.0000
20160317,64030.26,-0.018075,4.0000
20160318,64644.42,0.009592,4.0000
20160321,63844.44,-0.012375,4.0000
20160322,63314.99,-0.008293,4.0000
20160323,62760.27,-0.008761,4.0000
20160324,61487.11,-0.020286,4.0000
20160328,60895.54,-0.009621,4.0000
20160329,59953.58,-0.015468,4.0000
20160330,59162.28,-0.013199,4.0000
20160331,58888.48,-0.004628,4.0000
20160401,57839.30,-0.017816,4.0000
20160404,57247.34,-0.010235,4.0000
20160405,57111.47,-0.002373,4.0000
20160406,58693.13,0.027694,4.0000
20160407,57658.19,-0.017633,4.0000
20160408,57349.74,-0.005350,4.0000
20160411,57892.70,0.009468,4.0000
20160412,56976.72,-0.015822,4.0000
20160413,56778.55,-0.003478,4.0000
20160414,55952.99,-0.014540,4.0000
20160415,55613.34,-0.006070,4.0000
20160418,55708.90,0.001718,4.0000
20160419,55334.79,-0.006715,4.0000
20160420,54911.36,-0.007652,4.0000
20160421,54724.44,-0.003404,4.0000
20160422,54640.13,-0.001541,4.0000
20160425,54992.13,0.006442,4.0000
20160426,54505.15,-0.008855,4.0000
20160427,53351.86,-0.021159,4.0000
20160428,52458.70,-0.016741,4.0000
20160429,51833.29,-0.011922,4.0000
20160502,52352.97,0.010026,4.0000
20160503,51396.85,-0.018263,4.0000
20160504,50289.27,-0.021549,4.0000
20160505,49359.08,-0.018497,4.0000
20160506,48506.89,-0.017265,4.0000
20160509,48041.69,-0.009590,4.0000
20160510,47376.10,-0.013854,4.0000
20160511,46592.02,-0.016550,4.0000
20160512,46243.25,-0.007486,4.0000
20160513,45390.69,-0.018436,4.0000
20160516,45030.75,-0.007930,4.0000
20160517,44652.48,-0.008400,4.0000
20160518,43952.43,-0.015678,4.0000
20160519,43171.37,-0.017771,4.0000
20160520,43020.28,-0.003500,4.0000
20160523,42391.01,-0.014627,4.0000
20160524,41950.67,-0.010388,4.0000
20160525,41936.52,-0.000337,4.0000
20160526,42332.39,0.009440,4.0000
20160527,41427.16,-0.021384,4.0000
20160531,41068.34,-0.008662,4.0000
20160601,41105.47,0.000904,4.0000
20160602,40618.99,-0.011835,4.0000
20160603,40665.06,0.001134,4.0000
20160606,40289.00,-0.009248,4.0000
20160607,39735.54,-0.013737,4.0000
20160608,40112.86,0.009496,4.0000
20160609,39698.76,-0.010323,4.0000
20160610,39230.31,-0.011800,4.0000
20160613,38959.34,-0.006907,4.0000
20160614,38732.77,-0.005816,4.0000
20160615,38677.10,-0.001437,4.0000
20160616,38468.17,-0.005402,4.0000
20160617,38228.53,-0.006230,4.0000
20160620,38078.06,-0.003936,4.0000
20160621,38437.30,0.009434,4.0000
20160622,38138.38,-0.007777,4.0000
20160623,38028.42,-0.002883,4.0000
20160624,37775.68,-0.006646,4.0000
20160627,39289.73,0.040080,4.0000
20160628,38925.84,-0.009262,4.0000
20160629,38466.81,-0.011793,4.0000
20160630,37902.65,-0.014666,4.0000
20160701,37859.90,-0.001128,4.0000
20160705,37187.63,-0.017757,4.0000
20160706,36840.68,-0.009330,4.0000
20160707,37000.36,0.004334,4.0000
20160708,36447.47,-0.014943,4.0000
20160711,35923.87,-0.014366,4.0000
20160712,35679.82,-0.006793,4.0000
20160713,35284.64,-0.011076,4.0000
20160714,35111.60,-0.004904,4.0000
20160715,34912.58,-0.005668,4.0000
20160718,34779.47,-0.003813,4.0000
20160719,34735.18,-0.001273,4.0000
20160720,35008.98,0.007883,4.0000
