day,equity,daily_return,exposure_ratio
20210830,103849.93,0.038499,4.0000
20210831,104303.84,0.004371,4.0000
20210901,103468.48,-0.008009,4.0000
20210902,103990.96,0.005050,4.0000
20210903,102961.08,-0.009904,4.0000
20210907,100232.35,-0.026503,4.0000
20210908,105461.90,0.052174,4.0000
20210909,102641.77,-0.026741,4.0000
20210910,102310.90,-0.003224,4.0000
20210913,102665.81,0.003469,4.0000
20210914,105987.42,0.032354,4.0000
20210915,107795.20,0.017057,4.0000
20210916,108020.25,0.002088,4.0000
20210917,105394.21,-0.024311,4.0000
20210920,104664.69,-0.006922,4.0000
20210921,103535.42,-0.010789,4.0000
20210922,103779.34,0.002356,4.0000
20210923,104567.90,0.007598,4.0000
20210924,110406.88,0.055839,4.0000
20210927,109051.00,-0.012281,4.0000
20210928,110508.67,0.013367,4.0000
20210929,111990.99,0.013414,4.0000
20210930,109146.27,-0.025401,4.0000
20211001,107995.63,-0.010542,4.0000
20211004,107816.45,-0.001659,4.0000
20211005,108356.24,0.005007,4.0000
20211006,104456.35,-0.035991,4.0000
20211007,104332.23,-0.001188,4.0000
20211008,104601.67,0.002583,4.0000
20211011,104707.43,0.001011,4.0000
20211012,106292.77,0.015141,4.0000
20211013,106747.06,0.004274,4.0000
20211014,108034.03,0.012056,4.0000
20211015,110319.64,0.021156,4.0000
20211018,112154.98,0.016637,4.0000
20211019,109775.76,-0.021214,4.0000
20211020,111309.47,0.013971,4.0000
20211021,115419.67,0.036926,4.0000
20211022,119946.58,0.039221,4.0000
20211025,120262.28,0.002632,4.0000
20211026,119561.22,-0.005829,4.0000
20211027,119344.59,-0.001812,4.0000
20211028,121108.30,0.014778,4.0000
20211029,121283.51,0.001447,4.0000
20211101,118452.80,-0.023340,4.0000
20211102,120718.68,0.019129,4.0000
20211103,127426.71,0.055567,4.0000
20211104,120762.15,-0.052301,4.0000
20211105,116600.36,-0.034463,4.0000
20211108,117105.99,0.004336,4.0000
20211109,119836.24,0.023314,4.0000
20211110,118101.74,-0.014474,4.0000
20211111,121545.28,0.029157,4.0000
20211112,120617.06,-0.007637,4.0000
20211115,124283.10,0.030394,4.0000
20211116,125882.96,0.012873,4.0000
20211117,127587.95,0.013544,4.0000
20211118,125383.60,-0.017277,4.0000
20211119,123406.94,-0.015765,4.0000
20211122,127058.83,0.029592,4.0000
20211123,126721.09,-0.002658,4.0000
20211124,131081.20,0.034407,4.0000
20211126,126599.74,-0.034188,4.0000
20211129,127021.71,0.003333,4.0000
20211130,121905.70,-0.040277,4.0000
20211201,124285.82,0.019524,4.0000
20211202,127943.70,0.029431,4.0000
20211203,131672.59,0.029145,4.0000
20211206,127485.66,-0.031798,4.0000
20211207,131520.48,0.031649,4.0000
20211208,128142.77,-0.025682,4.0000
20211209,129630.63,0.011611,4.0000
20211210,129530.70,-0.000771,4.0000
20211213,131522.16,0.015374,4.0000
20211214,131872.44,0.002663,4.0000
20211215,128738.56,-0.023764,4.0000
20211216,128586.50,-0.001181,4.0000
20211217,130006.05,0.011040,4.0000
20211220,128785.36,-0.009389,4.0000
20211221,127472.33,-0.010195,4.0000
20211222,126532.18,-0.007375,4.0000
20211223,124207.02,-0.018376,4.0000
20211227,126356.31,0.017304,4.0000
20211228,125160.78,-0.009462,4.0000
20211229,126706.12,0.012347,4.0000
20211230,131473.68,0.037627,4.0000
20211231,128856.57,-0.019906,4.0000
20220103,127373.18,-0.011512,4.0000
20220104,129762.79,0.018761,4.0000
20220105,130651.78,0.006851,4.0000
20220106,123287.67,-0.056364,4.0000
20220107,125313.48,0.016432,4.0000
20220110,124991.41,-0.002570,4.0000
20220111,125099.29,0.000863,4.0000
20220112,120518.43,-0.036618,4.0000
20220113,120144.59,-0.003102,4.0000
20220114,117936.92,-0.018375,4.0000
20220118,119429.97,0.012660,4.0000
20220119,117589.19,-0.015413,4.0000
20220120,116572.25,-0.008648,4.0000
20220121,113662.63,-0.024960,4.0000
20220124,114260.66,0.005261,4.0000
20220125,112892.91,-0.011970,4.0000
20220126,111128.54,-0.015629,4.0000
20220127,108590.78,-0.022836,4.0000
20220128,104816.80,-0.034754,4.0000
20220131,114398.07,0.091410,4.0000
20220201,114763.29,0.003193,4.0000
20220202,113177.36,-0.013819,4.0000
20220203,108891.10,-0.037872,4.0000
20220204,109814.00,0.008475,4.0000
20220207,106662.53,-0.028698,4.0000
20220208,112380.69,0.053610,4.0000
20220209,113828.07,0.012879,4.0000
20220210,113053.46,-0.006805,4.0000
20220211,117625.14,0.040438,4.0000
20220214,118373.60,0.006363,4.0000
20220215,121022.55,0.022378,4.0000
20220216,120103.99,-0.007590,4.0000
20220217,118156.37,-0.016216,4.0000
20220218,113059.68,-0.043135,4.0000
20220222,111880.74,-0.010428,4.0000
20220223,112403.18,0.004670,4.0000
20220224,121446.70,0.080456,4.0000
20220225,117584.33,-0.031803,4.0000
20220228,118467.46,0.007511,4.0000
20220301,123342.26,0.041149,4.0000
20220302,128801.10,0.044258,4.0000
20220303,131619.09,0.021879,4.0000
20220304,140460.88,0.067177,4.0000
20220307,139545.16,-0.006519,4.0000
20220308,136922.22,-0.018796,4.0000
20220309,138811.83,0.013801,4.0000
20220310,137580.05,-0.008874,4.0000
20220311,140492.25,0.021167,4.0000
20220314,144340.67,0.027392,4.0000
20220315,144877.37,0.003718,4.0000
20220316,148419.61,0.024450,4.0000
20220317,151517.54,0.020873,4.0000
20220318,151736.53,0.001445,4.0000
20220321,148493.02,-0.021376,4.0000
20220322,153767.76,0.035522,4.0000
20220323,154108.59,0.002217,4.0000
20220324,151709.34,-0.015569,4.0000
