day,equity,daily_return,exposure_ratio
20210830,100875.20,0.008752,4.0000
20210831,100177.35,-0.006918,4.0000
20210901,98874.68,-0.013004,4.0000
20210902,98431.20,-0.004485,4.0000
20210903,97915.45,-0.005240,4.0000
20210907,97250.96,-0.006786,4.0000
20210908,96692.07,-0.005747,4.0000
20210909,96275.95,-0.004304,4.0000
20210910,95347.66,-0.009642,4.0000
20210913,95119.90,-0.002389,4.0000
20210914,94836.13,-0.002983,4.0000
20210915,94896.20,0.000633,4.0000
20210916,94514.57,-0.004022,4.0000
20210917,93220.85,-0.013688,4.0000
20210920,92067.80,-0.012369,4.0000
20210921,91439.25,-0.006827,4.0000
20210922,90616.36,-0.008999,4.0000
20210923,88258.49,-0.026020,4.0000
20210924,88728.24,0.005322,4.0000
20210927,87974.96,-0.008490,4.0000
20210928,87495.87,-0.005446,4.0000
20210929,86884.27,-0.006990,4.0000
20210930,85159.79,-0.019848,4.0000
20211001,84076.14,-0.012725,4.0000
20211004,82469.92,-0.019104,4.0000
20211005,81626.68,-0.010225,4.0000
20211006,80830.56,-0.009753,4.0000
20211007,80272.41,-0.006905,4.0000
20211008,80479.25,0.002577,4.0000
20211011,80203.40,-0.003428,4.0000
20211012,79946.65,-0.003201,4.0000
20211013,79273.15,-0.008424,4.0000
20211014,77880.05,-0.017573,4.0000
20211015,77499.33,-0.004888,4.0000
20211018,77299.36,-0.002580,4.0000
20211019,76373.43,-0.011979,4.0000
20211020,76849.56,0.006234,4.0000
20211021,76652.32,-0.002567,4.0000
20211022,77088.10,0.005685,4.0000
20211025,76122.37,-0.012528,4.0000
20211026,75465.85,-0.008625,4.0000
20211027,74852.36,-0.008129,4.0000
20211028,73846.89,-0.013433,4.0000
20211029,72648.64,-0.016226,4.0000
20211101,72081.39,-0.007808,4.0000
20211102,70504.53,-0.021876,4.0000
20211103,72447.93,0.027564,4.0000
20211104,70019.53,-0.033519,4.0000
20211105,68785.94,-0.017618,4.0000
20211108,67898.39,-0.012903,4.0000
20211109,67539.01,-0.005293,4.0000
20211110,66761.78,-0.011508,4.0000
20211111,66450.68,-0.004660,4.0000
20211112,66122.00,-0.004946,4.0000
20211115,66395.27,0.004133,4.0000
20211116,66303.47,-0.001383,4.0000
20211117,65541.15,-0.011497,4.0000
20211118,65299.10,-0.003693,4.0000
20211119,64925.78,-0.005717,4.0000
20211122,64695.34,-0.003549,4.0000
20211123,64424.36,-0.004188,4.0000
20211124,65936.22,0.023467,4.0000
20211126,64290.97,-0.024952,4.0000
20211129,63834.75,-0.007096,4.0000
20211130,62559.76,-0.019973,4.0000
20211201,62390.19,-0.002711,4.0000
20211202,62954.25,0.009041,4.0000
20211203,62504.46,-0.007145,4.0000
20211206,62016.00,-0.007815,4.0000
20211207,61551.86,-0.007484,4.0000
20211208,60772.51,-0.012662,4.0000
20211209,60537.34,-0.003870,4.0000
20211210,60246.23,-0.004809,4.0000
20211213,60505.08,0.004297,4.0000
20211214,60000.35,-0.008342,4.0000
20211215,58936.00,-0.017739,4.0000
20211216,57945.13,-0.016813,4.0000
20211217,57711.98,-0.004024,4.0000
20211220,57196.83,-0.008926,4.0000
20211221,56878.53,-0.005565,4.0000
20211222,56506.15,-0.006547,4.0000
20211223,55486.27,-0.018049,4.0000
20211227,55304.17,-0.003282,4.0000
20211228,54524.15,-0.014104,4.0000
20211229,54204.86,-0.005856,4.0000
20211230,54003.46,-0.003716,4.0000
20211231,53486.24,-0.009578,4.0000
20220103,52598.31,-0.016601,4.0000
20220104,52012.34,-0.011140,4.0000
20220105,51740.83,-0.005220,4.0000
20220106,50955.58,-0.015177,4.0000
20220107,50947.02,-0.000168,4.0000
20220110,50475.83,-0.009249,4.0000
20220111,50005.22,-0.009323,4.0000
20220112,48928.96,-0.021523,4.0000
20220113,48219.01,-0.014510,4.0000
20220114,47717.81,-0.010394,4.0000
20220118,47233.59,-0.010147,4.0000
20220119,46989.33,-0.005171,4.0000
20220120,46727.19,-0.005579,4.0000
20220121,46112.02,-0.013165,4.0000
20220124,45894.20,-0.004724,4.0000
20220125,45051.08,-0.018371,4.0000
20220126,44145.93,-0.020092,4.0000
20220127,43437.08,-0.016057,4.0000
20220128,42716.72,-0.016584,4.0000
20220131,42433.90,-0.006621,4.0000
20220201,41750.05,-0.016116,4.0000
20220202,40996.29,-0.018054,4.0000
20220203,40275.43,-0.017584,4.0000
20220204,40932.93,0.016325,4.0000
20220207,41465.01,0.012999,4.0000
20220208,40936.93,-0.012735,4.0000
20220209,41443.57,0.012376,4.0000
20220210,40575.91,-0.020936,4.0000
20220211,40368.77,-0.005105,4.0000
20220214,40168.16,-0.004969,4.0000
20220215,40307.03,0.003457,4.0000
20220216,39908.84,-0.009879,4.0000
20220217,39707.60,-0.005043,4.0000
20220218,39246.78,-0.011605,4.0000
20220222,38644.79,-0.015339,4.0000
20220223,38477.22,-0.004336,4.0000
20220224,38728.58,0.006533,4.0000
20220225,37883.31,-0.021825,4.0000
20220228,37701.08,-0.004810,4.0000
20220301,38055.37,0.009397,4.0000
20220302,37693.04,-0.009521,4.0000
20220303,37342.53,-0.009299,4.0000
20220304,37382.54,0.001071,4.0000
20220307,36866.89,-0.013794,4.0000
20220308,36336.49,-0.014387,4.0000
20220309,36275.12,-0.001689,4.0000
20220310,35942.79,-0.009161,4.0000
20220311,35802.33,-0.003908,4.0000
20220314,35464.53,-0.009435,4.0000
20220315,35382.21,-0.002321,4.0000
20220316,35193.66,-0.005329,4.0000
20220317,34748.71,-0.012643,4.0000
20220318,34498.08,-0.007213,4.0000
20220321,34295.89,-0.005861,4.0000
20220322,34093.08,-0.005914,4.0000
20220323,34053.78,-0.001153,4.0000
20220324,33751.70,-0.008871,4.0000
20220325,33449.21,-0.008962,4.0000
20220328,33279.20,-0.005083,4.0000
20220329,32727.86,-0.016567,4.0000
20220330,32598.13,-0.003964,4.0000
20220331,32524.21,-0.002268,4.0000
20220401,32486.08,-0.001172,4.0000
20220404,32446.51,-0.001218,4.0000
20220405,32313.99,-0.004084,4.0000
20220406,32112.78,-0.006227,4.0000
20220407,31847.49,-0.008261,4.0000
20220408,31700.83,-0.004605,4.0000
20220411,31510.93,-0.005990,4.0000
20220412,31106.88,-0.012823,4.0000
20220413,30779.16,-0.010535,4.0000
20220414,30683.27,-0.003115,4.0000
20220418,30566.08,-0.003819,4.0000
20220419,30496.11,-0.002289,4.0000
20220420,30262.38,-0.007664,4.0000
20220421,30120.77,-0.004679,4.0000
20220422,29274.01,-0.028112,4.0000
20220425,28728.92,-0.018620,4.0000
20220426,28578.89,-0.005222,4.0000
20220427,27900.32,-0.023743,4.0000
20220428,27817.22,-0.002979,4.0000
20220429,27512.65,-0.010949,4.0000
20220502,27011.60,-0.018212,4.0000
20220503,26927.38,-0.003118,4.0000
20220504,26466.52,-0.017115,4.0000
20220505,26410.95,-0.002100,4.0000
20220506,26290.91,-0.004545,4.0000
20220509,26236.95,-0.002052,4.0000
20220510,25550.55,-0.026162,4.0000
20220511,24628.98,-0.036068,4.0000
20220512,24481.50,-0.005988,4.0000
