day,equity,daily_return,exposure_ratio
20120103,98922.82,-0.010772,3.3340
20120104,97940.46,-0.009931,4.0000
20120105,100786.17,0.029056,2.5791
20120106,99740.56,-0.010374,1.5957
20120109,98669.59,-0.010738,3.1551
20120110,97969.49,-0.007095,4.0000
20120111,97969.49,0.000000,0.0000
20120112,97226.51,-0.007584,4.0000
20120113,96175.52,-0.010810,3.4923
20120117,95131.82,-0.010852,3.7160
20120118,95131.82,0.000000,0.0000
20120119,94121.61,-0.010619,2.7052
20120120,93273.48,-0.009011,4.0000
20120123,92256.75,-0.010901,3.9603
20120124,91262.19,-0.010780,3.4034
20120125,90288.70,-0.010667,2.9254
20120126,89320.33,-0.010725,3.2107
20120127,91045.77,0.019318,2.4878
20120130,90096.10,-0.010431,4.0000
20120131,89138.98,-0.010623,2.7703
20120201,88441.30,-0.007827,4.0000
20120202,87539.33,-0.010199,4.0000
20120203,86593.93,-0.010800,3.6052
20120206,85812.09,-0.009029,4.0000
20120207,84890.83,-0.010736,3.3202
20120208,84290.41,-0.007073,4.0000
20120209,85626.28,0.015848,3.3342
20120210,84701.89,-0.010796,3.5634
20120213,84408.21,-0.003467,2.9611
20120214,84408.21,0.000000,0.0000
20120215,88711.76,0.050985,4.0000
20120216,87750.92,-0.010831,3.7363
20120217,89010.71,0.014356,3.8061
20120221,88079.21,-0.010465,4.0000
20120222,87133.85,-0.010733,3.3119
20120223,86198.67,-0.010733,3.2871
20120224,85264.44,-0.010838,3.7903
20120227,84363.04,-0.010572,2.5645
20120228,83517.57,-0.010022,4.0000
20120229,82844.80,-0.008055,4.0000
20120301,81962.34,-0.010652,2.9349
20120302,81172.92,-0.009631,4.0000
20120305,80294.36,-0.010823,4.0000
20120306,80294.36,0.000000,0.0000
20120307,79537.79,-0.009422,4.0000
20120308,78673.60,-0.010865,3.8544
20120309,82355.81,0.046804,4.0000
20120312,82482.30,0.001536,2.2756
20120313,81588.63,-0.010835,3.7528
20120314,80973.40,-0.007541,4.0000
20120315,80101.65,-0.010766,3.4511
20120316,80615.68,0.006417,4.0000
20120319,80005.72,-0.007566,4.0000
20120320,79208.54,-0.009964,4.0000
20120321,78349.97,-0.010839,3.8030
20120322,77497.92,-0.010875,3.9358
20120323,76666.09,-0.010734,3.2961
20120326,77913.88,0.016276,3.2352
20120327,77077.91,-0.010729,4.0000
20120328,76318.35,-0.009854,4.0000
20120329,75594.43,-0.009485,4.0000
20120330,77406.49,0.023971,3.8189
20120402,76564.53,-0.010877,3.9598
20120403,75754.73,-0.010577,2.6360
20120404,75913.78,0.002100,2.0600
20120405,75182.26,-0.009636,4.0000
20120409,74373.58,-0.010756,3.3714
20120410,73571.11,-0.010790,3.5181
20120411,73064.81,-0.006882,4.0000
20120412,76657.95,0.049177,4.0000
20120413,78816.92,0.028164,3.6782
20120416,77971.58,-0.010725,3.2308
20120417,78300.80,0.004222,2.0785
20120418,77473.36,-0.010567,2.5201
20120419,76665.19,-0.010432,1.9132
20120420,75859.95,-0.010503,2.2510
20120423,75048.69,-0.010694,3.0531
20120424,74230.22,-0.010906,3.9959
20120425,73451.48,-0.010491,2.2020
20120426,75238.80,0.024333,3.2675
20120427,74433.38,-0.010705,3.1654
20120430,75968.13,0.020619,2.9504
20120501,75152.83,-0.010732,3.2809
20120502,74338.94,-0.010830,3.7025
20120503,76826.36,0.033461,3.1571
20120504,78495.06,0.021720,2.3617
20120507,77645.66,-0.010821,3.6097
20120508,76805.48,-0.010821,3.6075
20120509,75984.37,-0.010691,3.0394
20120510,75164.79,-0.010786,3.4837
20120511,75515.32,0.004663,2.7341
20120514,74730.15,-0.010397,1.7510
20120515,73931.33,-0.010689,3.0252
20120516,73125.52,-0.010899,3.9491
20120517,77116.40,0.054576,2.5882
20120518,76296.53,-0.010632,2.7237
20120521,75542.21,-0.009887,4.0000
20120522,74967.30,-0.007610,4.0000
