day,equity,daily_return,exposure_ratio
20120103,98923.75,-0.010763,2.7741
20120104,100583.43,0.016777,4.0000
20120105,99510.61,-0.010666,2.4273
20120106,98427.47,-0.010885,4.0000
20120109,99491.80,0.010813,3.7118
20120110,98702.23,-0.007936,4.0000
20120111,97705.29,-0.010100,4.0000
20120112,97225.27,-0.004913,4.0000
20120113,96147.55,-0.011085,3.9790
20120117,95546.20,-0.006254,4.0000
20120118,91041.63,-0.047146,4.0000
20120119,90297.44,-0.008174,4.0000
20120120,89378.22,-0.010180,4.0000
20120123,88589.93,-0.008820,4.0000
20120124,88994.69,0.004569,4.0000
20120125,88049.02,-0.010626,2.3454
20120126,87077.86,-0.011030,3.8790
20120127,87748.91,0.007706,3.6276
20120130,86791.68,-0.010909,3.3950
20120131,86208.20,-0.006723,4.0000
20120201,85517.02,-0.008018,4.0000
20120202,84834.30,-0.007983,4.0000
20120203,84834.30,0.000000,0.0000
20120206,84051.32,-0.009230,4.0000
20120207,83144.76,-0.010786,2.9976
20120208,82490.48,-0.007869,4.0000
20120209,81739.35,-0.009106,4.0000
20120210,80848.67,-0.010897,3.4378
20120213,80166.70,-0.008435,4.0000
20120214,80166.70,0.000000,0.0000
20120215,79500.76,-0.008307,4.0000
20120216,78930.36,-0.007175,4.0000
20120217,78075.27,-0.010833,3.2317
20120221,77546.20,-0.006776,4.0000
20120222,76703.24,-0.010870,4.0000
20120223,75962.95,-0.009651,4.0000
20120224,75474.00,-0.006437,4.0000
20120227,74795.44,-0.008991,4.0000
20120228,74795.44,0.000000,0.0000
20120229,74366.32,-0.005737,4.0000
20120301,73570.15,-0.010706,4.0000
20120302,73016.99,-0.007519,4.0000
20120305,72507.34,-0.006980,4.0000
20120306,72507.34,0.000000,0.0000
20120307,71994.72,-0.007070,4.0000
20120308,71994.72,0.000000,0.0000
20120309,71611.12,-0.005328,4.0000
20120312,71196.42,-0.005791,4.0000
20120313,70485.25,-0.009989,4.0000
20120314,69710.06,-0.010998,3.9879
20120315,68950.70,-0.010893,3.5645
20120316,68192.23,-0.011000,3.9906
20120319,68192.23,0.000000,0.0000
20120320,67442.11,-0.011000,3.9912
20120321,67026.93,-0.006156,4.0000
20120322,66291.58,-0.010971,3.8950
20120323,66278.15,-0.000203,4.0000
20120326,65910.61,-0.005545,4.0000
20120327,65587.30,-0.004905,4.0000
20120328,65112.70,-0.007236,4.0000
20120329,64637.33,-0.007301,4.0000
20120330,66032.01,0.021577,4.0000
20120402,65508.83,-0.007923,4.0000
20120403,64996.88,-0.007815,4.0000
20120404,65866.59,0.013381,3.8218
20120405,67458.03,0.024162,4.0000
20120409,66731.53,-0.010770,3.0921
20120410,66015.04,-0.010737,2.9698
20120411,65301.63,-0.010807,3.2196
20120412,65301.63,0.000000,0.0000
20120413,64586.89,-0.010945,3.7816
20120416,67829.47,0.050205,3.7581
20120417,67829.47,0.000000,0.0000
20120418,67829.47,0.000000,0.0000
20120419,67243.42,-0.008640,4.0000
20120420,66525.64,-0.010674,2.6777
20120423,65819.99,-0.010607,2.3842
20120424,65096.60,-0.010990,3.9089
20120425,66032.21,0.014373,3.4067
20120426,65309.70,-0.010942,3.7671
20120427,64809.46,-0.007659,4.0000
20120430,64255.62,-0.008546,4.0000
20120501,64505.99,0.003896,3.3957
20120502,63834.26,-0.010413,4.0000
20120503,66260.09,0.038002,4.0000
20120504,66260.09,0.000000,0.0000
20120507,66868.39,0.009180,2.7289
20120508,66140.76,-0.010881,3.4608
20120509,65423.57,-0.010844,3.2930
20120510,66290.77,0.013255,3.4564
20120511,66597.35,0.004625,4.0000
20120514,65875.91,-0.010833,3.2477
20120515,65202.19,-0.010227,4.0000
20120516,64492.74,-0.010881,4.0000
20120517,64492.74,0.000000,0.0000
20120518,63788.56,-0.010919,3.5014
20120521,63107.21,-0.010681,2.5889
20120522,62572.58,-0.008472,4.0000
20120523,61897.69,-0.010786,2.9971
20120524,62595.32,0.011271,2.5366
20120525,61904.41,-0.011038,3.9857
20120529,61246.07,-0.010635,2.4350
20120530,60591.52,-0.010687,2.6296
20120531,60154.22,-0.007217,4.0000
20120601,59529.41,-0.010387,1.4736
20120604,58906.51,-0.010464,1.7587
20120605,59741.09,0.014168,3.1021
20120606,62081.14,0.039170,2.9939
20120607,64947.49,0.046171,4.0000
20120608,64241.45,-0.010871,3.3294
20120611,66731.98,0.038768,2.0592
20120612,66006.59,-0.010870,3.3420
20120613,65282.04,-0.010977,3.7440
20120614,64580.25,-0.010750,2.8656
20120615,66636.07,0.031833,4.0000
20120618,66636.07,0.000000,0.0000
20120619,67540.46,0.013572,4.0000
20120620,66816.00,-0.010726,2.8364
20120621,66816.00,0.000000,0.0000
20120622,66082.42,-0.010979,3.7881
20120625,67313.84,0.018635,2.4426
20120626,66827.57,-0.007224,4.0000
20120627,66221.57,-0.009068,4.0000
20120628,65934.04,-0.004342,1.3300
20120629,65234.22,-0.010614,2.3747
20120702,64534.53,-0.010726,2.8295
20120703,64041.49,-0.007640,4.0000
20120705,63344.51,-0.010883,3.4789
20120706,65060.58,0.027091,4.0000
20120709,64362.85,-0.010724,2.8353
20120710,63664.90,-0.010844,3.3124
20120711,62965.74,-0.010982,3.7961
20120712,62350.54,-0.009770,4.0000
20120713,64248.26,0.030436,3.1974
20120716,63548.12,-0.010897,4.0000
20120717,63117.97,-0.006769,4.0000
20120718,65139.99,0.032036,2.6919
20120719,64436.61,-0.010798,3.1466
20120720,66393.47,0.030369,3.1427
20120723,65697.35,-0.010485,1.8641
20120724,67415.53,0.026153,3.4062
20120725,66704.41,-0.010548,2.1175
20120726,65993.11,-0.010663,2.5850
20120727,65277.25,-0.010848,4.0000
20120730,64585.53,-0.010597,2.3599
20120731,63888.13,-0.010798,3.1485
20120801,65799.28,0.029914,4.0000
20120802,65106.09,-0.010535,2.0957
20120803,64393.99,-0.010938,3.7009
20120806,64393.99,0.000000,0.0000
20120807,63916.24,-0.007419,4.0000
20120808,63518.55,-0.006222,4.0000
20120809,62896.90,-0.009787,4.0000
20120810,62506.27,-0.006211,4.0000
20120813,61969.30,-0.008591,4.0000
20120814,61292.25,-0.010926,4.0000
20120815,61312.69,0.000334,3.4154
20120816,60827.99,-0.007905,4.0000
20120817,60164.94,-0.010900,3.6409
20120820,60164.94,0.000000,0.0000
20120821,59505.94,-0.010953,3.8873
20120822,58860.06,-0.010854,3.4500
20120823,58258.88,-0.010214,4.0000
20120824,57781.72,-0.008190,4.0000
20120827,57195.13,-0.010152,4.0000
20120828,56679.99,-0.009007,4.0000
20120829,56187.68,-0.008686,4.0000
20120830,55575.21,-0.010901,3.6393
20120831,54969.37,-0.010901,3.6481
20120904,54409.21,-0.010191,4.0000
20120905,53982.31,-0.007846,4.0000
20120906,55312.52,0.024641,2.2396
20120907,54783.16,-0.009570,4.0000
20120910,54783.16,0.000000,0.0000
20120911,54260.56,-0.009539,4.0000
20120912,53901.56,-0.006616,4.0000
20120913,53544.27,-0.006629,4.0000
20120914,54359.32,0.015222,4.0000
20120917,53879.13,-0.008834,3.5554
20120918,54235.51,0.006614,4.0000
20120919,53640.97,-0.010962,3.9620
20120920,53205.61,-0.008116,4.0000
