day,equity,daily_return,exposure_ratio
20120103,99045.18,-0.009548,4.0000
20120104,98312.88,-0.007394,4.0000
20120105,101017.21,0.027507,4.0000
20120106,101028.34,0.000110,3.1734
20120109,100093.52,-0.009253,4.0000
20120110,100093.52,0.000000,0.0000
20120111,99297.06,-0.007957,4.0000
20120112,98727.64,-0.005735,4.0000
20120113,97676.38,-0.010648,3.6365
20120117,99522.38,0.018899,4.0000
20120118,99522.38,0.000000,0.0000
20120119,98774.23,-0.007517,4.0000
20120120,98152.88,-0.006291,4.0000
20120123,97478.08,-0.006875,4.0000
20120124,96923.68,-0.005687,4.0000
20120125,95928.23,-0.010270,4.0000
20120126,95100.87,-0.008625,4.0000
20120127,95416.20,0.003316,3.2631
20120130,94431.31,-0.010322,4.0000
20120131,93884.06,-0.005795,4.0000
20120201,93411.98,-0.005028,4.0000
20120202,92830.90,-0.006221,4.0000
20120203,92146.15,-0.007376,4.0000
20120206,91604.23,-0.005881,4.0000
20120207,91011.72,-0.006468,4.0000
20120208,90399.74,-0.006724,4.0000
20120209,89713.72,-0.007589,4.0000
20120210,89106.15,-0.006772,4.0000
20120213,88402.12,-0.007901,4.0000
20120214,87911.91,-0.005545,4.0000
20120215,87349.36,-0.006399,4.0000
20120216,86708.94,-0.007332,4.0000
20120217,86207.24,-0.005786,4.0000
20120221,85759.68,-0.005192,4.0000
20120222,85137.86,-0.007251,4.0000
20120223,84568.06,-0.006693,4.0000
20120224,84154.37,-0.004892,4.0000
20120227,83492.46,-0.007865,4.0000
20120228,83060.11,-0.005178,4.0000
20120229,82728.56,-0.003992,4.0000
20120301,81940.85,-0.009522,4.0000
20120302,81470.85,-0.005736,4.0000
20120305,81001.09,-0.005766,4.0000
20120306,81001.09,0.000000,0.0000
20120307,80576.27,-0.005245,4.0000
20120308,79899.14,-0.008404,4.0000
20120309,79322.71,-0.007214,4.0000
20120312,78774.18,-0.006915,4.0000
20120313,78140.83,-0.008040,4.0000
20120314,77654.97,-0.006218,4.0000
20120315,77215.59,-0.005658,4.0000
20120316,76845.96,-0.004787,4.0000
20120319,76845.96,0.000000,0.0000
20120320,76344.99,-0.006519,4.0000
20120321,75870.66,-0.006213,4.0000
20120322,75374.42,-0.006541,4.0000
20120323,74750.54,-0.008277,4.0000
20120326,76368.52,0.021645,4.0000
20120327,76005.89,-0.004748,4.0000
20120328,75622.19,-0.005048,4.0000
20120329,75301.97,-0.004234,4.0000
20120330,74770.86,-0.007053,4.0000
20120402,74136.01,-0.008491,4.0000
20120403,73678.71,-0.006168,4.0000
20120404,73135.49,-0.007373,4.0000
20120405,73592.62,0.006250,4.0000
20120409,73065.03,-0.007169,4.0000
20120410,72287.89,-0.010636,3.6971
20120411,71744.95,-0.007511,4.0000
20120412,75033.10,0.045831,4.0000
20120413,74451.94,-0.007745,4.0000
20120416,74451.94,0.000000,0.0000
20120417,73767.05,-0.009199,4.0000
20120418,73282.25,-0.006572,4.0000
20120419,72505.02,-0.010606,3.5103
20120420,71777.07,-0.010040,4.0000
20120423,71108.52,-0.009314,4.0000
20120424,70636.67,-0.006636,4.0000
20120425,70071.35,-0.008003,4.0000
20120426,72313.75,0.032002,4.0000
20120427,71988.16,-0.004502,4.0000
20120430,72403.53,0.005770,4.0000
20120501,71973.11,-0.005945,4.0000
20120502,71524.21,-0.006237,4.0000
20120503,71079.98,-0.006211,4.0000
20120504,67825.01,-0.045793,4.0000
20120507,68564.39,0.010901,4.0000
20120508,67986.12,-0.008434,4.0000
20120509,67308.73,-0.009964,4.0000
20120510,66841.70,-0.006939,4.0000
20120511,67163.42,0.004813,4.0000
20120514,66451.80,-0.010595,3.4215
20120515,65745.49,-0.010629,4.0000
20120516,65144.11,-0.009147,4.0000
20120517,68938.62,0.058248,4.0000
20120518,68378.97,-0.008118,4.0000
20120521,67673.97,-0.010310,4.0000
20120522,67292.12,-0.005643,4.0000
20120523,66583.01,-0.010538,4.0000
20120524,65885.71,-0.010473,4.0000
20120525,65356.07,-0.008039,4.0000
20120529,65356.07,0.000000,0.0000
20120530,64711.00,-0.009870,4.0000
20120531,64286.27,-0.006563,4.0000
20120601,63615.22,-0.010439,2.4831
20120604,62940.12,-0.010612,3.4509
20120605,64480.18,0.024469,3.6318
20120606,67913.32,0.053243,4.0000
20120607,70508.20,0.038209,4.0000
20120608,69756.18,-0.010666,3.7755
20120611,72472.14,0.038935,2.3730
20120612,71733.19,-0.010196,4.0000
20120613,71046.53,-0.009572,4.0000
20120614,70286.50,-0.010698,3.9655
20120615,69829.39,-0.006503,4.0000
20120618,69829.39,0.000000,0.0000
20120619,69319.25,-0.007306,4.0000
20120620,68629.58,-0.009949,4.0000
20120621,68629.58,0.000000,0.0000
20120622,68120.53,-0.007417,4.0000
20120625,68976.33,0.012563,3.7303
20120626,68564.55,-0.005970,4.0000
20120627,68034.16,-0.007736,4.0000
20120628,67309.06,-0.010658,3.7374
20120629,66616.80,-0.010285,4.0000
20120702,66231.25,-0.005787,4.0000
20120703,65945.21,-0.004319,4.0000
20120705,65334.29,-0.009264,4.0000
20120706,64819.91,-0.007873,4.0000
20120709,64819.91,0.000000,0.0000
20120710,64292.17,-0.008142,4.0000
20120711,63741.76,-0.008561,4.0000
20120712,63211.94,-0.008312,4.0000
20120713,65864.44,0.041962,3.7970
20120716,65481.38,-0.005816,4.0000
20120717,64890.68,-0.009021,4.0000
20120718,66914.70,0.031191,4.0000
20120719,66375.61,-0.008056,4.0000
20120720,65857.76,-0.007802,4.0000
20120723,65216.11,-0.009743,4.0000
20120724,67096.65,0.028836,4.0000
20120725,66563.66,-0.007944,4.0000
20120726,65856.00,-0.010631,3.6468
20120727,65398.83,-0.006942,4.0000
20120730,64708.04,-0.010563,3.2776
20120731,64115.05,-0.009164,4.0000
20120801,65767.04,0.025766,4.0000
20120802,65077.91,-0.010478,2.7691
20120803,64538.33,-0.008291,4.0000
20120806,64366.45,-0.002663,4.0000
20120807,63966.44,-0.006215,4.0000
20120808,64847.50,0.013774,4.0000
20120809,64518.53,-0.005073,4.0000
20120810,64005.68,-0.007949,4.0000
20120813,63516.95,-0.007636,4.0000
20120814,64006.55,0.007708,4.0000
20120815,64209.92,0.003177,4.0000
20120816,63739.72,-0.007323,4.0000
20120817,63293.75,-0.006997,4.0000
20120820,63029.34,-0.004177,4.0000
20120821,62484.43,-0.008645,4.0000
20120822,61850.40,-0.010147,4.0000
20120823,62781.89,0.015060,4.0000
20120824,62356.28,-0.006779,4.0000
20120827,61973.69,-0.006136,4.0000
20120828,61538.31,-0.007025,4.0000
20120829,61141.58,-0.006447,4.0000
20120830,61370.95,0.003751,4.0000
20120831,60888.17,-0.007867,4.0000
20120904,60477.23,-0.006749,4.0000
20120905,60477.23,0.000000,0.0000
20120906,61942.63,0.024231,2.4785
20120907,61942.63,0.000000,0.0000
20120910,61635.14,-0.004964,4.0000
20120911,61886.04,0.004071,4.0000
20120912,61579.58,-0.004952,4.0000
20120913,61274.09,-0.004961,4.0000
20120914,60758.63,-0.008412,4.0000
20120917,60511.67,-0.004065,4.0000
20120918,60082.77,-0.007088,4.0000
20120919,59657.51,-0.007078,4.0000
20120920,59217.90,-0.007369,4.0000
20120921,60189.21,0.016402,4.0000
20120924,60803.96,0.010214,4.0000
20120925,60505.16,-0.004914,4.0000
20120926,61516.03,0.016707,4.0000
20120927,61141.58,-0.006087,4.0000
20120928,60701.69,-0.007195,4.0000
20121001,60064.67,-0.010494,2.9308
20121002,60064.67,0.000000,0.0000
20121003,59785.87,-0.004642,4.0000
20121004,59425.78,-0.006023,4.0000
20121005,59071.07,-0.005969,4.0000
20121008,58601.12,-0.007956,4.0000
20121009,58215.46,-0.006581,4.0000
20121010,57765.45,-0.007730,4.0000
20121011,57446.72,-0.005518,4.0000
20121012,57080.57,-0.006374,4.0000
20121015,56605.10,-0.008330,4.0000
20121016,56231.06,-0.006608,4.0000
20121017,55814.91,-0.007401,4.0000
20121018,55571.34,-0.004364,4.0000
20121019,58347.68,0.049960,3.9832
20121022,57861.69,-0.008329,4.0000
20121023,57505.08,-0.006163,4.0000
20121024,57119.22,-0.006710,4.0000
20121025,57119.22,0.000000,0.0000
20121026,56733.70,-0.006749,4.0000
20121031,56287.76,-0.007860,4.0000
20121101,57456.47,0.020763,3.2694
20121102,59945.40,0.043319,3.5445
20121105,59456.64,-0.008153,4.0000
20121106,60394.81,0.015779,4.0000
20121107,61758.95,0.022587,2.3747
20121108,61233.04,-0.008515,4.0000
20121109,61674.70,0.007213,3.7910
20121112,61674.70,0.000000,0.0000
20121113,62019.71,0.005594,4.0000
20121114,62019.71,0.000000,0.0000
20121115,61369.01,-0.010492,4.0000
20121116,60723.40,-0.010520,2.9868
20121119,60235.08,-0.008042,4.0000
20121120,59604.41,-0.010470,4.0000
20121121,59026.76,-0.009692,4.0000
20121123,60780.24,0.029707,4.0000
20121126,60342.18,-0.007207,4.0000
20121127,59968.01,-0.006201,4.0000
20121128,59516.00,-0.007538,4.0000
20121129,58908.09,-0.010214,4.0000
20121130,58578.83,-0.005589,4.0000
20121203,58578.83,0.000000,0.0000
20121204,58134.60,-0.007584,4.0000
20121205,57775.97,-0.006169,4.0000
20121206,57305.07,-0.008150,4.0000
20121207,57305.07,0.000000,0.0000
20121210,57339.67,0.000604,4.0000
20121211,57646.10,0.005344,4.0000
20121212,57231.10,-0.007199,4.0000
20121213,56802.76,-0.007484,4.0000
20121214,56389.51,-0.007275,4.0000
20121217,58178.87,0.031732,4.0000
20121218,58178.87,0.000000,0.0000
20121219,59798.00,0.027830,4.0000
20121220,59418.61,-0.006344,4.0000
20121221,58796.19,-0.010475,2.7992
20121224,58393.86,-0.006843,4.0000
20121226,59593.30,0.020541,4.0000
20121227,59208.87,-0.006451,4.0000
20121228,58724.41,-0.008182,4.0000
20121231,63146.30,0.075299,4.0000
20130102,62748.14,-0.006305,4.0000
20130103,62232.82,-0.008213,4.0000
20130104,61773.01,-0.007388,4.0000
20130107,61316.38,-0.007392,4.0000
20130108,61435.76,0.001947,4.0000
20130109,61016.54,-0.006824,4.0000
20130110,60551.40,-0.007623,4.0000
20130111,60173.18,-0.006246,4.0000
20130114,59830.46,-0.005696,4.0000
20130115,60902.57,0.017919,4.0000
20130116,60604.76,-0.004890,4.0000
20130117,60359.40,-0.004048,4.0000
20130118,60718.67,0.005952,4.0000
20130122,60457.46,-0.004302,4.0000
20130123,60133.68,-0.005355,4.0000
20130124,59494.41,-0.010631,3.7857
20130125,59208.39,-0.004808,4.0000
20130128,59208.37,-0.000000,4.0000
20130129,58734.68,-0.008000,4.0000
20130130,58328.55,-0.006915,4.0000
20130131,57985.80,-0.005876,4.0000
20130201,57631.18,-0.006116,4.0000
20130204,57339.89,-0.005054,4.0000
20130205,58285.07,0.016484,4.0000
20130206,58285.07,0.000000,0.0000
20130207,58022.67,-0.004502,4.0000
20130208,58604.81,0.010033,4.0000
20130211,58248.56,-0.006079,4.0000
20130212,57956.25,-0.005018,4.0000
20130213,57590.61,-0.006309,4.0000
20130214,57590.61,0.000000,0.0000
20130215,57378.19,-0.003689,4.0000
20130219,57151.69,-0.003947,4.0000
20130220,56956.73,-0.003411,4.0000
20130221,56502.90,-0.007968,4.0000
20130222,56159.04,-0.006086,4.0000
20130225,55922.66,-0.004209,4.0000
20130226,55609.30,-0.005603,4.0000
20130227,58411.82,0.050397,4.0000
20130228,58611.49,0.003418,4.0000
20130301,57989.10,-0.010619,4.0000
20130304,57652.50,-0.005805,4.0000
20130305,58340.90,0.011941,4.0000
20130306,58052.85,-0.004937,4.0000
20130307,57601.73,-0.007771,4.0000
20130308,57601.73,0.000000,0.0000
20130311,57332.94,-0.004666,4.0000
20130312,57036.76,-0.005166,4.0000
20130313,56712.48,-0.005685,4.0000
