day,cum_net_r
20230911,-1.1285
20230911,-2.1535
20230911,0.3143
20230911,-0.8782
20230911,-1.9461
20230911,-2.9925
20230911,-1.9853
20230911,-2.5066
20230911,1.539
20230912,0.5135
20230912,-0.5314
20230912,0.3804
20230912,-0.6778
20230912,-1.9014
20230912,-2.936
20230912,-4.0043
20230912,-5.1583
20230912,-4.3489
20230912,-4.8498
20230912,-3.9038
20230912,-5.076
20230913,-6.1545
20230913,-7.2215
20230913,-3.034
20230913,-4.1033
20230913,-5.2269
20230913,-6.3592
20230913,-1.5098
20230913,18.5727
20230913,17.1556
20230913,17.3867
20230913,16.3317
20230914,17.9889
20230914,16.4302
20230914,15.3727
20230914,14.3447
20230914,13.3162
20230914,12.242
20230914,10.9097
20230914,9.793
20230914,8.7348
20230914,7.6837
20230914,6.0243
20230915,4.9824
20230915,3.9187
20230915,2.7857
20230915,1.6015
20230915,3.7575
20230915,4.6663
20230915,3.4704
20230918,2.28
20230918,1.2134
20230918,0.1046
20230918,0.6407
20230918,-0.4343
20230918,-1.732
20230918,-0.9267
20230918,-1.7996
20230919,-3.1294
20230919,-4.2876
20230919,-0.4256
20230919,-1.5934
20230919,-0.658
20230919,-1.8985
20230919,-0.5506
20230919,-1.6246
20230920,-2.9758
20230920,-4.0475
20230920,-5.2061
20230920,-6.3401
20230920,-7.8663
20230920,-8.9289
20230920,-10.2255
20230920,-11.534
20230921,-12.5817
20230921,-13.6037
20230921,-14.6687
20230921,-13.8588
20230921,-14.9792
20230921,-16.2948
20230921,-17.5268
20230922,-18.6488
20230922,-19.7257
20230922,-20.7847
20230922,-17.7485
20230922,-15.5643
20230922,-17.2262
20230922,-18.3224
20230922,-19.3817
20230922,-20.5609
20230925,-21.6418
20230925,-22.9553
20230925,-24.072
20230925,-16.4947
20230925,-17.7702
20230925,-18.8569
20230925,-18.9752
20230925,-19.3601
20230925,-20.4583
20230925,-21.8214
20230925,-22.9154
20230925,-24.208
20230925,-22.3875
20230925,-23.5806
20230925,-24.9345
20230925,-26.1056
20230925,-22.5018
20230925,-23.964
20230925,-25.558
20230926,-26.6245
20230926,-27.7634
20230926,-28.9383
20230926,-26.802
20230926,-21.2109
20230926,-19.4056
20230926,-20.7193
20230927,-22.0086
20230927,-23.0659
20230927,-24.1964
20230927,-25.225
20230927,-26.2568
20230927,-27.3349
20230927,-28.516
20230927,-23.6684
20230928,-24.7457
20230928,-26.3308
20230928,-27.6071
20230928,-28.6437
20230928,-29.8527
20230928,-30.9942
20230928,-32.0905
20230928,-31.5176
20230928,-31.4005
20230928,-32.687
20230928,-33.8862
20230928,-34.9312
