day,cum_net_r
20230911,-1.0
20230911,-2.0
20230911,0.5565
20230911,-0.4435
20230911,-1.4435
20230911,-2.4435
20230911,-1.3899
20230911,-1.7998
20230911,2.5038
20230912,1.5038
20230912,0.5038
20230912,1.4522
20230912,0.4522
20230912,-0.5478
20230912,-1.5478
20230912,-2.5478
20230912,-3.5478
20230912,-2.3478
20230912,-2.7847
20230912,-1.7645
20230912,-2.7645
20230913,-3.7645
20230913,-4.7645
20230913,-0.5145
20230913,-1.5145
20230913,-2.5145
20230913,-3.5145
20230913,1.378
20230913,22.078
20230913,20.9138
20230913,21.2281
20230913,20.2281
20230914,21.9424
20230914,20.9424
20230914,19.9424
20230914,18.9424
20230914,17.9424
20230914,16.9424
20230914,15.9424
20230914,14.9424
20230914,13.9424
20230914,12.9424
20230914,11.9424
20230915,10.9424
20230915,9.9183
20230915,8.9183
20230915,7.9183
20230915,10.111
20230915,11.082
20230915,10.082
20230918,9.082
20230918,8.082
20230918,7.082
20230918,7.6704
20230918,6.6704
20230918,5.6704
20230918,6.5815
20230918,5.7407
20230919,4.7407
20230919,3.7407
20230919,7.6142
20230919,6.6142
20230919,7.6359
20230919,6.6359
20230919,8.2675
20230919,7.2675
20230920,6.2675
20230920,5.2675
20230920,4.2675
20230920,3.2675
20230920,2.2675
20230920,1.2675
20230920,0.2675
20230920,-0.7325
20230921,-1.747
20230921,-2.747
20230921,-3.747
20230921,-2.9172
20230921,-3.9172
20230921,-4.9172
20230921,-5.9172
20230922,-6.9172
20230922,-7.9172
20230922,-8.9172
20230922,-5.869
20230922,-3.6716
20230922,-4.6716
20230922,-5.6716
20230922,-6.6716
20230922,-7.6716
20230925,-8.6716
20230925,-9.6716
20230925,-10.6716
20230925,-2.8881
20230925,-3.8881
20230925,-4.8881
20230925,-4.965
20230925,-5.3106
20230925,-6.3106
20230925,-7.3106
20230925,-8.3106
20230925,-9.3106
20230925,-7.4388
20230925,-8.4388
20230925,-9.4388
20230925,-10.4388
20230925,-6.7596
20230925,-7.7596
20230925,-8.7596
20230926,-9.7596
20230926,-10.8154
20230926,-11.8154
20230926,-9.6411
20230926,-3.8277
20230926,-1.8375
20230926,-2.8375
20230927,-3.8375
20230927,-4.8375
20230927,-5.8489
20230927,-6.8489
20230927,-7.8489
20230927,-8.8489
20230927,-9.8489
20230927,-4.971
20230928,-5.971
20230928,-6.971
20230928,-7.971
20230928,-8.971
20230928,-9.971
20230928,-10.971
20230928,-11.971
20230928,-11.3571
20230928,-11.1939
20230928,-12.1939
20230928,-13.1939
20230928,-14.1939
20230928,-15.1939
20230928,-16.1939
20230928,-17.1939
20230929,-14.0606
20230929,-15.0606
20230929,-16.0606
20230929,-12.8984
20230929,-10.2628
20230929,-11.2628
20230929,-12.2628
20230929,-9.7934
20230929,-10.9267
20230929,-11.9267
20230929,-12.9267
20230929,-13.1346
20230929,-13.2967
20230929,-12.9909
20231002,-13.9909
20231002,-14.9909
20231002,-12.821
20231002,-10.1727
20231002,-11.1727
20231002,-12.1727
20231002,-13.1727
20231002,-13.6241
20231003,-12.021
20231003,-13.021
20231003,-14.021
20231003,-15.021
20231003,-12.6764
20231003,-13.6764
20231004,-14.6764
20231004,-15.6764
20231004,-16.6764
20231004,-17.6764
20231004,-12.7462
20231004,-13.7462
20231004,-14.8399
20231004,-15.8399
20231004,-16.8399
20231004,-17.8399
20231005,-18.8399
20231005,-19.8399
20231005,-20.8399
20231005,-21.8399
20231005,-22.8399
20231005,-19.6581
20231005,-17.5922
20231005,-18.5922
20231005,-15.6614
20231005,-16.6614
20231005,-16.7257
20231005,-17.7257
20231005,-18.7257
20231005,-16.3532
20231006,-17.3532
20231006,-18.3532
20231006,-19.3532
20231006,-20.3532
20231006,-21.3532
20231006,-22.3532
20231009,-23.3532
20231009,-20.8747
20231009,-21.8747
20231009,-22.8747
20231009,-23.8747
20231009,-21.2419
20231009,-20.8164
20231009,-21.8164
20231009,-22.8164
20231009,-22.394
20231010,-23.394
20231010,-19.7823
20231010,-14.7823
20231010,-11.8581
